beveragemadefrombeverage_inv_1,beveragemadefrombeverage_inv_2
1956,72930
23807,20825
4399,7813
1956,6287
2547,3902
1956,24241
1870,1154
18064,7813
2547,62066
6739,20825
1956,41810
1956,73311
3620,45075
1956,12845
6739,1154
1956,73371
2547,25724
47953,35257
1956,57398
1956,9806
1956,49353
2547,10943
7306,60449
1956,47705
17187,68754
37114,73715
1956,73078
1956,8469
7306,7305
1956,73811
21481,7813
3902,1154
1956,41039
2547,73888
2547,22173
1153,7813
6470,9056
2547,74083
2547,59195
1870,9924
7306,13533
21481,1154
13257,1154
1022,41581
1956,56519
1956,25891
7306,1353
3731,1180
1956,12781
23807,1488
1956,52352
8735,1023
1956,36728
1022,59736
3620,23961
9957,1154
7306,8469
3902,13450
47953,14383
1870,27438
1022,1870
1956,68435
1022,8735
1489,20825
67315,1154
1956,74840
2547,1489
1956,67120
49545,23961
1956,6019
1022,28175
9860,13256
1956,52158
2547,13257
1956,26522
1956,74968
14383,1154
1956,13256
2547,20881
1022,72665
3902,1488
1022,25724
1022,13256
8735,35257
1956,75122
9806,6470
1956,65700
1956,59398
1956,74990
6182,1023
9806,4731
1956,67841
6739,7813
1870,3903
1956,66581
6182,27438
38884,7813
6182,13450
1956,38854
6182,22173
1956,75201
7306,38509
20881,1154
1870,9860
2547,53712
1870,13257
1870,6183
40709,1154
1022,9860
75021,7813
69103,23159
10943,74393
2547,63701
1022,7813
1956,13533
1956,55831
1956,28802
2547,73918
7306,40609
1956,55772
1956,58839
1956,17475
1022,35257
70101,1154
16477,7813
1870,1488
9957,13450
23807,1154
9957,1023
1180,1179
1870,13450
2547,1179
8735,1154
1022,19448
1022,73115
1956,73963
75002,1154
1956,27154
1022,74091
1180,1488
11906,11905
2547,16477
1956,28766
1956,15086
3620,46287
6739,1488
1154,16477
57284,23159
