bookwriter_1,bookwriter_2
4234,4233
23394,23395
23473,7950
23636,23637
23715,23716
14351,24106
24291,24292
24307,24308
24421,11520
24513,6280
8570,8569
24673,24674
24681,24682
24683,24684
24788,24789
24815,24816
21864,21863
24885,24886
24423,24893
3388,2962
8912,8911
19845,11299
25197,25198
25345,24789
25389,25390
25421,18393
22628,14628
25680,25681
25753,7914
25856,5354
25864,3677
25892,25893
25922,13355
25938,8617
26045,21277
26158,8151
26452,11520
12730,9659
26872,161
26888,10677
14234,14233
26900,10281
26976,26977
27016,2962
27096,5653
27131,14114
23213,12959
16074,27230
27239,27240
27270,27271
27473,2962
27478,27479
27523,27524
27549,5653
3918,10186
28058,22072
10483,28118
28121,10828
28141,28142
28233,28234
28397,5354
28451,7950
18992,2377
24070,24069
28735,2962
28736,5287
2985,2984
28913,2540
28998,6641
29006,268
9011,9010
29092,20452
29172,29173
19087,7342
29215,3677
12615,12614
17841,29404
29481,29482
29523,29524
29613,29614
29625,4233
29681,29682
29790,5354
29837,11299
7760,268
30002,14305
30014,3677
30058,30059
7770,7769
30194,30195
13265,30347
25922,12412
25736,14305
30468,16157
19935,30473
30487,10377
30530,30531
30687,30688
30722,20452
30798,20296
30835,538
31003,31004
18691,13758
31101,2411
31108,7769
31127,268
25804,25803
31265,22882
31363,31364
31446,31447
26409,6641
29489,29488
19845,9296
31854,31855
10606,10605
31898,4233
30737,30736
8671,8670
32060,32061
32111,32112
28085,28084
32258,32259
28547,18357
32423,3677
9020,32463
11153,10451
32587,32588
32729,32730
32837,32838
32944,6158
33006,33007
3934,23588
33083,33084
26049,3133
24410,4233
14498,14499
33435,1045
28006,33440
31402,33470
33474,4233
33507,4448
33522,33523
33536,33537
33570,33571
26457,2717
33604,33605
12538,9877
33751,10808
33755,7180
33776,30364
18486,18485
34078,23707
34230,34231
34258,268
22758,20296
34471,131
34584,34585
34596,34294
34612,34613
34631,34632
34651,34652
34853,9702
34992,10163
35019,268
12133,3677
35130,2667
35133,8033
14379,8540
31316,35294
3934,22334
6122,35434
35438,10661
24268,35478
35583,6317
35634,35635
35687,268
9020,35710
16156,35729
1418,10687
7038,33595
36085,27240
36111,2433
36256,8617
36302,36303
12689,36394
36474,9268
20485,27928
21278,21277
36814,19572
36816,10661
2412,2411
36939,14082
37174,1045
37230,37231
6776,37240
2295,2294
28432,538
531,32517
37392,37393
37395,37396
27732,27733
37461,14233
33105,33106
37697,37698
11033,20793
37758,37759
13762,13763
15037,15036
25915,6158
15311,38044
38059,34233
3615,3614
15685,27928
19320,10697
38212,38213
13227,13226
34262,7769
38493,22882
132,131
38688,38689
18211,8617
5595,268
38775,10646
38952,38953
39108,39109
39112,10605
39139,2667
39163,17720
39205,39206
39243,39244
16682,39312
39336,38828
10162,10163
39429,8540
39509,39510
28568,39535
33145,268
39621,2962
16590,39688
38227,6641
39805,39806
18569,24682
34037,39809
22792,39938
39945,31902
24509,18357
39972,631
40054,34539
40086,20296
26827,3771
40240,40241
40369,30531
40438,40439
40460,40461
10449,9283
40501,3677
40502,20499
7038,2984
40558,4233
40607,40608
11705,11704
40756,21863
40771,28118
40818,2717
40838,13758
40916,40917
40972,40973
37592,21083
38997,38998
41251,2962
41287,22095
41329,2962
22333,3933
41378,4312
41391,34539
41392,41393
41448,41449
41594,41595
4313,4312
41707,41708
10171,4675
41833,41834
41931,3933
41983,7769
13397,4233
42004,6510
42016,8617
42059,28118
6316,10377
13253,13252
24278,9250
3586,15080
23382,23381
33851,33850
42875,4883
3934,42883
5895,34430
34270,29682
22644,8151
35565,33167
269,268
33047,33048
22462,11520
43090,29614
15075,15074
43134,4448
43206,19441
34295,34294
43237,6641
43249,43250
43279,6317
22209,22208
24791,24790
7021,7020
36017,20924
43434,43435
43476,5344
43530,7769
3676,4233
43567,13252
43592,37611
30365,30364
30714,4941
11261,11260
43751,43752
43062,42177
19767,15477
43796,161
43799,43800
12558,12559
43902,4233
9020,9019
33415,3933
44031,10451
44048,20924
13913,44055
44179,44180
44212,44213
44429,44430
31837,11260
19842,44574
9267,22688
13373,12736
7038,13226
17090,3677
2259,2258
44818,24790
44847,44848
25757,25756
44895,44896
45038,4675
12226,12227
45089,4816
38330,32112
45403,45404
45452,45453
42664,45474
45562,45563
45573,45574
23471,39645
3934,45679
25706,19645
31532,14114
45734,45735
45767,20183
25043,4347
45940,45941
40002,5354
32446,29682
46011,4823
9020,35269
46058,268
46064,34585
33596,13226
28354,28353
36603,36602
46208,43021
34687,2667
4136,12464
29540,5810
46391,46392
27696,41834
46471,37774
23213,2240
46575,46576
42275,42276
46689,46690
24457,268
29861,29860
46829,5322
26790,26789
46855,20943
46859,28353
6344,44055
46883,34632
46902,46903
46925,8244
21023,21022
32191,20924
18475,43801
47201,47202
47211,8151
30011,30010
46943,1045
47499,47500
47604,47605
47633,6158
32347,47649
47699,47700
47893,47894
46124,10163
47936,44351
36737,36736
7672,47947
47949,45453
47991,47992
25222,25223
44895,48105
48114,48115
12878,35478
48200,48201
33866,40075
40619,37240
48255,48256
27198,20924
8052,8051
27929,27928
16288,43205
18798,18797
47241,2717
48492,48493
41849,41848
5491,5492
48550,10451
6157,27230
47413,47202
24844,24843
48660,2962
48676,42384
48790,48791
48814,161
38283,38284
28413,28412
48850,48851
13275,46310
49183,2717
49187,4233
47678,47677
40440,49260
16288,49290
16061,268
13265,49417
20064,20063
5259,12614
49516,49517
33851,48883
42985,49070
22535,16460
5895,5894
12465,12464
7190,7191
49783,25719
8657,49795
14522,14521
29993,14233
49918,5287
10688,10687
43455,6641
50175,7369
34408,4233
30313,161
22374,4675
50492,14082
48248,11704
50632,5287
50633,50634
50693,50694
27523,50800
6113,3561
22333,23289
50941,538
9020,11299
39864,39863
51044,11520
30226,14233
32520,15467
4681,8540
51070,51071
35500,35501
27296,3921
16129,21758
45505,10377
33522,47924
42418,51315
22584,4312
40773,30364
16288,46111
20236,20235
51496,51497
37147,37146
51532,36209
31903,31902
17383,4233
51598,20943
19928,35710
5953,3815
27929,2313
51784,51785
9378,9379
51882,51800
40027,41342
52070,52071
48656,7822
37357,2258
42931,10377
37965,33039
52313,45941
43408,2962
49079,631
27523,4233
32421,30688
32467,32466
52464,4233
52558,52559
52603,6280
34164,25655
42408,17720
39178,3771
52726,52727
42615,52771
52778,33084
29602,29601
22714,22713
31045,31044
35104,2962
22835,6829
43584,20106
35128,4992
52996,7020
53021,53022
53046,12959
50375,53119
53171,53172
48072,51657
53257,9122
53268,53269
53317,24028
53331,4233
6553,13406
36024,21083
20028,8739
41978,10451
12716,12715
13770,3677
28318,4448
37824,2240
11737,11736
44506,28084
42367,53977
24594,14825
54044,54045
54080,54081
33219,52201
42231,9283
54240,54241
53089,2962
54274,12731
23774,54304
13542,13543
51801,51800
510,11920
24513,14628
22883,22882
54554,54555
33596,33595
39197,8244
32831,11520
8828,18797
15032,9877
49816,6552
37612,37611
54884,54885
54937,50800
18486,32903
33979,4448
42828,6317
28006,14322
55076,22882
29523,55260
35130,34343
55286,31099
48379,55306
55337,55338
55309,28118
47676,18822
46462,10697
20967,2717
34850,268
10378,10377
20962,131
55536,38245
55544,1045
15549,55617
17816,14322
31286,40917
55728,55729
55860,55861
51017,30578
31366,31365
27523,36358
48687,14628
56026,47947
56168,4992
56179,40767
42734,3771
36573,36572
42430,8670
23708,23707
23114,13374
36513,36512
56289,56290
11195,11240
42759,42758
56444,8670
56481,56482
53372,46698
32963,10186
44920,56687
20048,20047
56708,56709
56750,56751
56768,1045
50512,50511
27306,21277
31344,11301
56944,18797
48301,9122
44641,15074
23114,27230
35171,5287
9631,57066
52979,43752
4963,2433
8657,8656
53208,52459
57412,9199
40039,57442
4289,2377
15797,15798
46311,46310
19474,19473
45505,6317
20184,20183
57684,57685
26100,26099
14138,14521
25706,49509
52022,3614
9267,10075
57897,9250
53874,53873
54880,54879
33851,44407
57915,29601
28635,46310
57990,57991
42985,40490
12413,13355
26355,55406
14960,14959
36412,4675
33037,40075
33596,58297
31745,31744
8012,38998
27523,3677
55006,2962
16277,52868
49548,54382
4589,4588
42931,6317
58602,52727
58624,10451
54996,20183
58654,20027
29349,5653
32520,35038
2421,58738
34775,37285
50229,47071
39724,4312
32472,5810
58964,16355
41684,41683
34588,268
20144,59064
51929,3614
21898,1045
14356,10451
59144,59145
46120,4347
55941,10451
59181,3677
59250,7734
29625,3677
59307,59308
33522,48697
18696,6317
26485,26484
10809,10808
59617,4992
53346,33039
44639,2717
29122,12959
3219,268
40277,22882
59725,2962
48049,20943
59809,59810
30734,30733
59874,51657
59882,47947
3957,9078
13992,13991
10293,10292
60039,9446
60049,60050
60105,35710
55111,14499
4821,60187
60195,60196
29256,29255
10580,10579
4386,4233
8120,56870
59863,4233
6553,60481
60496,7769
49939,49938
23624,23623
35337,6510
60574,4347
60213,60212
43279,10377
11302,11301
2312,27928
32250,14305
6633,6634
57549,12747
60767,60768
16156,45427
12355,6158
55628,60783
35437,35710
54239,15379
26326,26325
20486,6510
53110,52201
28916,268
56141,1045
52686,6280
24572,20924
14094,43261
31325,27752
61113,4233
52481,268
18358,18357
61177,61178
11650,47483
8630,8631
35299,34343
61265,8151
43767,61347
36903,14208
13770,4233
61431,43800
60395,1045
3934,10123
56958,56957
35166,3799
33522,44343
61615,10605
2567,56129
29595,14114
20790,20789
30334,30335
54924,12747
30803,34233
28910,28909
18240,4233
33596,1951
26597,22479
13720,13719
28600,28599
1449,40917
61993,2377
23213,9122
33431,33432
54808,17774
54946,2240
7770,21862
52407,52406
47157,47156
43134,33039
38975,9308
44560,12736
3918,3917
28653,52474
62399,39052
62470,6641
13617,25372
62477,51657
33522,34343
40679,10605
31682,31681
34657,34656
24573,6158
39467,5160
49923,14061
40618,20027
30605,52474
49084,11576
48309,33167
40736,12959
12732,12731
48379,54289
62782,62783
38329,11704
37286,37285
44920,40973
16518,11034
62859,62860
21820,21819
62889,6158
53706,53705
44489,44488
60567,16505
36380,21083
62988,24003
14519,40904
62994,61347
62996,32903
2554,63028
21948,63033
60488,60487
63086,63087
55619,25803
43392,20106
63240,63241
17816,30364
23292,31744
39395,9877
46883,51711
46699,46698
54198,8244
8142,8141
63493,63494
28216,63506
63517,8133
55026,2667
63587,42384
40001,11520
49561,47992
26690,13252
63703,3677
22096,22095
35456,8617
47180,47179
17843,63783
33615,63815
35209,56074
36626,8151
63858,63859
33596,2984
63959,63960
49405,2568
64028,64029
40673,9730
30649,11704
59015,59014
57085,12464
64139,2568
60332,631
64243,2962
44609,23381
53448,12747
17685,2433
39442,39441
28024,2313
51017,7020
27523,31673
33403,64542
36783,9877
44212,10605
63846,63845
60647,22793
64694,14305
15474,268
64738,64739
19845,38264
1853,76
61054,61055
27736,2962
32460,17242
48258,44351
52595,3677
43986,27752
29434,40917
50812,43347
64915,9446
64925,24308
39432,9446
62023,62022
65057,10451
50396,7769
51017,43201
2985,1951
53494,53493
65191,65192
65210,8670
65229,4992
63395,63394
17243,17242
65322,47649
2421,36394
13204,65407
28568,28567
25202,8911
9862,9861
16203,9122
26523,41746
46973,2717
22744,22743
12737,12736
23652,21863
65678,2667
39791,53493
56726,56725
59009,24816
28938,28353
23358,8151
48483,50896
64603,64602
50125,33571
65802,65803
65805,8096
44097,65827
36600,11576
65841,12959
65846,4448
60956,60957
31048,27752
40835,40834
30437,5653
35387,13758
14115,14114
65964,42276
32309,18357
36903,36902
56632,631
13048,13047
66172,1737
4882,4883
58121,58120
40618,8739
62975,13252
61494,61493
26125,3771
42508,42507
66381,268
45832,36512
55574,10186
66445,51657
48668,268
66500,66501
23084,50689
4346,35464
8600,7369
539,538
1771,30244
66589,66590
26149,26150
34240,45034
66659,631
66138,50740
66686,5492
14831,13866
23232,52614
64749,64748
8034,8033
9660,29404
40400,19731
41707,5414
62655,62654
22501,9250
61582,57427
34142,12614
45984,19572
11375,11374
66929,11034
62470,66979
28759,28758
49135,52474
25769,1045
36520,268
48301,12959
34164,35455
67069,67070
40294,40293
67086,2377
17124,8320
53046,9122
28216,21083
19644,49509
2009,268
63652,10451
64738,2254
19002,7369
66448,66447
33350,33349
67358,26099
14831,2039
34240,13178
48094,44180
58676,7369
67479,268
27396,7342
34142,67515
40736,9122
37286,15068
54675,20789
24326,8617
67619,10646
12413,12412
32060,37371
2312,2313
36638,31855
7137,11920
23226,23225
66584,1045
60398,12246
67808,67809
52367,12747
19539,10451
44956,44955
42178,42177
22501,52491
67843,67844
44258,7914
52460,52459
28377,52201
27616,63845
23002,23001
43206,4233
11697,67911
17879,17878
26199,26198
67998,67999
58509,58508
60881,68031
22600,2962
68060,27230
19293,19292
68067,9308
2985,13226
26584,26585
60590,60589
61202,61201
6642,6641
10688,9280
68165,7342
11845,11260
28862,14756
52279,9250
8012,53105
43206,7456
23567,68229
16183,268
54372,54371
47683,47682
68295,3677
7210,5685
57773,19427
16563,2962
68357,68358
26578,9122
68392,68393
50495,161
46836,10377
36433,1045
26393,14061
8057,62700
62568,7342
31604,4233
27599,10605
53686,42051
35503,44407
66548,18289
68701,68702
27620,13758
39377,65290
38997,53105
42305,10163
48355,52201
64066,34585
64311,64310
19647,39462
57928,57927
64995,2962
4821,34881
17531,1045
39269,39268
30539,39809
65969,68942
56995,44955
32214,25756
49791,14305
4681,69037
17050,37753
37574,68409
53913,11704
63367,39268
39467,18289
34544,19572
22320,268
52134,59672
69243,6641
27805,27804
6646,5110
30073,14114
33166,33167
62769,32517
23950,23949
68558,27479
38769,7769
69441,33571
11503,27928
20535,20534
2376,2377
11650,69522
21858,4448
5286,5287
25692,2240
20667,56794
64002,33039
43476,9877
16301,6641
20500,20499
69610,13047
27156,20924
7094,43201
46600,631
56342,56341
57575,57574
19081,6317
8661,8660
35626,268
50794,27752
50324,10377
35519,46104
5111,51497
28568,36203
38618,33167
68279,33167
60023,33571
31363,69907
51790,2962
18569,58434
69938,33605
39235,39236
1950,2984
69979,268
11427,2962
7021,30578
57532,33432
10814,2962
54871,131
53396,6317
52416,11520
70129,4233
31100,31099
44421,2962
47072,47071
56444,47071
59062,59061
51022,25390
28878,16355
70169,48791
39140,5396
4449,4448
29523,60196
9020,42726
22333,23588
50804,48105
17580,3917
43665,268
32423,4233
48964,48963
61307,61306
11411,54205
70370,70371
35354,268
8959,34881
13265,20943
60841,4233
29801,268
22973,10377
69076,69075
65408,2962
62769,50155
43325,8660
70529,2254
39834,4448
23876,28725
28797,12559
30785,52144
12919,161
12148,1045
3934,3933
70612,14114
48949,52380
35119,6317
52134,52133
25346,8151
70670,70671
70674,70675
49891,16460
63350,63349
70066,4233
21885,19427
35133,35399
9878,9877
23448,38807
53346,8670
44605,44606
29330,45517
47476,47477
70801,67743
33770,37816
20816,20815
19625,6641
23584,23583
57747,57746
70885,70886
54240,21318
19201,9730
16224,16223
51359,23381
70798,20027
70932,70933
70673,51711
48054,70592
7021,43201
68809,68808
68715,7769
48175,21177
42052,42051
2886,2667
53771,6641
37720,5571
29215,4233
2666,34343
19600,28118
30715,10661
17156,18797
36603,71121
22333,42883
48161,48162
69931,5810
69302,3561
19767,43800
70014,14521
27625,27624
8152,8151
30349,71347
20808,4992
26910,26909
64789,10377
25370,2667
50897,50896
4257,4256
71490,71491
71494,71495
55395,29860
61830,6317
71518,34231
56476,56475
60170,11034
7545,1279
16288,16287
18696,62948
59845,59844
70242,9446
60709,2667
38515,7369
69014,69013
44236,6420
66497,66496
45939,2984
34540,34539
12748,3677
25718,25719
1527,268
60075,63815
69163,69162
57824,6317
5972,5971
6553,18827
26859,26860
67118,9877
26431,26432
24722,12412
40768,40767
71895,71896
28214,48697
71923,6158
38701,6317
11921,11920
51488,6158
9020,19441
5139,4312
71992,4941
21948,12959
31682,19572
72072,27240
68308,5354
14698,9250
40491,40490
15458,6641
43206,57443
36811,19645
21943,2962
14899,14898
30365,14322
41995,36985
8740,20027
61886,41834
23471,9078
66771,3799
26322,7724
50984,11520
63626,33349
33851,17242
64738,72466
59114,59113
72470,13252
64900,64899
50405,4233
25833,25832
2118,268
39858,39857
54766,4312
41454,1279
25292,5571
68037,72573
26523,70267
39479,28758
52686,14628
4216,4215
13151,13150
50474,8617
47373,1045
7038,1951
55393,40834
19845,35710
68059,69141
14695,44055
11485,67743
17843,17842
63338,1045
60304,3677
72806,30010
72242,3677
20071,5492
2554,8096
8657,72866
31916,3677
24548,6641
5959,11497
39959,7769
19573,19572
19845,42726
36811,49509
66110,47605
46133,46132
9282,65085
69119,52474
968,12614
32563,10451
33692,33691
9428,9427
57824,10377
17090,4233
27671,3677
33083,1951
34240,3799
44417,15036
17775,17774
10378,6317
27074,7342
73131,73132
53319,39244
17788,17787
23876,73171
21206,21207
73008,20027
63864,20761
49791,49927
73210,73211
73216,33691
17015,4675
70218,28225
15075,47483
73244,5810
52012,52011
24029,24028
43655,6317
19877,52382
3957,73318
43206,42726
50862,25198
25497,23381
7509,268
24803,268
16579,11301
8103,64169
57988,30688
21115,8683
8740,8739
73317,14028
73446,73447
12748,4233
73477,13252
63983,3677
62324,62323
23702,23701
17580,13541
72570,25223
7725,7724
19425,15074
57091,57090
44195,20027
25043,35464
8062,7456
53074,7769
63067,63066
26400,67070
6074,3815
27086,2240
50812,50811
73629,73630
30286,37774
67166,67165
49590,22072
21434,6641
60304,4233
51057,6641
59761,20296
31340,11497
766,765
73509,10281
33040,33039
66422,22793
52402,268
1899,30845
73736,64899
17610,57991
69728,69727
16288,34301
24606,24605
42615,42614
62266,16505
23385,28225
73785,60461
26754,6652
66242,66241
73805,131
20067,16460
22716,22715
36656,56978
12336,46310
4756,4755
67204,5287
24598,49350
9307,9308
22690,22689
12737,13374
40636,55306
62195,62194
40440,10661
28372,28371
44352,44351
17580,10186
63983,4233
31769,31768
44920,73926
58786,6641
28183,6158
17738,72859
73792,73791
14614,14615
30696,7950
55659,4233
25165,21083
61113,3677
53126,268
50907,28118
30446,9283
53931,268
64518,21863
69483,33167
9793,21177
14323,14322
11485,10828
32153,72706
22169,51657
73755,44055
3405,8151
20028,20027
50259,33167
65548,65547
16288,65745
16701,4675
27696,27695
25345,5396
19104,9877
52557,52556
62474,61055
9053,268
44408,44407
51342,9283
2820,268
60502,21819
55574,13541
74200,23381
5111,5110
27872,8096
70823,24106
38246,38245
35896,8151
34910,25372
54223,33167
34986,4992
7021,69960
31286,1448
22071,22072
18542,73331
62079,62078
70935,9379
12122,67140
48687,6280
61048,8617
37351,8151
53171,67747
58395,11920
53552,53551
26049,68418
34732,14832
9660,9659
21866,21865
60661,21865
19732,19731
51987,12559
19910,7769
51155,9702
12247,12246
19306,19307
55213,2258
1280,1279
20144,46774
74537,68393
74315,13252
9833,8660
16459,74341
70610,70609
11684,11683
51043,26909
11519,11520
74588,74589
26944,26943
18823,18822
67452,6641
73648,2717
42360,11034
13210,8033
68137,68136
35299,2667
51740,15074
54808,26325
61100,40075
74645,17878
39864,37285
72092,2962
36730,18822
53171,74664
38655,38654
46836,6317
14062,14061
74690,74691
30040,2240
57768,57767
65219,47677
49414,48697
40811,14756
9703,9702
23002,45968
43304,4347
419,420
33770,44430
66681,18822
34775,39863
66787,66786
20674,20499
42207,42208
9237,73533
60105,72429
48131,6641
16506,16505
58362,58361
46526,131
67427,35710
531,50155
12466,10377
65884,2962
1035,1034
16408,10163
43206,35710
44087,131
30737,39730
72479,72478
69940,69939
122,121
74060,17878
72144,72143
72424,20793
41091,2962
21316,8141
4002,65290
3392,3391
70090,13763
8132,8133
10834,9730
47551,1737
69192,74914
66117,66116
17843,15074
39838,39837
55330,55329
6283,6282
16363,40335
30014,4233
72695,14208
42179,3561
26450,26449
73799,51711
65805,74996
21196,56978
58400,23381
18920,57109
28250,1045
43206,7109
56119,14322
35547,268
16268,9446
10726,1045
51881,51880
42385,42384
54254,268
3918,33472
26315,41274
33037,44606
26900,65103
18549,268
66400,65827
57428,57427
20785,18822
5395,24789
32812,26198
65847,1045
30834,57540
40824,8033
47302,9702
39235,59369
44659,7822
73212,25899
38173,10292
60661,60660
51839,51838
8245,8244
42425,6641
55305,25372
44408,20534
38036,27752
15374,62739
52475,52474
11592,67971
55660,4992
37708,5028
14094,49890
26315,26314
74162,74161
7370,7369
26976,37774
15770,27752
63948,7724
70021,9296
6553,6552
66617,5287
39678,39677
39429,71660
74100,2717
29619,7724
12730,29404
33770,45474
43848,9446
46067,7724
73616,73615
28977,37240
69534,57090
57532,50896
58156,23381
29025,3561
34344,34343
65189,11034
67818,41449
43884,18357
51965,33048
73273,73272
7823,7822
32963,33472
30564,30565
13109,8151
41421,45474
67166,69000
6575,6574
63911,63910
58537,2717
47240,47239
22973,6317
70517,268
22670,268
52595,4233
14094,14093
16156,6652
48483,33432
4230,51825
66910,65487
55883,55882
12232,21177
24810,11520
17698,13226
12615,67515
55574,3917
75091,75090
37609,37608
70547,60050
64789,4233
30349,8133
58276,5028
68908,4448
36627,22793
3934,23289
12397,4901
31916,4233
53074,21862
61766,14082
37267,37266
1044,1045
72242,4233
16288,40698
39124,39123
12592,15477
57365,13252
67439,2962
15916,14825
70795,268
74921,47677
30419,30418
27671,4233
17383,3677
6878,73434
25864,4233
46669,31369
52861,33167
70556,2433
57491,29601
55803,55802
70294,70293
75234,75390
74863,58361
50324,6317
8570,10281
23831,11520
28481,4312
28249,1045
66548,5160
45782,45781
69207,5287
55574,70443
20144,20143
64893,3561
73502,131
49222,38689
10847,25473
66550,4883
71149,71148
57380,20656
75074,75073
56658,6641
67349,6510
51532,13787
75234,35455
30657,9268
12730,12729
30365,58394
58925,20154
54509,3933
13035,29682
21223,45474
75256,75255
74286,10451
20153,20154
62137,56957
41108,41109
34759,268
73915,73914
64353,1045
15075,60000
74157,268
28989,20761
18569,74177
13265,52135
48254,48253
16720,2962
75440,75441
75288,75287
21960,55683
33770,33769
74652,74651
51614,268
9447,9446
7094,7020
33705,56332
42510,22882
11621,73874
48949,48950
14627,6280
75455,75456
35583,10377
34262,21862
24837,7724
44093,6641
27099,20452
21227,268
44064,14305
23432,10808
160,161
49135,49134
68059,22072
71702,8455
27785,27786
54853,54852
52912,40917
50719,268
40301,6317
50897,33432
23114,12736
32060,14898
27872,40075
28659,4233
68907,6420
46982,17774
57226,33167
74803,74802
65836,65835
20855,40335
6279,14628
11650,15074
14835,5287
56795,56794
18240,3677
24410,3677
27616,17774
43410,43409
48723,33007
21241,61941
50184,56978
39053,39052
7094,30578
1899,67500
37204,39510
70177,28758
43206,11299
13786,36209
50170,47071
59187,36736
17719,17720
12600,5354
49118,46132
16545,16544
72592,2717
60298,60297
35192,7822
18637,15798
35519,10292
41931,42883
