agentbelongstoorganization_1,agentbelongstoorganization_2
2064,1001
54500,53264
32694,791
13845,179
46198,5172
56388,2396
12286,179
18378,2222
9391,1873
17105,1860
27078,8748
1469,2396
20260,1001
7617,12
15008,257
2679,5588
205,2169
12866,17899
3348,1782
56684,56683
45320,179
9325,179
21642,633
22590,179
7423,179
8434,2396
62288,2396
25089,179
29310,1782
24121,604
32209,179
35864,5172
31810,95
68414,8748
681,680
2485,179
2205,8748
29515,604
71054,2692
49913,2810
5220,179
13583,12
73858,791
31226,179
69552,1782
19864,12686
23340,179
8974,2396
22097,12
11570,791
26120,1001
17654,1001
6856,179
3212,9045
23492,179
18826,2222
70507,342
46935,179
23543,2222
9391,50408
21483,604
10097,2396
19558,2396
3344,19530
61974,791
29382,179
58091,257
26279,179
19089,179
28612,179
32391,791
35773,1782
64526,342
62927,179
47388,179
51723,95
54901,179
13160,19997
9777,2222
19847,179
4587,2772
205,31752
5589,5588
63773,604
63440,786
46805,179
3550,6660
50250,604
3995,17948
35177,179
1025,2396
24848,179
20713,179
28984,179
16675,1782
4054,179
46057,179
21980,179
61321,2620
40894,2396
16863,882
7638,179
39574,8748
11760,47738
8920,1782
