worksfor_1,worksfor_2
31292,5375
1147,1148
31441,3089
1514,1513
26916,3144
835,31752
29133,633
32052,633
32072,32073
29979,25038
32278,32279
32326,3383
26250,26249
32480,14738
32649,32650
14927,14926
8973,4105
22693,25255
8509,8508
4604,4603
24534,1424
3995,3959
835,2557
20549,486
33325,15143
12942,1992
20835,1424
3818,447
15198,29670
20392,20393
17274,17481
29393,29392
835,33646
33656,16490
7644,7645
33768,3188
835,25768
19670,971
11944,11943
835,672
23890,4774
6814,14456
34304,12384
7468,99
34445,20628
835,2861
22157,633
34764,572
15049,3089
34993,10064
7207,35033
8927,35077
1789,1275
5428,5763
28099,16656
26916,16614
6513,13364
5402,95
5424,35648
32343,32344
29738,29739
32495,29884
27453,7730
36269,2733
35762,16845
36456,250
2804,19744
36570,7224
36633,427
22664,3558
9607,7730
33559,11511
37269,37270
37476,1844
23970,2170
25095,620
20769,11627
18812,10866
37803,8614
9567,2859
22711,33210
35023,35022
2151,3293
29292,2303
9662,2755
835,6294
27221,4947
9444,1424
19970,28109
6716,10866
12942,10417
37493,16614
39066,11586
39067,29776
9968,544
13315,680
9242,32884
814,13364
39402,7730
39466,33067
35672,1424
38421,8815
39648,22751
39778,633
35869,3893
39976,633
39980,8830
40022,10418
14739,40192
14873,36158
28277,2772
22711,7248
34864,95
40485,4892
663,614
40548,40549
28718,11712
15049,544
24956,24955
40653,486
26951,6071
40718,572
35672,20537
40830,8495
40836,37788
18631,18630
3881,859
40328,7730
39353,41117
835,30
1327,1326
6688,6689
15278,1347
41546,2772
11625,11626
41637,22092
41698,2772
1327,21033
28258,6816
41832,32159
32134,1136
8953,99
5716,41870
41992,1048
2406,95
835,16945
28842,31521
32277,32276
42336,42337
8369,8368
42386,21403
40779,633
24534,633
30623,9262
42816,17481
7468,6305
39880,28203
7300,2953
26985,427
835,572
29650,5323
42613,42612
32850,43446
571,544
18359,447
32566,32565
10003,971
14527,43917
43963,4468
17425,44107
26678,26677
40564,427
3995,3006
1909,20537
27315,8148
18865,633
34717,42198
22693,3293
44373,2772
39917,13135
44566,33624
22983,1424
8801,1136
44853,19192
7448,2170
42981,29528
45026,95
7666,3089
41827,45176
2811,2810
13136,13135
23277,2303
28512,28511
45680,45681
45768,3393
25225,27816
7864,45814
38909,2593
15499,1883
3057,43569
15030,6375
20158,572
46128,1424
46168,544
26599,11627
11366,1424
46321,1424
46445,22092
36043,1860
835,46508
17274,633
32814,8821
7448,1098
46712,250
46717,46718
20990,9116
9127,2772
835,3589
29520,2173
46630,47220
40051,19612
23887,3089
40268,633
1259,1079
47481,6375
19080,1424
3792,35759
39418,1894
39521,9375
835,47727
38290,38557
47799,633
23970,5356
47927,9116
7847,80
18450,18449
44720,625
8493,23192
47562,26249
13273,1424
46168,3089
10968,10967
16813,17481
48342,48343
14435,1860
14625,14624
13458,13457
35148,14666
2717,10422
15590,2772
48576,250
7864,2917
13236,633
463,462
742,544
48794,48795
27170,7730
29620,4105
48861,544
32297,3089
34203,34202
34605,34606
48993,48994
311,1860
20158,250
3229,24263
49223,9474
41465,28191
49299,13886
26971,1424
27187,95
49427,633
49467,26919
49514,27235
7729,2678
47723,250
1858,5263
21774,21773
49667,544
46754,33156
96,95
49803,33156
19202,1424
20833,633
24247,8004
2407,2408
23522,1860
24609,3360
28772,2152
33932,756
6969,544
7130,1424
50415,544
9139,614
43568,43569
835,10408
27981,27980
50614,7778
50686,5242
12638,2772
35638,35637
9575,16937
22983,17481
19281,3738
28927,28926
50928,572
10101,350
16800,10866
18401,18400
835,12061
51094,633
27314,13135
51316,4193
40052,4712
49391,1445
51390,7778
9117,9116
28000,633
51503,51504
835,741
51529,51530
51547,633
16872,35595
51566,9582
29033,7730
28842,850
24365,9581
20734,20733
44197,1424
835,136
29133,17481
27101,4105
12347,12346
9753,14861
26275,326
11848,11849
6761,6760
6484,13029
25483,13295
835,52977
34819,1424
34604,3689
53031,1860
11366,633
35986,985
33363,308
39906,5588
53309,250
16800,1844
4604,756
41964,2772
10610,9663
11944,3383
53616,28982
11138,446
53713,9796
7300,487
53728,41516
8078,8077
23014,26571
53772,11225
2552,8748
53829,53830
3023,9081
25875,41172
26275,27045
54008,2772
19941,22092
31460,31459
18733,18734
54106,1860
6790,4429
37300,250
11094,4468
37199,250
43200,14381
39976,1424
26472,26471
54805,4468
54826,54827
54834,633
54914,4224
3995,54918
49549,55027
9929,2593
14822,14821
55124,45789
835,55152
50577,50576
55240,31313
3000,882
37182,1493
39232,53830
50608,633
24365,24364
54267,633
16004,551
5411,4947
9370,3089
51258,1424
41519,633
29491,2079
51340,4089
2711,486
54317,486
32277,36
47313,4442
15893,7220
4713,4712
23852,23851
835,627
56312,633
4704,4703
18136,12686
27578,19177
52707,30432
36949,33067
39552,1424
28171,3893
7777,95
54309,7730
835,16141
46267,46266
52963,7483
6682,354
36498,4824
51160,2842
26716,26715
23644,5735
28772,7018
28469,28470
9403,1445
56908,4105
23020,1192
42090,42089
3995,10225
7300,7039
17094,3089
57149,95
57174,1860
1501,13571
40779,14184
8891,11959
57351,7658
2711,2953
57429,12686
27139,449
57585,57586
26930,2152
6228,2708
19659,350
28176,250
46217,14983
40947,40946
2610,5943
57958,1860
37182,7115
835,3973
16512,6042
27078,1424
55630,22619
31975,31974
58265,1860
4934,19192
34903,9116
49641,2772
10950,4187
2407,34166
18837,7730
43906,11475
22838,15631
14927,33602
30520,9116
835,44885
835,26243
39118,19338
16895,16894
58776,2760
2597,33251
58802,22092
496,51014
21662,21663
26811,34550
59016,3563
23449,5242
59125,6042
59126,3665
59157,27045
59180,3975
2039,5340
41114,1016
3995,2222
22157,1424
11224,7730
29133,1424
19659,44941
778,3006
27315,44253
53548,4105
17802,8736
41713,41714
59554,2772
25253,25608
13432,1274
53820,1860
26786,18198
22120,633
59695,2176
2927,17199
17452,17453
13272,12384
17376,95
17653,7037
25875,1424
18654,544
59898,16520
16442,1424
59977,59978
34604,1081
22390,18198
29866,60018
60053,7730
47313,3746
2407,2172
60132,2772
6790,6789
60191,48308
426,427
30161,60161
835,18141
60325,3039
55828,1424
46345,41501
60465,633
6266,633
60482,572
1234,8748
1313,4445
9968,3089
60662,3039
60092,2772
33849,33848
20336,36911
51475,5588
6370,41172
2477,3689
39396,7730
30328,350
60993,7730
50645,48795
7790,7791
17691,53495
22693,2953
18730,29670
1425,1424
5298,41539
59572,47082
47291,7756
40203,447
26822,21614
11775,14135
53456,2772
835,42821
44668,26375
36955,35987
33797,33796
26228,16193
28277,7730
61648,633
835,5356
26701,55548
4740,20885
52246,8392
42199,42198
43953,633
29082,17385
1592,5802
61781,61782
19762,9524
3187,1048
16483,9116
24090,7730
5373,1016
61967,56773
11461,27848
33141,33140
28171,449
28000,1424
10150,10151
23737,27126
19770,19769
49311,9245
14729,1424
51390,1860
17807,3089
27227,4105
28710,13364
30780,7730
34819,633
25875,10422
62560,22092
17629,7730
2804,37298
17175,1275
52026,3328
187,633
62756,6536
40907,11430
14713,12832
15358,11627
1909,633
62460,62807
6310,6309
62916,4105
5823,8565
62365,2772
52703,633
63133,633
27638,14436
4208,250
27216,1424
7101,9923
40910,40909
16906,10866
31993,17145
11087,11086
31329,9116
9272,32371
58275,1424
63528,7557
34201,7039
16290,16289
18217,25608
38006,1944
24534,17481
43391,3370
39784,95
21393,5588
835,43307
63702,5769
35458,17102
25859,3558
13195,13196
42249,1424
13602,9245
63991,25179
19762,31894
2537,2859
64074,2772
4704,11469
7427,2953
12382,16535
5016,87
5424,5423
64285,22248
14713,5263
61128,1424
1259,1260
12687,12686
35868,6342
34604,8647
23342,350
2773,2772
50522,633
64396,13135
7437,2772
10914,8748
11235,5242
4606,3089
35935,12182
3995,5323
32746,9756
5288,7778
6417,633
19593,1424
49514,1860
25709,12743
45165,64499
41427,41426
64724,633
14646,14647
47884,16480
61253,15143
47385,7200
19593,17481
312,8323
64848,3702
19599,9116
21613,21614
38357,26997
24129,4183
11929,4358
21705,1593
2151,2953
37123,633
65082,10297
13315,47775
23765,3953
28609,25141
1419,474
835,628
16906,2004
43218,3089
10458,486
30316,614
47565,65338
15340,15341
42775,42774
8677,23100
616,476
29620,1424
10799,10798
60053,2884
65656,7730
48057,11627
24915,1860
36043,544
52047,1860
38607,7039
63155,13577
45293,15045
48129,8148
15997,15996
43780,3563
22642,10467
26959,26958
61314,22092
63155,7335
6969,3089
10096,15143
11094,13457
3995,3121
10559,1424
13044,13045
14771,63144
18634,2593
27641,27640
8702,14436
3995,23566
45462,2772
49667,572
3074,633
9607,2772
13564,853
66459,7730
8273,447
66621,34202
66674,1944
14933,4712
19705,250
41192,633
53320,633
4149,476
23408,66871
24238,20892
54812,36761
40789,3602
2189,2188
31055,4280
51383,17481
48572,633
545,544
25150,25149
66638,293
27221,1856
30114,633
32767,633
51134,30919
30114,1424
1858,20537
53740,67236
35512,28549
44608,28203
32227,4892
45553,45554
53102,1943
65004,14821
22047,22048
11085,179
20705,1424
835,798
18628,17481
61104,36699
32746,17199
290,4468
12142,12141
52765,427
11688,19424
1909,5263
22360,22361
55206,95
32789,32790
11334,27640
835,1502
24633,1729
63483,2224
33284,114
35288,113
48951,15577
23814,633
11775,17385
51615,633
9127,7778
6716,37924
36955,2755
53293,15045
835,760
59351,2772
27992,4105
13234,4809
1428,1427
58697,281
22885,449
68299,8748
25969,25968
835,15635
32605,1424
835,47656
24750,3089
45605,45604
59434,11430
63483,250
2406,8345
835,52549
835,14187
43906,3567
21568,4048
18768,3419
59846,25615
5495,5494
835,34401
31297,633
19659,2755
835,11015
59738,14583
51829,1943
36097,24162
18628,1424
6440,3567
15716,47210
8183,68846
4186,4187
1909,17481
5260,5261
64019,34202
9127,37176
10941,555
48576,544
15472,18333
22848,7222
42026,7730
16006,5588
44391,1424
28581,37298
697,698
40503,844
17802,15917
835,59489
43783,36761
1318,3930
835,36840
69291,69292
23403,23402
13559,633
32814,6500
61175,3134
24323,1627
5411,1856
69368,15045
9575,62759
9272,9273
29736,14436
33338,7483
27078,633
15836,3689
69540,19875
28176,544
50440,427
13579,4383
14269,24309
25874,25873
43391,21770
69597,53830
13869,48826
3995,6103
49683,49682
19441,1424
16830,250
16075,971
5871,10311
27641,48308
53713,6890
17707,17706
16551,95
69859,11467
9367,9368
65092,859
25215,1079
11524,11525
18709,52803
17628,5588
835,28646
10787,10786
39917,757
31578,13589
835,21286
15227,47270
19437,4809
41244,5808
18747,633
18136,17899
835,65390
69368,45789
3315,3314
835,8590
16813,633
22824,10234
22813,22812
3618,3772
70249,1860
70255,5735
25596,250
60986,47130
1760,1761
49823,49822
61031,250
30832,6698
19513,6263
33143,16705
28772,4048
571,250
54746,6500
49379,49380
8218,14456
14713,633
42816,633
29979,29978
39964,544
70565,572
51431,3017
70652,41117
23364,3089
33282,33281
16085,1424
17680,17681
7953,7954
36955,44941
15180,24586
16085,633
19876,19875
13579,4089
13383,633
34994,3006
8048,8047
34104,39803
51111,449
24534,5263
7017,4926
50928,544
21404,21403
33932,22224
16117,13495
17376,4830
8677,9245
48711,48710
34150,7403
71186,633
27850,4549
6682,1860
31291,31290
50599,427
31431,2842
32389,1914
33611,11475
835,21633
29071,29070
4740,20884
6549,6548
26930,3689
47291,16374
22157,17481
1127,1128
44335,47083
15836,3558
54982,54981
32285,787
48649,544
6716,456
36955,350
50834,44941
37172,37171
26297,25615
29265,2202
29695,22092
33653,68
29317,291
14854,11847
835,2052
3708,69107
6266,1424
51383,633
31677,31678
62398,3089
835,26884
5824,5825
12227,41117
34123,2348
11077,11078
742,572
37578,37579
12948,99
18268,2772
9272,23032
27139,3893
71912,1860
7409,12307
25488,11590
23978,30552
8587,8586
47565,3689
27227,45814
14854,33394
64249,14912
65061,1424
52332,50798
36510,36511
10360,326
835,9682
16196,6913
39821,6468
34096,10225
5975,5974
20334,4105
22094,22093
21672,633
6716,19394
57494,37002
21388,40324
30328,2004
29723,29722
27608,27607
21393,9245
29174,2063
10941,1102
835,2169
72400,9116
15091,18567
835,2222
10659,882
38999,633
17425,17426
46445,6612
7130,633
7092,250
24100,24101
13428,28448
2727,71714
1234,5263
58965,22093
36298,4468
35571,69246
35808,35807
835,12537
835,5490
15556,12461
8267,14456
15999,3089
7017,971
32508,16535
51181,1192
56866,23996
63412,63411
20835,633
21480,6708
12382,18432
69354,9116
689,688
59768,250
19146,52820
22903,775
1858,1424
64714,1424
8211,1284
11012,19177
49311,5588
16615,3144
13666,19794
12609,15917
17937,17936
30917,21752
3343,95
8677,5588
33858,627
37479,7200
37042,1627
18460,1248
11016,11015
73172,73173
26838,26839
72505,26249
30832,8286
14218,6698
30547,1543
27166,27165
63961,633
3246,128
39134,9913
36364,1424
53955,23489
3995,41172
2927,32178
40779,1424
73369,26157
18711,14538
47565,1987
25087,25159
51475,9245
52889,8736
19125,1657
5016,172
1318,4774
16215,633
20051,5172
19146,8160
4604,6371
30508,30507
7016,14133
34864,5588
34293,1465
7894,1424
13241,13045
2407,27045
11275,2772
3995,50002
28307,28308
73655,4105
5993,5992
2039,379
835,949
37473,5263
22067,12040
33768,32236
15999,544
31314,31313
15715,5808
35441,476
22199,3900
61334,3821
22120,1424
27372,15045
42524,4680
32906,6612
71899,40192
26930,4048
35261,1424
3995,1275
71736,8748
32528,32527
48572,1424
32091,905
32051,8438
43318,8647
25875,14184
12926,12925
47131,47130
68050,5588
49549,51014
21949,1424
28314,1424
3603,3602
7864,8703
967,9116
70533,70534
73810,447
27277,8532
9899,9900
17142,4468
27890,19413
62976,8748
7300,446
3995,13343
40715,13135
63483,19787
74131,36761
38999,1424
19125,19124
835,250
8158,4105
40779,599
15576,15577
74201,7730
22513,11954
31627,6386
61420,61421
61736,633
68299,1424
27277,1894
22157,40738
39010,29696
835,49581
14680,3746
12675,14025
50981,1424
36898,42679
14218,6744
35288,1914
32124,1424
3603,14025
1517,19403
23071,633
17190,4297
4404,3344
73504,1860
4704,11667
44076,6042
8227,8226
10464,2772
5288,95
2983,4105
9575,62039
6025,7730
62756,15631
63310,24162
835,2971
4740,4739
10950,2075
73437,53830
35663,35664
32773,1424
57037,5802
19125,985
12127,12128
39407,39408
28710,813
48133,11393
19793,447
1496,1495
1909,1424
26273,3393
56212,15143
34513,250
11023,38426
36957,1860
64741,2772
12596,95
4152,1597
26968,19053
13001,13000
20158,544
6978,9245
11966,13782
6889,6888
11334,48308
16906,6816
42249,633
101,6796
14274,37659
4309,1724
35986,9989
835,28793
47891,47892
20408,16690
37673,29670
59623,250
30893,15012
23267,3089
29532,3051
39598,633
19762,8179
835,16297
65359,633
1425,5263
70467,633
27895,9208
14445,14444
36926,3051
19924,34
9403,329
49667,250
59738,14268
55649,22908
27216,633
56098,11225
32253,19223
16619,3006
21401,3689
28080,12624
16800,36
28595,932
44980,2842
74953,11627
18618,18617
27046,27045
311,756
29736,1860
34717,10467
48861,250
70459,572
74992,9116
2717,1424
16936,8979
14185,1424
30766,30767
34674,11315
22642,3567
8273,1597
53217,47082
62101,13135
14185,633
7743,3689
41941,28982
11138,8495
7864,1860
12256,56742
56098,23489
19080,40738
66209,17182
46652,2772
29909,2498
10919,9417
47062,1321
31055,14330
49093,353
68050,9245
75112,7730
24323,33672
72935,10417
53820,8703
29671,27045
29897,14436
25464,8736
64964,1860
7437,5992
8491,8490
8496,8495
34235,26259
11138,487
59276,74006
40503,40504
25875,633
60167,68018
742,3089
3995,2201
835,1628
51805,34867
33303,3052
3704,4232
19593,14184
47916,2772
71184,14423
35114,633
9465,633
1858,14184
19593,633
37271,281
4450,4451
8729,49471
17062,2304
14703,4105
38304,3089
20766,354
47746,18198
27055,172
46585,486
2552,4050
66885,7730
6513,813
51093,11823
41146,17031
15650,15649
18654,250
44808,44809
18444,71365
27638,1860
29707,29706
51762,427
41244,44168
64740,4712
55945,55944
31297,1424
13315,4105
31780,31781
15433,2772
25975,50942
65359,1424
7407,7408
5989,18333
64972,11627
39598,1424
32124,633
30905,1424
29082,1274
4604,1216
26971,17481
34861,40192
25519,1079
39319,2772
35672,633
32746,32178
39976,20537
50981,633
34573,633
46717,18400
835,1835
61035,6272
3633,3632
40910,72232
13602,4105
8962,1860
24346,250
40625,2173
24974,24199
44391,633
75085,14738
6484,34
34573,1424
38264,3228
39779,633
37959,26239
29669,29668
15049,572
23814,1424
32955,58482
56681,24046
835,53751
35217,633
6396,1275
50749,13886
9259,19338
9650,572
14026,2772
60233,8036
37727,1275
8702,1860
44248,633
3995,2010
13449,116
47165,633
40051,61024
40789,14025
4450,19511
835,11079
32297,544
61736,1424
26918,26919
835,2830
39466,71547
16431,3893
28178,19177
3818,882
25739,3567
5702,3175
40254,633
13666,17341
22946,23521
70630,633
13767,13766
7011,20066
28904,5588
7421,74529
15968,16524
50928,250
34242,7730
32038,32039
4186,2075
42981,20043
38057,22739
38391,427
53155,13495
64703,64702
27880,27881
56203,8830
62935,1424
1832,5017
