animalistypeofanimal_1,animalistypeofanimal_2
9079,7961
28584,2882
2478,284
824,11629
51634,768
23572,44167
283,824
5278,35009
7802,824
824,35894
2478,16258
3730,9399
1067,2882
5738,871
1067,3157
1759,824
8676,824
824,4865
2362,872
25979,108
2882,3730
824,21919
35894,824
2362,6080
1911,3730
14794,108
16922,16921
2328,9399
4694,107
3486,824
13314,4306
8471,784
216,1066
284,108
3681,9850
40401,824
36652,36651
2362,1111
14169,4866
53344,42859
2362,824
31191,10560
25897,3730
2531,2999
1041,2900
11815,2825
20119,824
6735,1358
2362,1759
28566,824
4694,9478
7136,53872
1111,5176
605,7988
4275,37330
23968,2825
9922,1759
8676,2328
23198,16968
29988,1066
7649,10854
824,6465
2328,217
19185,8181
11629,1066
824,7768
824,5561
21852,982
16105,10854
2328,5176
54614,42859
605,4306
6993,284
1911,2362
15455,2882
1641,824
768,16968
1358,7988
55135,2399
10957,108
2442,2900
824,15280
29637,3111
28073,824
17438,107
783,784
6216,107
7962,4709
27509,824
7795,14943
4405,108
32036,824
2328,1911
12181,284
3730,20059
824,3710
2906,1066
2365,18351
12363,2900
7077,108
27445,11669
284,1217
108,8008
10959,108
11629,5176
1616,108
8731,8732
1358,6735
17827,871
1616,5738
11951,1358
44167,1066
2882,53283
37440,284
3730,824
20059,3730
14227,9478
5176,1927
56741,768
14169,284
5176,2328
871,1066
29637,16644
222,2999
2478,9478
3680,11907
1977,6127
1111,6853
3730,872
824,18044
7685,5278
12441,4306
6853,1066
107,872
784,1976
27445,768
1066,1610
2365,1068
6853,284
872,3730
3846,284
4650,824
1758,4306
824,6785
6216,824
3634,108
16771,284
17185,3730
11543,768
5176,6993
42007,47001
107,11457
871,23900
12405,824
1066,11194
1217,284
2511,108
28350,824
48860,48859
108,871
15251,824
1358,284
8871,982
284,983
36582,2882
20127,8732
872,1217
1111,871
7685,824
1066,1616
6701,9850
217,6810
1507,824
2362,1642
824,12405
4405,2999
8298,108
21152,824
3810,824
1111,824
17718,824
59281,3730
7768,14943
13314,2882
26,784
34378,824
1641,108
824,1616
11543,59355
108,17975
5970,5738
33052,284
1066,32617
4306,108
1066,9977
3486,576
10432,824
4694,24862
19195,17584
1066,23900
3730,4694
284,871
6387,1066
871,26441
41541,2825
2328,3111
824,7962
4709,1066
2882,9922
9278,25979
19066,17584
17904,108
43864,784
284,6993
30121,784
4237,59478
7962,824
2882,11680
15509,824
50033,824
871,1111
60324,10991
20564,20563
2900,1358
6970,2999
1578,2882
12188,824
30276,11669
60644,3730
14251,1067
983,284
15900,108
35894,284
10959,2882
32977,3730
7962,3111
824,12363
1066,6387
28193,9605
107,12792
6993,1111
15900,824
8408,217
50301,2361
17438,108
61154,824
872,6810
58427,3730
216,824
2362,9399
6810,7988
12979,5738
3111,9922
4651,4650
2882,44206
3846,824
1066,40717
2906,824
14943,2882
55135,784
61751,824
40177,824
284,7962
2882,16105
4613,9850
284,1616
983,107
15353,824
4694,3730
12979,284
50111,824
1758,3111
2362,59281
8181,32295
51165,25979
1067,108
1927,22359
9887,824
824,871
824,34794
7962,1066
1067,107
824,2478
62490,42859
7649,2882
1066,6810
57234,3730
6185,824
40309,140
3730,1911
5278,3730
2328,1617
15236,108
871,217
4694,2900
1069,108
3730,5738
17091,2825
29988,2882
824,9399
1066,5797
2900,2442
32617,1066
5563,3730
51721,824
39049,824
6486,4709
11907,9850
28584,2362
2882,1758
26606,824
1758,10854
11339,871
20814,824
6429,24862
6429,23900
824,7696
40903,9193
61817,2825
13077,1111
12831,284
37541,1358
7962,23900
2900,789
23003,8732
5176,107
6465,824
1067,5176
17438,2512
10592,108
8841,784
871,11951
46163,1066
217,1358
3730,11421
3730,12505
6465,284
36910,824
2365,22636
1451,108
64577,3730
16771,824
605,824
824,7148
2882,20624
2365,3111
824,2882
824,6486
64788,4709
872,871
11680,108
28,108
824,6080
784,15870
107,3111
8871,26
824,1911
284,6216
1066,6429
7685,108
30241,2362
63535,4709
11270,824
2442,5176
2882,283
1977,6750
9399,3730
8871,784
65690,824
60462,824
1066,5176
15112,5176
42007,42859
6746,824
57851,784
107,1759
824,6853
4694,824
284,1927
12424,4306
36696,2362
3730,1111
29202,29201
2362,1617
16146,15166
32687,284
29941,784
24096,3730
8181,2825
1217,872
57234,824
107,2999
44954,824
2882,996
6429,2882
4694,3111
606,108
2998,66461
824,2906
63069,108
19066,108
824,5147
5486,1977
11421,3730
4865,4306
824,9977
824,16983
45304,1066
6080,5176
16644,1358
824,28
15970,284
2365,7988
1927,5738
6993,5738
28,824
3730,1066
31976,1759
1067,824
6853,108
7988,871
21229,1111
9079,3730
42696,2361
2365,108
108,6810
56802,2512
14532,784
20119,67146
28,284
872,1358
2882,9079
108,2365
1358,872
25978,1068
1612,108
11815,8181
107,1041
5176,3730
50382,50381
6429,5176
63476,42859
2328,5738
54445,54614
789,872
15070,2882
6184,824
3111,1066
2442,1041
12979,824
2511,3158
2642,824
15166,15165
1976,959
64368,2399
9079,1759
11378,10991
1578,11669
2328,22359
1066,2906
31259,824
32977,1066
26887,768
824,24125
5176,9922
37073,9605
23900,824
14227,4306
12295,14586
19066,824
108,1927
24140,824
1759,2362
12263,108
21291,386
108,1976
28,2882
1111,1616
5797,1066
18565,108
17438,824
17207,10991
13942,1066
7802,3730
3846,108
217,789
10918,2825
6810,2900
1067,1111
283,1759
824,17904
3769,284
2328,107
824,2362
2906,1617
19195,10560
1617,2328
32497,108
53283,108
217,2328
284,283
107,2882
54445,47001
1358,217
47834,824
36355,3730
3165,824
5278,7961
21152,16968
9977,824
108,44059
4865,1641
789,11951
19431,784
6810,5561
3681,784
15970,3111
6080,284
42283,824
871,3111
7768,824
3810,1066
42996,4866
6387,1642
16922,824
3730,5176
6958,2825
19066,2900
7768,284
4016,1759
29472,824
4275,8501
17185,2362
22871,824
824,3810
1641,2362
70046,4709
2442,1066
5738,784
6429,108
1927,1111
1066,4694
16983,4709
1578,824
3159,26441
44802,2361
4613,2999
10918,108
958,52913
1759,283
28,2362
34794,108
824,2328
107,25264
70338,784
51722,824
3730,107
784,958
70466,6701
107,3730
2362,2882
3730,24096
871,17827
17438,284
14532,982
824,29637
1927,3111
283,2882
983,108
11907,784
47353,4709
33152,824
49296,824
8181,19185
824,16105
824,15970
1066,2900
4237,824
26824,824
7136,824
28,4306
71077,824
16867,1066
872,2442
5797,284
2328,1111
71129,107
284,12979
1579,11669
2900,3730
4016,20059
28,4866
1066,216
41121,12901
4709,108
10918,2999
49296,108
3159,37330
43740,824
824,7685
386,2362
824,16644
2362,22871
38405,824
19066,10764
2900,5485
5291,784
284,6810
824,29472
15870,982
2365,16644
39007,11669
283,284
41121,784
23482,23481
4694,2362
12441,217
2478,71560
4865,108
6701,784
4694,26441
2362,3730
40615,29201
2442,10764
1066,871
62921,824
2442,11951
2900,12363
3730,4306
824,108
1111,107
4237,23763
69890,108
871,386
15353,3730
8471,108
2362,2361
59670,42859
38412,4650
6970,9850
14251,784
7961,824
1069,10854
11194,108
11951,6810
4275,824
29283,19385
1066,15970
5291,2882
2362,107
9135,29201
4237,1041
2882,3696
19185,2825
12424,108
4694,872
23900,1066
15175,824
32687,824
40957,824
2999,4829
1217,108
983,5738
4709,824
17975,108
5738,2399
3111,14227
606,284
789,824
16644,12441
1217,7988
47138,2825
31570,2999
6216,1066
9605,284
10764,824
69044,108
2825,19185
15970,824
824,43740
26744,824
40717,824
55301,108
56198,982
31765,824
9922,32013
1401,108
824,12623
44206,824
3730,7802
824,3730
1067,284
38777,824
72691,10374
1111,1066
9605,824
72722,3158
9399,2362
7136,16968
25897,2362
145,824
9079,284
12391,284
284,15236
23572,23571
2399,784
70825,1111
15112,23900
1358,1066
38412,824
1111,3111
2478,7988
1069,284
11378,108
1066,872
1617,6853
2399,982
37057,784
3730,51020
1612,3730
4865,2882
52334,29201
107,2362
824,5485
37246,2415
15112,12792
8408,824
7649,2362
2478,3111
69169,2735
19999,824
39007,17584
48975,11951
1610,108
68761,10374
7696,824
2478,824
108,2511
2362,1610
25467,25466
7962,108
6492,108
5176,1358
29933,824
9399,824
6750,784
2882,958
1617,871
23572,46372
2328,2900
14169,2882
11543,17584
16644,824
6216,108
4016,824
871,5176
768,11669
35009,5278
1617,6080
14586,12295
1759,3730
62157,784
56198,784
107,11680
958,12296
14532,5738
824,1759
20035,2399
6387,108
24878,824
5797,2362
19085,4709
2882,15175
53989,2825
824,2442
6810,824
11748,284
2415,108
5611,10854
73819,108
1358,108
2415,6970
789,2900
7077,7988
12456,824
871,1617
2478,1068
42007,36651
3730,2900
49882,824
2882,2362
4694,4709
10343,9470
26885,824
1610,2362
34794,4709
6993,5176
7962,34794
8876,217
284,4694
6082,1066
108,3730
1758,2882
9779,2825
3730,2362
824,1610
24143,824
1617,3730
8871,386
1617,2906
4306,824
1977,4829
284,6853
1111,4405
789,217
2882,9887
14169,824
16983,824
7417,2825
12877,9850
3730,1759
11270,9850
2328,284
5176,824
51796,824
2362,1612
2882,7768
1069,824
824,37440
5797,2882
6958,2999
1616,284
2362,386
14251,26
284,789
12295,18205
824,3165
7685,3730
11907,2999
15112,108
12363,824
12188,1066
11378,11377
824,17441
10957,2999
1066,1451
284,2328
2882,6785
3730,2361
2511,284
60849,824
18351,2365
3730,7685
3730,1610
784,2999
23837,784
23763,824
824,15236
11270,1160
1040,824
69169,74511
57698,108
2882,6759
784,2400
1066,4709
7962,107
15251,108
39007,2882
1927,284
15112,2882
50224,784
871,824
1111,27
9977,1066
1111,284
15870,5738
6853,5738
7988,1358
7988,3730
12181,824
10425,9850
108,1066
824,24140
5176,1067
18565,784
28,1759
12670,824
4405,8676
1358,11951
34794,824
6810,284
824,10764
2328,8676
7077,982
2328,824
1111,108
12877,2415
3730,32977
62464,25979
45304,824
37440,824
1358,5176
2362,1066
2900,871
6810,872
11421,2361
9079,32057
1066,2882
108,4829
48975,824
9041,959
72939,17584
283,3111
5176,2362
6810,1066
6080,1617
4694,2999
1111,1617
1066,6853
1066,2328
3730,2386
11543,10764
824,15251
6853,824
2882,824
15175,2882
2882,6750
10561,10560
2362,2328
19085,824
3111,824
108,2362
58620,6970
4694,2882
6701,108
2900,1066
32977,5278
1758,3730
74997,10374
21735,2825
5659,3111
871,2900
2882,11629
1927,5176
8181,17740
75044,824
1066,45304
5176,6080
1617,1616
25979,824
3730,1758
4865,2362
11421,2362
47353,34794
14532,26
10104,2999
1066,46163
9887,1759
28566,4650
8548,824
1066,1067
27445,17584
5611,2882
824,9079
75135,784
2361,5278
11951,789
2361,3730
2362,25897
15070,71618
12296,958
66476,66477
42604,784
14851,9605
17975,3111
824,2361
5797,23900
11748,824
72336,9041
2400,108
32742,784
824,14227
34625,824
824,6993
12505,3730
4613,3681
2362,11421
3730,284
16105,2882
38405,4650
6184,11951
17799,107
2167,108
2361,824
46372,824
6759,2882
15236,824
1617,1111
21280,2365
1354,140
74614,25979
4694,108
19066,53274
7077,784
22871,2362
3730,108
824,12181
50623,824
33052,824
27704,824
983,824
824,11748
1642,2361
15970,1066
54445,42859
3159,35506
9922,2882
5561,6810
6853,5176
3730,2882
51871,2399
12263,2999
3681,2999
4866,2362
2362,6810
824,12792
7962,284
5738,6853
1758,32802
3769,14943
2362,108
1041,11951
7685,11084
871,7988
2677,1066
108,824
5278,2361
2825,8181
2906,2362
37441,44059
1616,1066
19066,1041
21919,824
6080,824
824,1217
2362,284
7685,1066
6216,284
54545,3491
15353,1066
2825,11815
2415,784
37882,824
11339,3111
23043,824
51747,824
107,1911
983,5176
3730,25897
824,1111
56145,44059
1401,824
5797,108
284,3730
32664,2399
871,5738
2642,284
1066,17904
11916,4709
4866,1066
75454,784
6993,824
19066,768
15970,2882
4866,824
45304,34794
284,2362
26134,824
52085,824
19085,1587
32626,2399
284,1358
5485,11951
1066,1111
1111,1067
53283,2882
4609,824
871,107
5797,4306
23837,2999
6970,784
12901,784
44568,9470
2362,17185
824,216
6486,824
71090,2512
2677,824
824,6184
3769,824
16222,1579
872,2362
824,6185
11951,5485
54445,36651
48543,824
