persondiedincountry_inv_1,persondiedincountry_inv_2
116,47838
116,9271
116,47944
116,47954
116,46542
116,48150
116,47600
7836,48238
116,48372
116,33551
116,48487
116,23929
7836,32646
116,48567
116,48618
116,40591
116,48955
116,32659
116,49069
116,30726
116,2132
116,49228
116,49496
116,49525
116,7876
116,15320
116,17338
116,50260
116,50587
6044,50679
116,50768
116,50795
116,1919
116,50989
116,48789
116,51333
116,40097
116,51561
116,51591
116,32854
116,51732
116,18215
116,52000
116,52157
116,13933
116,24251
116,52508
116,52641
20746,20745
116,47355
116,9651
116,52788
116,20460
116,20854
116,20113
116,53482
116,53559
116,49184
116,53586
116,53598
116,53646
116,53724
116,53808
116,53932
116,43029
116,54141
116,8445
116,54294
116,54359
116,21169
116,51944
116,49094
116,30476
6044,54580
116,54945
116,45921
116,55115
116,55224
116,55255
116,55386
116,55461
116,1229
116,55489
116,55498
116,55532
116,55594
116,55596
116,4938
116,55680
116,47787
116,55897
116,10046
116,55961
116,10277
116,35084
116,46635
116,56143
116,56301
116,56405
116,56430
116,12427
116,55114
116,36490
116,56580
116,56655
116,5531
116,57072
116,18360
116,57280
116,18681
116,57489
116,57526
116,46038
116,57669
116,57724
116,57741
116,58167
116,45759
116,58393
116,58481
116,51458
116,58657
116,44998
116,37783
116,22958
116,35817
116,54574
116,8981
116,47136
116,59021
116,8813
116,59071
116,59100
116,1382
116,59196
116,43679
116,59386
116,59470
116,56578
116,11496
116,52470
116,59963
116,12186
116,60062
116,21604
116,15503
116,55029
116,60454
116,60470
116,60475
116,60573
116,58726
116,7364
116,60870
116,60976
116,5392
116,61106
116,61207
116,61271
116,40506
116,57267
116,53292
116,54783
116,41657
116,61424
116,61453
116,61475
116,61486
116,61489
116,32253
116,61585
116,61644
116,61767
116,61794
116,48739
116,25542
116,61986
116,61438
116,37772
116,62235
116,47846
116,62333
116,60964
116,62403
116,32269
116,40165
116,42086
116,50943
116,33976
116,36533
116,22149
116,59237
116,28712
116,20131
116,63058
116,15904
116,63152
843,62336
116,63217
116,48731
116,57117
116,50627
116,63417
116,38390
116,63525
116,63534
116,63599
116,63663
116,63689
116,61776
116,51902
116,63829
116,17024
116,64039
116,62529
116,58511
116,20823
116,40492
116,64701
116,64773
116,60263
116,64810
116,45160
116,15028
116,59972
116,16454
116,50051
116,31676
116,65050
116,11436
116,496
116,8832
116,50579
116,44600
116,56413
116,26683
116,65567
116,32684
116,65673
116,65680
116,65704
116,38751
116,65783
116,65813
116,65822
116,64668
116,65897
116,37686
116,65915
116,63899
116,40790
116,45558
116,65966
116,66053
116,37447
116,32478
116,66195
116,54427
116,22046
116,66289
116,66325
116,42878
116,66405
116,25895
2723,66481
116,66514
116,17477
116,66626
116,27179
116,66685
116,46599
116,21734
116,66844
116,66576
116,66870
116,62732
116,53245
116,66932
116,25098
13230,67028
116,49753
116,67213
116,67218
116,67238
116,67266
116,13087
116,67520
116,67567
116,10667
116,7225
116,56858
116,67754
116,13651
116,47601
116,67852
116,67871
116,67890
116,34425
116,67976
116,57955
116,39443
116,68116
116,15832
116,68215
116,68218
116,8504
116,68312
116,63994
116,68465
116,35049
116,68483
116,11610
116,33858
116,21958
116,68557
116,68573
116,68582
116,16566
116,43058
116,68802
116,20976
116,27663
116,68892
116,68928
116,61609
116,69035
116,64121
116,64947
116,69106
116,69220
116,2515
116,69324
116,5055
116,23523
116,69343
116,69386
116,54443
116,68858
116,29535
116,43452
116,21618
116,25294
116,69571
116,69411
116,68556
116,69674
116,66051
116,24728
116,58536
116,29292
116,27730
116,68391
116,70030
116,59754
116,70235
116,39083
116,20265
116,63569
116,70355
116,70356
116,9775
116,58958
116,32540
116,6262
116,46185
116,70528
116,63627
116,68905
116,62958
116,14744
116,70618
116,61518
116,66618
116,70645
116,64999
116,70703
116,28850
116,62877
116,70755
116,61834
116,20387
116,70837
116,21821
116,61261
116,70887
116,70901
116,70946
116,58743
116,11363
116,71006
2626,55790
116,60793
116,3962
116,71259
116,44888
116,71287
116,71382
116,49480
116,13662
116,33315
116,38844
116,71535
116,22110
116,36899
116,71610
116,44005
116,42284
116,3862
116,71710
116,39412
116,20007
116,61482
116,71869
116,52767
116,22455
116,59345
116,71940
116,71941
116,63314
116,39082
5043,72021
116,48353
116,27546
116,72124
116,72142
116,49779
116,72371
116,69682
116,68886
116,72433
116,44694
116,72497
116,67413
116,59514
116,44714
116,59383
116,25607
116,592
116,70805
116,48957
116,56377
116,63949
116,66202
116,19640
116,65883
116,58618
116,7591
116,72540
116,27985
116,28619
116,3057
116,72083
116,69510
116,73074
116,64754
116,41024
116,25860
116,24967
116,63740
116,21462
116,28475
116,73187
116,36270
116,73256
116,52859
116,69861
116,64593
116,65410
116,68134
116,73085
116,68747
116,57314
116,53601
116,67405
116,70923
116,68790
116,31540
116,48008
116,10025
116,11076
116,66788
116,65304
2626,73653
116,72364
116,65429
116,25601
116,25069
116,52635
116,73762
116,57905
116,33271
116,73843
116,32320
116,73944
116,72736
116,53243
116,68152
116,74008
116,72613
116,64015
116,3682
116,73960
116,41598
116,49347
116,74115
116,74116
116,13300
116,35074
116,59188
116,24400
116,74188
116,74107
116,16493
116,67618
116,29011
116,61351
116,56186
116,14421
116,23119
116,55205
116,55127
116,74076
116,72865
116,66568
116,54247
116,67613
116,64101
116,10990
116,56848
116,71555
116,22164
116,61406
116,74365
116,66896
116,48109
116,74397
116,16691
116,45986
116,41592
116,14973
116,25090
116,51549
116,72594
116,58513
116,74671
116,74678
116,63907
116,64814
116,9321
116,70878
116,74143
116,59791
116,16774
116,70809
116,44732
116,21193
116,20620
116,74848
116,72552
116,74885
116,66883
116,48921
116,42488
116,13128
116,74958
116,49298
116,65540
116,69970
116,67046
116,61485
116,70959
116,51366
116,75001
116,69982
116,1684
116,69667
116,1169
116,35750
116,72510
116,68918
116,28679
116,75117
116,33408
116,56805
116,56353
116,74203
116,48925
116,62083
116,32577
116,55280
116,71115
116,74202
116,32055
116,33587
1256,71449
116,68868
116,19419
116,24115
116,75257
116,67587
116,72805
116,54424
116,12745
116,62737
116,25449
116,75346
116,54481
116,27196
116,70489
116,75280
116,75362
116,48360
116,3203
116,56821
116,54622
116,21365
116,49495
116,19467
116,39040
116,60518
116,75400
116,12202
116,53307
116,74222
116,62274
116,52132
116,56126
116,37995
116,55967
116,43125
116,67195
116,45137
116,68680
116,60539
116,38987
116,58142
116,66711
116,53906
116,70428
116,45225
116,60562
116,65982
116,75018
116,56617
116,42170
116,64468
116,73329
116,72107
116,66607
116,75377
116,73880
116,41483
116,65211
116,16920
116,43748
116,54306
116,47541
116,53190
116,48903
116,75398
116,17748
116,47218
116,11362
116,62852
