politicianholdsoffice_inv_1,politicianholdsoffice_inv_2
5587,43675
3701,3008
6339,48919
14157,2379
5587,28444
357,68953
357,10951
13064,25513
11686,1671
357,69224
3701,8433
6339,34702
14795,36268
3701,44326
360,20130
6339,32999
360,2333
14611,64256
360,7866
10707,1671
360,69929
360,12137
6339,15178
3701,5648
360,12043
3701,4533
357,16338
357,7973
357,17736
357,14170
46638,42228
357,54964
357,3364
70724,5213
360,32072
357,39409
360,3008
360,49914
360,32441
357,71375
5587,62682
3701,12137
360,43079
360,70320
3701,13785
14157,1469
360,5975
360,70497
360,31335
3701,48323
357,71811
357,71313
6223,1671
3701,13356
3701,71983
360,72011
360,46625
360,23038
3701,796
360,49988
72208,1671
357,43756
3701,542
3701,29098
3701,45522
360,10112
6339,57296
360,43675
357,72582
357,71310
11686,2397
12589,25513
357,72741
357,51733
6339,2397
3701,11550
357,72887
15425,1671
360,64292
17479,1671
360,52986
360,22569
360,72620
3701,70891
360,20895
3736,1671
3701,9971
360,41611
38380,1671
357,24217
4124,8850
3701,69607
360,53127
357,59019
3701,24663
14611,8496
5587,73864
3701,23565
3736,19558
360,72913
360,25805
3701,14636
357,57129
357,72526
360,6485
357,70709
54332,1469
360,50869
357,46008
32957,66597
490,3656
12589,29232
360,11687
357,7211
360,46578
5587,62434
3701,4579
14157,25132
6339,34328
5587,74323
3701,6586
3701,38948
357,73850
360,44535
357,48122
360,19933
357,54154
357,438
6339,8850
357,16219
3701,301
35248,9584
357,70927
357,72690
360,73716
357,8777
14157,8156
360,17161
13064,11193
3701,29139
4124,28444
360,3402
6339,20129
360,359
6339,43795
357,1476
357,39954
357,68499
360,4248
357,58775
3701,3364
360,54964
3701,1985
360,5969
74246,1671
357,63617
357,21235
360,32906
5587,1123
360,74932
357,19880
357,1671
360,5723
357,23038
14157,1671
5587,61220
360,75245
357,59310
62173,1671
3701,19183
13064,6355
14611,49210
14157,5988
360,43795
34152,437
7418,1671
360,7015
357,24205
6223,7665
360,65375
40936,437
14795,437
5587,70086
357,64206
357,68181
357,8156
357,60485
357,796
14611,42934
360,64069
357,55722
357,73117
13064,1469
357,73671
357,74028
360,67055
12589,7665
357,75175
360,39523
14611,61143
14157,5625
360,29945
5587,23038
360,8506
14795,8433
3701,58194
