personbornincity_inv_1,personbornincity_inv_2
74,54611
74,21904
74,54806
74,30548
74,55151
74,22069
74,26321
74,45581
74,778
556,55990
74,56077
74,56083
74,11367
74,56115
74,17189
74,13178
74,23497
74,10835
74,16454
74,45671
74,8498
74,6274
74,2801
10711,23543
74,49110
74,12432
74,12978
57882,13932
74,36410
74,13807
74,25621
74,7492
74,30099
74,22402
751,58372
74,11632
4310,58503
74,29285
74,10100
5813,6903
2307,1514
74,18200
74,16281
74,41168
74,21044
74,3266
74,15558
4310,59716
74,19966
74,27181
74,16515
74,41925
59932,59933
4310,50148
74,60424
74,60425
74,18387
74,27892
4310,3264
74,3932
74,9536
74,34583
74,49266
5459,36751
4310,51891
74,24542
10644,7042
74,7
74,42741
74,16925
74,15014
74,16848
74,51320
74,33636
74,34718
74,33619
62748,5307
74,51427
74,49769
74,43921
74,26842
74,50134
74,3257
7939,10102
19596,19597
74,3504
74,2589
74,48149
4310,12137
74,43971
74,29165
74,1990
74,52757
74,26579
74,7841
7220,56028
74,49013
74,11987
4575,5803
74,12633
74,43768
74,38694
74,1515
74,61836
74,65356
74,53517
4310,2552
74,65468
74,45108
74,12480
74,7459
74,27282
74,42590
74,59626
4310,4850
74,43680
74,62251
74,66363
74,24998
74,3995
74,33753
74,53513
4310,13251
74,22937
74,50398
74,7050
4310,3212
74,34106
4310,49608
74,25030
5813,26356
74,102
74,20699
74,43525
74,10990
74,24664
74,50781
74,709
74,67907
74,2393
74,56505
74,25495
74,10164
74,56671
74,30160
74,11155
74,60866
4575,14621
74,3169
74,18800
74,18378
74,51056
74,14631
74,69043
4310,8683
4310,13288
74,11360
74,11259
74,21862
133,24720
751,69426
18046,46660
74,8561
74,6857
74,20803
74,3807
74,12021
74,56256
133,65300
74,38373
74,8437
74,46098
74,6358
74,27125
74,70145
74,25854
74,9777
133,6892
74,18340
74,2373
133,8061
74,48347
74,39529
74,58445
74,24928
74,30050
28299,55049
4575,6945
74,28934
74,35400
74,48096
74,15068
74,22777
74,14667
74,4711
74,63772
74,69316
74,71868
74,13308
74,19376
11010,20425
74,14469
74,18663
74,10562
2631,91
74,27329
74,17159
74,72426
21934,38580
74,45071
74,26297
74,20087
74,2003
74,175
74,3571
74,49390
74,30777
74,40414
74,28945
74,1973
74,38223
74,19291
4575,3627
74,23616
74,1076
74,61803
74,58808
74,5847
74,55773
74,11968
74,11230
74,935
74,35992
74,16005
74,12116
4575,18874
74,7468
74,9019
74,8831
74,418
4310,43449
74,8594
74,43314
74,12207
74,29351
74,8556
74,378
299,67480
74,47774
74,26770
2802,9575
74,26841
74,12826
2163,17281
74,25025
4310,10659
74,18231
74,34243
74,9586
74,9765
74,52753
74,13122
74,41112
74,2600
74562,74563
74,61637
3695,34535
74,56673
74,16315
74,22262
74,1149
74,15524
74,26499
74,10085
74,20133
74,37489
22141,47942
74,74747
74,10352
74,20388
74,4879
4310,1025
74,45369
74,5793
74,17153
74,13866
74,25100
74,19627
74,21309
74,3113
74,41265
74,124
10890,75130
74,21458
74,12567
74,30197
74,2333
74,1303
4310,67693
74,2967
74,38747
74,11844
74,67421
74,9023
74,25233
74,33265
74,1995
74,18153
74,29655
74,13153
74,14050
74,43161
74,15009
4310,27138
74,58757
74,26486
74,25512
74,1376
74,33234
74,4239
74,30992
74,19047
74,35385
74,11058
74,40874
74,32378
74,33183
74,187
74,48005
74,7587
74,32776
74,65922
74,7867
74,69120
133,22932
74,8525
74,52282
74,43288
74,27710
74,30143
74,46972
74,13155
74,61148
74,21424
74,13754
74,9046
74,15174
74,3912
133,75482
74,23953
74,69329
74,34155
74,16744
74,5795
74,3700
