visualartistartform_1,visualartistartform_2
50759,73
50852,2148
21311,1244
25412,3583
24389,73
52244,937
8426,2148
52342,1244
48111,73
24286,73
24389,7515
12777,1244
20266,73
53058,1244
23931,1244
53112,1244
2147,1244
13244,3583
31913,1244
9103,6924
11147,4897
35624,73
45963,73
5320,937
5070,7515
28894,73
27721,73
54896,7515
55010,1244
40921,1244
45382,73
55188,1244
14907,1244
8410,1244
29405,10981
29405,5319
45963,7515
10980,2148
44724,1244
41441,26200
56073,1244
26607,1244
44899,2148
54185,73
11156,3583
30136,5319
56371,1244
31847,1244
29513,1244
19656,73
54379,1244
34058,1244
11156,73
39291,1244
17581,73
7935,1244
43576,38316
57580,1244
47852,73
7772,4897
7517,1244
20377,73
57745,1244
26148,1244
7514,1244
43576,1244
13244,7515
5320,73
1458,73
38041,1244
24103,3583
51690,73
9377,73
58583,1244
36825,1244
53741,73
7514,73
41846,16910
29405,2148
27017,1244
28332,26200
59454,1244
59671,73
25412,73
29394,1244
39995,1244
47852,1244
59995,7515
13212,26200
45382,4897
40080,1244
59322,1244
1566,1244
50136,4897
60579,73
17363,1244
57221,1244
21795,1244
28332,73
33142,73
12978,1244
34058,7515
7772,1244
61372,1244
22518,73
31913,2148
11147,73
60356,7515
30136,1244
48202,26200
53741,1244
1566,7515
61783,73
22152,3583
21795,38316
43576,2148
17864,2148
62069,2148
62071,1244
27158,73
62912,1244
63085,1244
22152,73
13301,7515
30055,1244
63346,1244
63370,1244
23096,7515
24389,1244
56503,2148
63763,7515
21795,73
63880,73
22152,1244
64044,1244
33024,73
1566,73
27158,10981
64659,1244
3725,2148
35129,1244
39830,1244
36519,7515
12978,12977
21795,46819
14781,3583
44899,7515
14781,73
17581,8425
32994,1244
22039,1244
21795,7515
37319,2148
47583,1244
54315,1244
17844,3583
22518,1244
66302,1244
42699,1244
21795,6924
66488,1244
5514,1244
10980,1244
14781,26200
29405,1244
44899,73
34058,2148
59049,1244
67054,1244
17844,73
2326,73
58583,7515
50759,1244
12978,25274
48157,1244
42216,1244
14781,2148
21795,3583
58583,2148
13212,7515
38041,2148
64202,1244
68549,2148
24615,1244
68671,73
24389,937
13301,4897
12978,7771
69026,1244
17525,1244
42806,1244
51690,1244
21795,4897
29513,2148
24103,28461
31913,73
29394,2148
9448,38316
61166,1244
21795,31264
17844,2148
7772,73
4896,42801
7514,2148
22990,1244
24615,5319
12978,10981
49344,73
41821,1244
14726,1244
61230,61229
34655,1244
70009,1244
11147,2148
7935,73
5320,3583
68671,1244
41441,1244
43576,73
25145,1244
43576,4897
7772,10981
39830,937
32118,1244
54315,73
67462,1244
21795,29642
38041,73
66315,1244
21795,937
9103,7515
57490,1244
21795,71296
63763,26200
16456,1244
52244,25274
21795,26200
19656,2148
22039,73
2147,73
23931,3583
17844,25274
51567,1244
7772,64478
13301,2148
71961,1244
72,1244
68671,2148
25401,1244
72122,1244
49860,7515
9377,5319
23528,7515
22152,61999
11147,937
8426,73
27645,1244
1566,3583
70168,16910
11743,2148
33142,1244
27721,1244
44905,1244
50706,26200
3582,1244
31806,1244
1566,10981
40080,10981
25412,7515
45382,7515
2326,2148
41572,7515
45963,2148
36963,6924
28894,1244
52244,7515
64986,1244
5070,1244
8426,8425
19656,1244
27756,1244
45963,3583
47456,73
6001,2148
13212,73
7772,2148
5320,25274
27017,7515
58810,1244
59084,1244
29513,7515
11156,937
29513,73
25145,7515
21795,10981
3582,73
13212,1244
15669,8425
7517,937
24615,2148
40080,2148
50706,7515
21795,25274
72094,1244
59671,1244
48030,5319
73433,1244
11147,5319
7772,937
14781,6924
28894,7515
25554,1244
28894,2148
22152,2148
69165,1244
60579,1244
4314,73
22039,2148
34848,1244
62069,1244
60750,1244
24615,73901
5070,73
54185,1244
11147,1244
64910,1244
12978,28461
8410,73
63877,1244
52244,1244
48157,7515
23096,25274
2237,937
3582,7515
7772,59602
8370,2148
11156,2148
66302,2148
5320,26200
41441,6924
74843,1244
44899,1244
72878,1244
47852,2148
74874,1244
48202,6924
21795,7771
74948,1244
27721,7515
41821,2148
33024,7515
1566,25274
17844,4897
23096,73
51982,73
16456,2148
54315,7515
37319,1244
71926,1244
35143,1244
25412,1244
53908,1244
5320,1244
13244,2148
17844,937
12777,73
14781,4897
10980,73
12978,3583
60396,1244
48111,7515
4896,1244
12978,75359
6925,6924
55326,1244
12560,1244
55010,4897
50759,7515
58201,1244
48030,73901
9377,2148
63258,1244
48030,1244
56882,56881
7772,3583
58310,1244
7772,38316
17844,38316
27721,2148
75367,2148
33024,1244
5320,10981
35624,2148
