animalistypeofanimal_inv_1,animalistypeofanimal_inv_2
22359,107
108,15251
784,783
2512,606
824,44206
284,3846
3730,22871
9470,10343
1067,2882
784,5738
8501,3159
6970,2415
1066,46163
784,41121
7988,1358
996,2882
824,46372
3730,2882
768,26887
824,1641
7961,824
108,6080
1066,1612
9478,14227
2882,15175
9779,2825
824,34794
4306,605
9887,2882
4709,47353
824,47452
2361,44802
108,1066
11842,784
108,1358
2882,7795
6993,5176
824,47834
1911,824
5738,6853
824,11612
16968,7136
386,2399
2825,47138
1759,5611
824,1759
42267,107
5738,15870
824,48543
2365,7988
824,4651
9399,2328
48859,48860
1067,4694
107,5176
3111,14227
15353,824
3111,29637
8501,15455
17740,8181
3111,6465
108,10959
6810,1066
1066,871
824,2511
108,49511
9079,284
4306,107
3730,1617
14943,7768
824,15900
1066,6387
824,50033
19185,8181
824,6810
284,3769
3730,11421
14943,3769
5176,983
50381,50382
2442,2900
824,50623
4709,11916
8181,19185
824,44160
3111,871
9850,3681
44059,37441
1617,1111
28,824
789,872
284,4275
40717,1066
824,4694
1111,2362
25979,51165
6185,824
107,6216
784,18565
1066,108
824,4609
108,15970
284,2328
824,4275
824,3111
1642,1641
784,14251
824,51722
216,824
2399,51871
5290,108
824,4237
2882,15236
784,26
824,789
8841,17115
2999,6701
2677,1066
11543,824
15280,824
2882,13314
18188,2825
824,6080
824,283
3730,7988
1066,6080
19185,2825
284,14227
23900,15112
217,871
4866,28
824,6486
44059,108
1111,871
2365,18351
784,30121
824,4543
1066,7962
5278,7685
5485,11951
386,6759
2399,19431
108,2328
1066,15353
16258,871
824,7961
108,12391
7148,824
1067,1111
29201,52334
284,983
107,3730
18351,2365
871,108
2362,30241
8501,4275
1041,2442
24862,10959
1066,32977
284,1758
824,29843
3491,54545
16105,2882
824,606
12792,824
2882,1758
784,32742
1641,4865
1066,15900
871,217
34794,47353
824,44954
1066,23900
1066,2328
2362,1759
108,41488
872,871
9470,9469
2882,4016
2999,31570
2900,789
386,21291
18205,12295
5176,15112
11951,3730
1217,284
17584,11543
3111,1111
6810,7988
824,11332
42859,42858
108,2415
108,983
1616,1111
2361,1066
982,8871
2900,19066
4829,1977
4709,1066
824,11680
44059,56145
982,56198
1066,5797
11951,6810
1758,1759
108,10592
42859,54445
1066,1616
2900,3730
5176,6080
5738,12979
982,7077
1759,824
824,15280
54614,54445
13382,2478
824,16771
11680,2882
824,40717
5176,1066
824,7802
108,4694
3730,57234
1066,1358
5176,9922
1358,6735
53283,2882
9478,605
2999,784
108,107
824,28073
3730,36355
11421,3730
4306,3730
4405,5176
15166,16146
108,57698
17975,108
4709,30702
284,3730
784,57851
824,57234
2362,4694
1066,6082
824,15509
576,3486
5422,3730
1066,29988
2362,6387
284,605
2361,824
5176,1067
35894,824
1358,5176
12363,824
784,39618
7988,14227
784,50224
217,216
824,23900
386,1997
5485,2900
284,6080
3730,58427
7988,2365
3165,824
32013,9922
824,29637
784,3681
217,8408
824,26134
824,19085
824,12363
824,12263
1759,2362
25979,47667
5176,2362
2361,3730
16968,768
2825,10918
9193,12295
2825,36724
108,6853
32617,1066
108,3730
2328,5176
59355,11543
871,11951
2900,1358
27,1111
27509,1066
824,35215
108,11680
8181,17740
284,28970
25979,9278
9850,12877
7768,23572
284,32687
284,2362
2399,32664
1587,19085
2882,6216
2365,16644
6465,824
789,217
6127,1977
6810,872
824,24140
2882,6429
108,7962
284,1069
2362,5797
10991,60324
2362,1641
824,10764
1358,7988
2478,824
824,8676
5278,3730
824,12831
34794,6486
5176,1616
24862,6429
283,386
9605,824
284,15970
284,4694
16644,1358
2442,23572
824,26606
2415,12877
871,5738
3111,1069
12792,15112
2512,3846
3730,1758
2328,284
20059,3730
3730,8523
824,43740
23900,6429
789,11951
2882,8548
1067,284
824,22376
6735,3730
1217,7988
824,9799
5176,2442
6810,15280
1976,108
2328,824
108,37057
824,26887
386,8871
824,17904
983,284
1066,4866
2328,8676
4650,28566
7685,1066
784,62157
284,871
6993,284
107,6810
1759,4865
108,12181
1579,24180
108,3769
824,24125
824,33152
1041,1040
108,2511
6429,1066
17584,39007
2399,55135
1111,2328
108,7685
9470,44568
9922,5176
12979,284
1067,8676
1758,3111
107,2328
2999,107
6735,1358
20059,4016
108,63069
17584,19066
108,1612
824,27871
4866,14169
2512,56802
871,5176
1066,10959
59478,4237
42859,63476
6735,1217
2399,32626
4709,63535
2362,2882
4709,7962
1759,1758
3730,7685
2882,3159
7923,9041
824,15970
2999,4613
284,37440
2882,1578
824,45304
1759,9922
26441,4694
6810,217
108,12424
2365,21280
22871,2362
217,2365
108,11194
108,12263
4694,9478
768,51634
36651,54445
2399,64368
10854,7649
824,26824
10854,1069
3730,5422
824,15353
784,23837
784,17115
1358,37541
1066,44167
824,16922
2361,50301
824,38412
824,12271
824,9977
824,12239
3111,28
13382,2365
824,25979
217,1217
12257,4694
10764,107
108,3634
1612,1066
9850,10425
47001,42007
108,28
824,4865
824,24096
872,1066
1358,872
52913,958
5278,32977
108,2365
824,216
784,43670
11063,11062
108,26744
871,872
2362,386
12296,958
824,49882
1617,2362
284,1616
7685,3730
6184,824
5738,1616
1066,7685
7988,7077
5738,5970
1068,25978
2362,42996
3111,824
3730,32977
824,37882
6080,1066
7988,871
1066,17904
1111,1617
2882,3730
872,4694
1066,4709
36582,11680
2999,2531
11629,1066
824,4650
4865,824
824,34749
108,11378
20796,107
21280,2365
824,2882
108,15455
1111,13077
3730,824
15251,824
824,1507
2882,824
284,35894
1066,6853
2362,17185
23900,7962
217,8876
824,9605
51020,3730
1066,13942
1641,5797
824,12670
4709,64788
2882,284
108,8298
2825,7417
108,10918
17584,768
7961,3730
11457,11456
23900,1066
824,7696
8676,1067
1759,28
1616,5176
21919,3111
42859,59670
108,53283
1111,4405
5738,4405
21919,824
824,3769
2999,12263
108,32497
11907,3680
2900,2328
107,17438
784,8288
3111,1066
3730,5278
53872,7136
824,1067
6810,2900
1217,6735
1612,3730
108,19066
824,1451
1066,3111
108,2442
789,16644
1066,8523
1111,1616
1068,2478
784,11907
824,65690
2882,53283
108,3159
2825,23968
3111,2365
2900,4694
2415,37246
11951,871
2362,9399
46163,1066
386,1111
4709,17441
17584,30276
12295,18205
46372,23572
824,13314
108,12188
7962,284
3111,4694
19385,29283
16968,16967
2365,108
789,284
1066,5176
824,871
1758,824
824,29933
2882,23043
6853,5738
2365,217
824,1927
9605,28193
108,15236
10374,68761
872,1217
824,49296
217,12441
16983,824
1617,2328
824,48975
15870,784
872,107
871,2900
16644,789
16258,2478
108,69044
6735,2442
3158,3159
1068,18403
2735,69169
824,27579
6750,1977
7768,824
16258,12831
15166,15165
34794,824
10854,1758
824,35680
784,55135
10560,39007
284,606
11815,8181
108,5937
2362,28584
824,6184
66461,2998
108,8471
824,7962
959,9041
983,824
284,17438
872,789
108,69890
108,1067
2900,871
10991,17207
5738,2328
2882,29988
824,21919
824,5659
16258,2642
824,40957
1111,3634
2362,107
3730,64577
824,5485
4306,12424
824,35894
5176,6429
1617,2906
10764,824
5176,3730
7685,824
108,1758
12296,12295
26,14532
9399,2362
9478,4694
1066,6746
284,2642
108,27054
11669,39007
19385,15761
2882,28584
107,871
9922,3111
6486,824
1976,784
2882,11680
784,2399
3730,6735
824,29913
1066,1111
3730,60644
3730,20059
2825,41541
3730,1612
824,39884
11421,2362
2999,10918
1111,1927
1111,70825
32977,3730
3111,107
5176,4405
108,1111
5278,2361
824,36910
284,6465
284,7768
284,1358
8732,20127
37441,23572
3111,11339
59281,2362
284,14169
2512,71090
824,11543
824,1069
17584,49196
982,14532
3730,25897
1067,14251
32295,8181
386,2362
25979,62464
108,6492
2399,25886
824,3165
3111,21919
784,56198
3111,5659
872,1358
108,958
3730,24096
824,28566
824,37440
16968,21152
784,14532
1041,4237
5738,1927
2882,4694
71618,15070
824,108
824,12188
8181,14355
3111,283
1610,3730
3730,4694
1759,283
824,6746
824,52085
24862,11629
4829,108
9850,11907
67146,20119
7696,824
1642,2361
1976,1977
1041,19066
2999,6958
42859,54614
26,14251
824,29472
4866,1066
6759,2882
2362,2906
283,2882
2999,23837
824,2442
10854,16105
824,22871
108,4306
2999,11907
284,11612
5176,1111
47001,54445
9041,72336
42859,36652
4866,42996
824,9079
824,28350
824,30489
824,7768
7962,1066
2442,824
4306,5797
824,28
42859,53344
2900,1066
50702,48860
108,283
784,12901
10560,37191
1066,2362
871,284
11669,30276
5570,2365
1616,1066
16921,1401
824,27509
44059,46372
16644,5485
1066,6216
2362,1612
15165,15166
768,27445
5176,2328
6970,11270
17185,3730
8008,108
108,6429
140,1354
784,7066
2882,16105
10055,10054
2882,15455
17584,72939
2882,5797
3158,2511
4709,34794
10265,3159
824,40177
784,70338
108,605
9399,824
3111,2478
7077,784
2882,1069
2362,7649
11194,1066
824,3810
108,14794
7649,824
2362,5176
3730,108
16644,12441
824,6387
1217,11951
1358,824
2512,17438
824,6640
1612,2362
2900,6810
824,23763
824,40401
17584,1578
108,7077
9850,4613
108,2167
824,42283
3111,7962
784,42604
824,1111
824,8548
7961,9079
5738,1067
871,7988
5738,3730
2825,53989
108,16922
9922,2882
2999,4694
4237,23572
25897,3730
824,1217
26,5738
1759,4016
824,2362
26,8871
6185,6184
108,4405
284,9605
2999,3681
30241,2362
4694,3730
6853,1617
108,5797
982,5970
12441,16644
108,11377
824,2642
824,6216
871,17827
34794,17441
871,1617
4306,4694
15970,824
1616,824
6387,824
17904,824
8181,11815
108,35704
824,15463
1066,2906
108,73819
824,9887
3730,5176
824,33052
4650,38405
824,51796
2362,22871
2399,20472
2442,872
108,1451
24096,3730
1759,107
2399,5738
108,7768
6387,1066
4709,1587
4306,2365
9977,1066
108,55301
108,1069
2882,18091
29201,43251
10764,11543
784,5291
872,6810
2882,3165
2361,1642
2882,28
824,17718
4709,19085
283,824
1067,1066
36355,3730
2825,61817
2825,15118
2882,6465
108,6387
1066,3730
4237,824
284,1927
284,11748
11951,48975
2328,1111
6735,2362
6810,5561
9079,824
3491,20127
12295,12296
108,15112
824,5561
108,9922
2882,107
16644,2365
284,2511
26441,871
824,16105
3730,17185
35506,3159
3158,72722
7988,2478
982,36327
1111,3730
784,1997
16644,29637
3730,59281
8181,2825
1616,284
9478,1069
284,28
3730,2900
108,4275
4306,4865
824,1040
1759,3730
824,28571
108,2362
25979,74614
2882,15070
6080,5176
824,825
1067,108
1066,25034
29201,9135
3730,9079
34794,45304
6429,5176
958,784
108,17438
982,2399
8008,784
824,19066
784,37057
9399,3730
824,15251
824,19999
2361,5278
11084,7685
4866,4865
11669,1578
1759,9887
14227,3111
2825,11815
11951,2442
1041,107
107,983
1066,19066
11629,824
784,8871
11084,3730
1911,2328
3730,5563
824,23043
71560,2478
824,12391
386,871
1579,30276
5278,7961
7988,605
4306,35704
2882,39007
4709,70046
284,15236
10374,72691
4709,4694
10991,11378
108,6810
824,61154
25264,107
1610,2362
108,1610
108,1217
1111,38966
8676,4405
11680,107
32057,9079
1068,2365
9605,14851
108,17975
20951,20950
2362,872
284,12831
1358,284
11951,19066
1066,40717
53274,19066
1066,45304
108,9977
5176,871
824,62921
824,32057
17975,824
824,1358
1927,108
2999,4405
66477,66476
10560,21736
3730,33681
11669,19195
824,14169
2362,1610
1358,217
283,1759
1759,9079
107,71129
1911,107
824,61751
284,26134
2362,25897
982,11842
8917,1069
11629,2882
784,45955
23900,5797
45304,1066
284,283
6080,2362
1617,1616
11669,27445
2882,5291
1977,7669
5561,824
824,60849
108,6701
4709,45304
15236,284
3111,605
43740,824
42859,42007
982,15870
10764,19066
824,4866
2882,5611
108,7802
824,51747
10374,74997
824,983
2362,4865
217,2328
10854,5611
6810,2362
2361,11421
8676,2328
2328,1066
824,50111
768,11543
108,6216
6853,5176
3730,1911
2882,3769
5176,6853
824,3710
824,24143
871,1066
6785,824
29472,824
6810,11951
824,6993
108,25979
2900,12363
2900,5485
824,71077
824,48048
824,60462
2999,10104
4405,8676
108,10432
44206,2882
8548,2882
17584,19195
824,7685
108,1927
1111,1066
2882,4405
4694,284
824,1401
108,17904
824,145
982,21852
824,4016
2882,4865
284,7962
1927,1111
2882,9079
2882,4275
3111,1927
2362,36696
108,44059
22871,3730
2362,5611
784,2415
4405,1111
107,1111
2328,2362
6785,2882
2882,7649
1927,284
824,75044
7802,3730
284,6993
20119,824
824,34625
824,5147
22359,1927
6701,70466
2362,1066
10854,605
7962,30702
784,6701
35009,5278
1927,824
108,871
2512,4275
784,7077
1066,2442
284,1067
12901,41121
284,5797
1617,3730
2361,42696
2362,1911
1111,824
1160,11270
74511,69169
2882,11629
7988,1217
108,49296
284,9079
824,2328
284,6853
3730,2362
2882,15970
824,51721
784,75135
768,1579
1111,284
7988,6810
7988,3730
108,606
5176,6993
824,1587
824,17438
784,19431
1217,824
6970,58620
1451,1066
1358,11951
1066,9977
15236,824
824,12979
2362,1642
29637,824
824,1616
9850,15761
784,14229
17441,824
17185,2362
824,12405
768,56741
824,10432
2882,14169
1911,2362
42859,62490
2882,2362
9850,6970
1066,2677
2362,284
5485,16644
1358,108
3730,284
6853,108
784,75454
9850,11270
