companyeconomicsector_1,companyeconomicsector_2
62070,833
52843,2790
17199,5293
64014,1286
10935,1286
5739,1286
37513,534
74399,7308
23041,4471
68147,4471
33280,1286
41215,926
24244,1286
31307,534
10422,7308
65538,5056
67068,7308
74499,370
63026,1286
8736,7308
67017,9298
14749,23241
20733,534
19301,7308
56603,1286
11467,534
47782,47781
44288,1286
74595,8393
19177,534
14457,9298
95,7308
51629,833
21187,6144
55161,833
47837,833
52854,46550
73277,7308
14749,4125
63064,1286
398,17141
2498,534
41794,534
32151,5051
14184,7308
62597,573
19413,5051
9524,3762
1978,74766
48736,5051
43212,833
11135,11134
11201,534
43376,7308
55163,1168
59748,370
64713,833
8295,5051
53009,7308
5506,1286
62331,8393
26123,5051
11657,5056
1219,534
62085,1286
11741,534
21187,1286
8226,4471
63098,534
52054,1286
29651,833
7200,69191
17591,5056
4838,6144
55234,11134
74900,926
10635,370
9501,8393
11734,8393
29270,534
74236,1286
6890,534
23240,1286
71864,534
26111,1286
41817,1286
55122,47781
22831,4134
53804,534
6042,534
69819,39735
72860,2790
72978,1286
33970,7308
12040,25005
59675,833
10324,7308
6342,534
72245,534
12791,926
21883,28888
28456,4134
10297,5293
1657,29549
14998,534
8644,37765
3082,7308
38557,7308
4830,7308
7470,7308
56596,534
5253,14683
535,534
65698,534
8179,1286
75170,534
26007,1286
19424,7308
18372,8686
50508,12041
15844,14449
37530,573
9459,833
4445,6144
59748,534
5763,11319
71049,1286
59190,4471
71021,28888
3039,534
30868,833
7756,8686
12761,15343
29696,534
18530,4471
40380,2790
20864,19132
35668,7308
22266,4471
10569,1286
56974,833
2772,534
4135,4134
25239,370
2245,534
33133,7308
11590,926
12383,833
36150,73711
10303,18376
6620,1286
75341,18376
11726,2529
71801,8393
16815,573
11469,1423
21148,14683
49439,5056
53849,573
12853,5056
75382,1286
6136,1286
17320,1286
69414,1286
18238,14245
18432,833
71220,5293
1369,1423
4947,573
52652,833
9364,1286
59025,9298
22349,1423
53413,833
6402,1423
2842,2529
58780,833
58976,5056
25256,534
30208,1286
16139,534
70246,833
44414,11319
49412,1286
15012,573
20832,1286
67209,1286
53684,833
75391,4471
13000,7308
17116,14245
35240,1286
18567,9298
74352,25005
29739,17141
58498,44596
29225,18376
56773,7308
179,534
6977,7308
17587,12668
75212,1286
37079,1286
46513,833
25006,11134
53322,7308
59620,4134
21686,1286
75129,1286
58921,11319
39261,833
8343,4471
33214,7308
69424,370
72116,18376
11135,25005
37556,534
427,534
21453,8686
49954,1423
35331,534
291,7308
22224,534
