animaleatfood_1,animaleatfood_2
200,57466
200,69270
200,56653
200,40990
200,9485
5427,6699
107,10014
200,62949
14227,7727
107,39768
200,19690
2461,3303
30263,45354
200,50555
48997,3620
200,27734
2365,3243
200,70238
107,70316
107,59649
70699,60940
784,139
200,53882
200,35039
200,69767
200,64911
200,65558
200,26596
107,16283
200,51247
200,71125
7802,2604
1976,66632
222,33659
29637,17296
200,71355
40957,17296
200,59855
200,35975
200,55211
107,71439
200,60410
200,58144
200,71579
2386,61400
200,68887
4709,34863
12363,4407
200,56404
20328,57355
3277,39347
6810,7727
200,49613
784,71903
200,55959
200,41789
200,9289
1159,3303
107,48599
200,54908
107,18680
200,16903
107,31443
200,67383
200,49820
1471,32074
200,48503
200,13902
200,69698
782,13546
871,19501
140,2582
200,70388
200,58566
200,72709
6127,46042
6810,17296
107,70010
200,52436
200,5131
2469,13608
200,17364
200,30509
107,57458
2386,69628
1217,4407
3277,15885
52923,12733
200,69847
222,34609
1976,73077
222,13984
6864,7727
200,14502
3730,65258
200,73250
200,72546
4613,10824
200,50600
2386,44364
3730,24644
200,11776
200,16489
200,54969
107,71358
107,57890
200,52394
7802,3872
222,48106
20564,73576
23693,19221
1040,22207
9229,19221
107,11382
30562,67133
200,46027
200,64330
222,8858
107,73731
200,35954
222,52762
200,60880
107,12733
200,73744
200,72920
17197,67160
200,43694
3277,73815
200,61244
200,64172
784,43345
200,46270
11594,11382
2386,46956
2362,69038
200,51451
1927,4407
1471,69628
2328,4197
605,68481
200,39347
200,74153
200,40330
200,18221
200,74219
107,74361
200,8089
200,72754
6864,62206
71836,12733
996,3303
32497,48165
3696,11382
200,74506
107,71523
2365,9958
3277,74580
1610,1353
107,73890
200,59230
74638,74639
41998,32518
200,74259
2415,10824
200,42658
9229,11382
200,62658
200,74416
222,18995
200,66895
200,64342
200,62241
200,22719
200,10307
1358,4435
1471,71043
200,56268
1217,9958
3730,63464
200,74830
200,45248
1976,22442
107,3269
200,12733
824,74954
200,8469
74965,12733
8871,68317
283,4407
200,44719
200,1982
200,7002
200,62342
3696,7727
8871,57493
107,3431
16983,4407
27,42732
3277,1982
200,67904
2386,1353
3730,55398
3277,56672
200,24514
3730,21944
7802,29764
200,75179
200,71772
200,33840
200,75189
2365,42147
200,41047
200,45720
200,74531
200,63156
200,74320
107,50008
200,72588
107,68842
200,30668
200,62355
200,45014
222,3545
11325,7727
200,67139
200,56672
200,62452
200,69659
784,11382
58791,58790
8871,2582
2469,35242
107,14041
1927,42147
140,139
23813,7727
1610,8646
200,45837
222,10824
9350,4188
222,67549
1612,70830
200,66989
222,32319
10959,75459
200,75467
222,73342
996,32783
2900,72322
222,3130
3277,29919
140,3243
605,3303
107,62080
200,58839
200,72393
9041,3303
107,39340
784,64628
200,57967
200,46396
