has_part_1,has_part_2
26385,33387
37031,39211
34830,33720
5519,16682
37003,40087
38425,37002
37031,39256
13990,32615
37009,39943
36844,36864
40731,39246
3015,4209
16363,40972
35203,14017
2142,31275
2786,19506
18391,27285
22106,34998
22675,25545
40206,39131
37057,38444
39157,38880
40942,40930
37047,38793
38425,37032
6603,32270
36984,40753
37044,38894
37021,39607
24010,16943
12335,34820
2795,11067
14862,13827
39111,40327
39418,39002
24639,30230
40206,39154
4105,11421
39940,39214
1938,29450
12988,6392
16505,28427
31626,18429
23340,4961
35449,22791
20822,25700
13990,8102
40479,38930
40203,39301
30659,15657
28940,19790
391,11896
2020,10549
38574,40627
39157,38943
40484,38766
36844,36919
31415,25028
19588,31213
9479,16902
5799,8109
13990,16325
40484,38807
17604,35363
39382,40206
37054,38649
1068,7326
40050,3095
37031,39338
4105,27875
39157,38974
11721,21159
5433,35857
37056,38573
8727,7471
7022,27567
11316,951
39115,40315
27873,36559
40711,39990
1866,7179
8603,35910
36843,37028
37017,39826
25734,4554
708,18509
40161,40664
1296,16672
853,14024
37041,39062
2156,6399
15335,7446
3496,30401
34521,35265
16393,7429
39170,38602
37054,38666
8414,33592
39649,40140
25,31516
39387,40112
15155,4852
8727,15704
6298,17278
37303,39178
28134,36681
40436,40365
3485,30759
467,34204
37057,38617
39157,39058
39693,38826
23129,27996
38881,39394
2156,6430
9136,11231
34258,10680
40486,38799
40423,40752
33306,15618
37013,39964
28732,9969
4694,17870
10821,8157
9758,24728
8162,8678
37059,38585
37017,39885
24656,5275
8791,30137
13368,35717
37009,40139
37000,40415
39382,40305
37041,39149
21222,5247
10557,40947
36995,40546
16448,22171
37056,38661
2208,4852
38582,40505
37013,40039
3422,16381
32781,23766
38581,40584
9237,40931
37000,40447
37039,39244
40206,39370
39397,39873
26317,27560
24361,6274
32046,5608
27033,29938
40731,39454
37031,39470
16797,11377
8828,4470
11638,23866
40728,39593
36993,40691
8681,845
1542,967
22920,34575
40206,39400
37054,38808
30479,13235
37012,40114
13607,28367
12522,29247
40479,39104
39157,39128
3567,36520
19851,23227
40731,39496
4910,27657
2204,5056
39384,40333
31508,14140
23129,11738
6298,33795
4733,8586
4416,26605
25919,39962
34609,24496
18556,14263
1068,15713
30379,40962
4694,1616
9794,15548
39382,40423
1317,32583
35234,13365
21622,25729
38881,39573
36829,4883
37013,40136
37039,39334
39919,40171
40723,39796
37054,38846
21365,33712
37000,40524
10234,26518
4694,18031
37027,39692
27905,27572
18594,4914
18742,24906
39157,39203
19778,982
27487,32334
21991,22491
31991,15621
1101,31120
7471,5683
40713,40163
8619,19256
2593,9450
26585,27550
38581,40722
36852,36947
37031,39591
38596,40228
2319,9763
37003,40468
37000,40561
6254,10662
2048,18169
39170,38830
17440,16150
39157,39271
35411,24322
37031,39644
9177,10169
38626,39353
32489,24780
23281,31721
37003,40501
34112,31817
33268,25215
31033,28970
11150,6376
40484,39123
9274,7193
17440,8014
37387,36831
38582,40751
20887,7641
7964,31433
15740,36129
39387,40349
39143,39720
40484,39114
17604,2946
17440,8015
37032,39632
12375,33971
7075,26241
14261,24652
38906,38885
37017,40138
23946,2962
20365,15674
33790,25492
39693,39110
36835,21217
13990,8493
40202,39692
4428,10013
40718,40079
30515,20526
13970,33701
2483,21159
6482,20069
19000,25224
260,8161
24101,22765
24656,21943
39143,39804
983,2140
26080,26954
28186,19008
16868,25800
36992,40955
37070,38538
21991,22656
8039,12794
6822,25944
8524,5952
16933,23806
40733,39651
37011,40342
1056,24469
1132,13924
37044,39329
11444,21943
39414,39621
36341,36585
2048,34691
5914,4958
940,3507
37055,39033
39670,39887
18680,35195
37000,40740
37017,40186
1398,5701
40192,40065
38855,40552
8828,4753
40711,40359
38855,40550
37047,39260
23129,11989
18398,27580
9129,20004
40479,39372
39664,40059
26934,33315
12015,37043
14984,18742
37017,40243
10557,16715
39693,39205
35741,14264
4062,13258
38663,38348
37031,39787
1659,5842
36828,37897
1570,16797
6298,25877
37009,40518
38898,39303
39693,39232
37059,38967
8007,13865
37070,38626
11376,24124
21222,21991
37027,39964
39670,39952
37003,40706
39382,40686
21857,35073
24075,15466
30515,28820
38975,36923
40235,38794
40484,31081
28994,18647
31088,27457
5968,3374
338,14064
5968,3375
8980,32883
7322,2372
38663,38434
7322,2373
19588,31740
3832,20458
37062,38885
8243,14792
16257,12117
39121,40593
12235,30301
19934,21020
37054,39145
21031,19771
17822,29157
29993,28692
3611,10941
27060,21313
37013,40456
29315,33314
34470,12804
30767,12909
34997,12823
39157,39515
32569,14387
39382,40731
4694,18351
39414,39744
39397,40270
19585,31859
3972,7964
39960,39199
24312,40967
24312,40970
375,4789
2020,2950
18597,13358
28669,20615
37055,39187
37017,40368
10428,12650
26842,28095
40484,39387
37078,38483
38975,37021
2048,10283
38626,39648
9803,7454
38815,33761
20021,18383
37076,38520
16983,14261
6298,26002
40924,33930
1296,844
26640,9794
40118,34337
6487,20153
30395,16296
25919,40363
30276,28175
18490,16707
175,27411
40076,11103
27873,20741
39157,39596
6054,817
24656,5800
37017,40376
38975,37022
37070,38734
40935,845
3902,18392
40206,39835
40203,39926
39693,39395
1282,25893
35741,30832
11507,12020
28534,33046
6306,25805
37017,40410
25474,5054
40484,39434
15190,4360
21579,19305
13990,16995
26166,40940
38663,38542
10071,31988
28713,35705
37077,38598
22087,36335
15496,19467
37017,40462
10270,1245
37077,38603
5056,31817
39387,40725
39418,39763
37038,39813
19472,27282
40518,38436
39919,40619
39418,39766
31083,11432
8322,4310
3550,21175
20439,21897
38881,40010
11583,1532
9479,17605
39390,40620
26717,23884
40206,39936
40484,39509
8727,40923
39947,39777
24868,15711
15595,8255
38603,40465
10821,16983
4105,28578
40300,37013
6586,818
39157,39680
17509,30860
13103,11792
39441,39110
37071,38857
4961,18440
40484,39547
15913,31180
1290,33942
40713,16070
37020,40439
38986,36838
36864,37057
6303,1425
10895,31109
39693,39474
536,24556
37022,40354
39693,39479
19289,24840
37059,39210
18597,5335
38916,38987
39157,39715
6306,9536
25675,23483
29568,33874
39157,39713
37057,39318
4146,35541
40484,39575
26418,469
37078,38670
35741,22779
1865,32536
40484,39561
40927,34019
19565,40907
40484,39560
37062,39151
29688,38382
38663,38670
4146,35562
39157,39744
31712,238
10841,8252
22196,16702
38906,39369
37040,39872
10164,21044
7017,36686
34560,34838
7924,33151
38717,37045
37080,38646
37077,38710
37031,40141
513,17144
24385,6194
18807,15275
31333,28374
22779,15044
39157,39818
12431,8157
17144,1305
27096,28669
38663,38755
19000,9333
38915,39116
37080,38658
14841,31764
37078,38721
33079,15239
6346,32966
438,3125
640,5056
40260,38425
36812,22431
5804,33391
19722,11535
28780,9287
5061,31867
38898,39670
39170,39436
10557,17147
7618,26330
1296,25709
37057,39440
39183,39070
25684,23356
38626,39960
9990,10151
27525,31817
16506,21146
19344,15092
39157,39890
3485,15212
38663,38795
34458,29888
33468,36002
36458,658
11329,9628
31508,23047
11362,16793
6306,17889
40731,40273
39973,39194
17798,22098
1026,1351
117,4958
24312,24952
34552,10642
39143,40355
18872,13394
8457,376
18568,6436
38663,38827
8835,5056
6725,21308
14461,27252
34081,8882
3976,8237
39973,22840
40923,26164
27457,17604
37070,39109
11047,18421
31088,27922
30254,4647
40202,40306
39926,40670
9352,21823
1070,8236
37057,39539
22596,4494
5505,1824
467,26934
6899,32344
39725,38754
22596,4495
29688,38592
4070,13556
4694,2401
11067,9637
40260,38559
36877,36937
26791,13727
37070,39124
36370,19861
7322,35628
35702,7806
40479,39945
40528,38429
36880,36827
28842,7483
1938,30515
37078,38918
30778,29413
36876,36993
39724,38818
37080,38859
6647,7418
6309,9711
6886,16397
40941,25675
36877,36970
22779,39807
26663,25897
36881,36845
30832,27727
37031,40387
7919,8959
3451,40971
17695,33597
9794,16377
39183,39197
40203,40344
36828,38474
4311,6133
27949,27033
10939,13662
3346,19668
1840,818
29688,38657
2797,20304
33231,35331
14984,27527
36880,36903
2090,17652
40479,40027
37031,40418
40050,36915
7515,29708
13044,22159
6306,26234
21785,21513
30305,11346
22523,31409
17604,36442
3387,18429
4018,23441
25,7962
2798,20305
27060,21854
26976,32649
36880,36938
2049,10760
27873,21222
28669,29313
87,6049
2094,1180
40528,38539
37054,39738
40528,38514
38629,40038
1620,7683
37077,38997
38114,39624
20417,6620
27674,27405
39940,40370
6298,10136
12921,1425
29462,21156
6298,10137
87,6073
32051,31004
36880,36963
1296,25941
4584,22316
5847,32319
17997,7919
37074,39150
36880,36945
39693,39857
39170,39692
2642,33387
38650,39431
37054,39753
36880,36956
40920,1866
7517,21532
23451,2728
18490,17256
39740,38454
39143,40577
35734,15182
37062,39552
3073,28235
24961,5056
34326,17875
11867,1380
40484,39942
36880,36978
37027,40610
2795,28669
7516,29777
36921,2941
40484,39950
26847,12148
39940,40427
31433,17436
29917,23471
35266,29717
40484,39992
35705,32494
25734,5707
36880,37036
37078,39090
37017,40955
16475,22425
3111,2529
37054,39814
37056,39793
15155,22393
39157,40196
6804,35514
40479,40181
22106,11720
40206,40451
36880,37065
37078,39119
19722,3692
40512,39165
40202,40581
7124,1030
22335,12829
36825,38748
36832,38532
4514,8218
39215,38432
29824,26443
37078,39148
2204,22499
39693,40006
9274,16328
40479,40220
12335,27926
27096,20890
12013,29717
24056,33234
13407,27472
38877,40707
17604,12064
23908,5056
1463,12720
36828,38692
7525,13218
37070,39385
39940,40527
20703,22508
19621,23281
7515,29914
7232,14122
38915,39581
29119,31941
36828,38742
1304,25855
37078,39186
37054,39902
37054,39908
36828,38720
37078,39162
37078,39166
35934,17287
18700,27263
39670,40739
39157,40258
28628,22598
33681,5215
29688,30726
38881,40657
13865,13324
21622,26819
37070,39460
11740,13671
31837,5056
19565,33233
40484,40130
11583,26729
36921,35866
24488,11713
14265,940
39740,38593
40916,34905
40479,40259
1938,14440
5676,5056
737,2520
36829,38726
36828,38757
37071,39420
775,25924
1658,31324
775,1352
40528,38790
18152,19732
40203,40670
9381,21287
9163,3480
36832,38683
21991,7211
40528,38795
40484,40134
28628,14478
2336,2140
23129,29315
18010,15971
23127,29380
36829,38803
3659,2097
4255,16387
37070,39528
37077,39311
38898,40201
39447,39571
1398,31237
36828,38815
13013,7044
38739,36924
17417,26168
540,8692
32482,26101
30193,23329
39157,40352
28340,31648
40949,17606
672,12800
37032,40727
12521,22316
1532,2526
10557,25855
27454,18152
13056,22111
3970,33452
12374,18692
30778,21600
16940,40975
35741,15225
17557,30040
19965,20949
40518,39144
37031,40745
39215,38576
35113,18283
26355,3082
39418,40479
37054,40033
12367,2528
1104,24007
38663,39310
16763,30116
40484,40244
36843,38427
40476,40491
25441,6856
22596,21330
14841,24155
23501,1453
27454,26366
36828,38906
38692,38438
12980,40904
36828,38881
10428,21707
37070,39572
15913,31910
38739,36983
35702,8255
3953,9449
1304,26038
36829,38856
37077,39361
12375,35100
29329,17436
36843,38464
37071,39589
28597,23743
39170,40053
4910,20759
36829,38902
18382,12718
38663,39390
18961,19346
25171,15257
37078,39351
33231,27534
6142,31725
36895,36836
38629,40425
6954,22947
39157,40450
15928,15089
38692,38479
25237,5056
36828,38958
36843,38490
14440,36650
6715,30369
1398,23168
22596,4996
40484,40321
37044,40438
18988,18565
36843,38481
36921,11487
25103,9221
39157,40476
11583,18742
38942,38954
4694,27510
39157,40523
39441,39910
37054,40177
9681,20370
28940,4981
1658,6945
30595,27401
36828,39002
37078,39415
16152,40978
39407,40946
1,9177
39740,38826
40528,38974
38663,39442
12470,15867
37071,39681
37054,40205
21991,23814
36895,36957
21079,11130
40333,36872
24303,9513
813,16797
39693,40304
24868,24759
28669,5232
4389,28834
5847,32787
3928,34937
36843,38589
38663,39514
19000,26470
36862,38001
27060,14174
1454,29717
40333,36907
13056,22313
5192,28534
36828,39064
6298,2443
10069,24811
23129,13175
37062,39980
23129,13174
1533,10899
28732,11506
37078,39485
660,29776
27096,29447
12939,25954
39420,40652
36494,24863
33231,27716
38939,39183
17842,5056
13822,6782
2592,27242
37077,39570
11179,6802
40333,36937
2593,35411
36829,39043
25904,33673
36559,14647
36812,6804
34458,14242
37080,39458
34137,24194
32781,17089
8432,34637
5248,35031
36832,38952
26737,7841
16152,32876
32076,30775
37059,40150
36840,38753
3483,7843
9979,11272
40333,36970
29479,21161
31462,8837
24656,6856
37078,39548
1949,30835
26640,35465
40518,39401
12235,6886
37059,40141
13927,3586
40333,36948
40484,40459
23129,5038
36921,3496
38663,39609
2407,265
26589,28875
13570,31045
29063,17714
8026,22681
37044,40649
12430,845
22596,21584
16878,2235
11272,12170
37055,40312
36828,39157
18032,40175
36829,39125
30515,21845
40922,18742
20889,17170
39157,40667
37076,39639
6298,35310
13990,34421
27909,4345
34204,13990
2857,2725
35741,15496
38906,40262
36828,39143
18090,38420
23078,14862
19000,2020
37053,40403
38692,38743
39960,40402
36843,38722
17604,28902
37070,39883
36898,37022
36843,38701
4694,3144
14089,6811
36828,39170
5505,2580
2020,12313
2247,5276
8410,19031
2658,33500
40484,40529
36829,39144
18090,38432
25133,16702
24312,17600
3448,826
4694,35926
38915,40050
9637,5572
38692,38778
8597,5056
38942,39228
33058,33215
40479,40730
20717,22566
12988,16397
25790,20949
29049,1841
20190,22521
40333,37040
22118,20087
14906,14296
37,93
26790,6332
35753,23378
16368,26331
37061,40219
40484,40601
27060,14363
39441,40166
4146,20181
29113,32638
2336,10760
33046,17212
38485,37042
18670,4113
6761,12854
30740,31377
38692,38790
6306,2386
18830,31946
32926,20949
25441,15413
36828,39235
36841,38832
7124,9803
1339,25305
37080,39619
39762,38436
36844,38779
4694,27797
37078,39717
40270,39069
2049,3298
2963,15926
39719,39770
536,9247
25,16897
25684,24282
26585,4537
26585,4538
32637,29917
40484,40640
19778,10760
13688,27534
37077,39735
16393,9212
33045,33655
39740,39106
142,5089
12015,5662
22405,27650
37059,40297
25505,5274
11583,27249
37070,39953
37080,39650
32091,14095
23960,36781
39693,40606
36853,38532
39719,39803
23129,13402
12980,16733
9002,25361
9979,3266
37047,40725
40484,40672
17436,1473
40484,40646
17436,9685
40954,26080
10977,21488
40484,40648
34691,31817
38942,39297
36862,38248
19000,34925
36829,39308
11226,5607
18090,38576
39170,40478
467,19648
40261,39402
34009,12029
39762,38486
377,6063
39740,39173
8791,31955
38493,36869
29688,39497
29329,1473
37077,39809
36829,39342
9301,32536
12235,15313
20373,25183
7337,11497
5569,769
39486,38904
36828,39382
40484,40733
36526,15976
34925,32843
7076,11408
29163,31234
23542,17074
29859,9659
36853,38585
19621,23924
1281,10842
39501,38420
3260,23221
40540,38979
15619,25118
36843,38904
11093,26171
40518,39701
37059,40435
39215,39134
20910,16761
1652,23932
1652,23931
36850,38732
36828,39414
38493,36949
30392,1338
1658,31941
38663,39877
11566,19704
2029,4061
4724,10634
4243,33737
36852,38650
40261,39465
39693,40689
36829,39366
9794,925
9794,926
36719,1819
21034,21119
36909,36926
22523,15938
36828,39441
39966,40467
27177,27312
34892,25729
25790,21159
9794,33709
17557,14233
36843,38982
38692,39008
38663,39907
12522,31067
31784,31969
12235,15387
34370,9129
6298,19217
37054,40619
37080,39813
13827,15197
6600,1668
2593,11201
7937,9378
7517,22396
12480,24196
40922,27249
38114,40573
39994,39637
11892,17863
18799,16742
22678,19374
37078,39893
37077,39931
36853,38683
2340,19063
37056,40582
39762,38620
24811,26976
39766,38499
23913,30258
18090,38737
37054,40688
40608,37007
13378,20964
15740,21469
39960,40716
37062,40447
36843,39042
2319,11553
36843,39024
37070,40180
36835,39270
34552,3550
40608,37000
36843,39027
16797,5103
24868,665
37082,39813
36853,38758
4789,16918
38939,39628
29748,5056
1298,10452
36828,39537
29119,40937
36829,39507
36843,39071
17366,36630
20567,11128
14196,12029
25595,19099
36921,3895
37078,39985
8242,40965
39719,40013
13727,18382
31867,4910
37076,40028
19588,8727
37062,40468
36828,39527
36844,22684
39766,38599
30665,1235
3882,12304
4002,391
36862,38519
36843,39109
37056,40698
17798,6886
39762,38730
776,34865
19941,14182
17852,13407
40242,40239
19098,23935
23391,30137
26198,466
6298,2954
28669,22171
36852,38803
36843,39088
17436,9946
36829,39530
9190,3422
36852,38856
16365,2188
40261,39679
3854,29591
1533,19621
39733,39662
36866,38428
18090,38828
18749,2015
15335,9552
39278,37387
36852,38838
4694,19941
37070,40269
35411,26166
39766,38622
7235,6714
2461,31833
36884,37858
19989,4555
121,30647
553,17255
31424,10542
25112,17796
35914,10617
28628,15292
40512,40117
4654,13013
24342,33468
40260,39746
37135,5546
18492,1844
27309,31624
18492,1845
34259,20949
37074,40178
4763,9648
36828,39615
32487,18558
38692,39176
37078,40058
29688,39790
38767,36854
2462,31834
21707,33249
38906,40743
38663,40118
38430,39149
36852,38916
38767,36904
19350,16214
30515,5977
1463,5472
40242,40334
32822,40979
30832,28912
26791,14921
39762,38803
36203,1679
9794,17556
38958,39160
36852,38913
39766,38691
36912,20669
36828,39693
36843,39226
32996,2831
38767,36932
35441,25351
36828,39706
39766,38711
40923,35612
25,939
16448,7923
36852,38937
16971,32678
39501,38737
36828,39679
25,33711
2469,7100
37068,40438
36919,36862
38663,40143
5847,25262
35434,25558
9556,33163
36862,38636
20685,32224
18956,36673
2593,27838
660,22227
31604,5057
4694,3679
20190,6622
26733,16784
8041,22800
17436,10080
20400,118
24805,11017
36841,39306
17930,27553
7124,10277
36869,38439
7485,31859
20685,24069
38915,40555
20583,27228
36906,37303
36858,38792
4604,6487
2557,4410
7726,32584
10483,4470
38939,39852
36843,39290
7322,12351
29113,384
14734,36525
33631,15991
36828,39766
36828,39763
38717,38554
38767,37002
39762,38925
2090,2519
34785,21152
1949,31468
26765,24043
36828,39740
39564,36850
12956,9741
39333,19433
19841,9297
23129,22057
28940,22144
1532,19829
38767,36988
12375,11376
6603,10087
25,9207
39763,38917
10419,6487
33996,4703
38683,39636
38767,37032
3230,40933
38768,36999
39170,40921
33173,5624
6886,34093
37077,40275
36828,39774
37078,40223
6543,36552
40528,39768
38663,40239
15622,33631
36852,39039
36923,36839
25,33816
33317,17590
21471,32551
40261,39899
36860,38833
34259,21159
36852,39086
37981,36852
38767,37068
37981,36858
21400,1982
11400,8882
38767,37067
37062,40743
26739,16719
30515,38927
37981,36829
39763,38930
35753,23981
38767,37044
18090,39078
26585,29680
38717,38595
11376,26015
29862,10013
36828,39808
38767,37048
4724,11054
4940,4355
1,18204
38767,37052
37981,36841
22681,27842
37981,36879
39740,39692
37981,36876
37981,36882
3195,33888
37981,36880
40300,38720
30592,3782
37981,36884
36556,7333
36828,39865
23946,21391
37981,36889
37981,36862
35883,11786
38767,37073
4086,14472
5321,25336
36829,39805
36828,39841
20190,14970
36924,36866
260,2009
36867,38630
16926,17852
37981,36865
18818,32915
1070,17868
36828,39886
37078,40326
9311,40932
36923,36944
23442,12480
36869,38619
6309,35689
36923,36942
4514,25797
36852,39144
39447,40618
36843,39429
11179,23990
32565,40974
37068,40649
15155,31817
37981,36895
21374,35643
6298,19664
260,10234
36859,38911
36738,1703
32489,26943
36923,36930
13990,26978
28996,36920
100,15198
18090,39134
36848,39305
37981,36950
18954,20553
37981,36951
37981,36955
36858,39000
19778,19591
2593,28051
10240,20374
13013,16329
3485,402
37981,36934
39774,38694
34204,22949
36923,36969
35775,23405
36923,36967
36829,39881
5926,6664
27873,6252
38720,38642
36853,39172
37080,40331
28996,36972
40573,38551
20910,9104
2208,31817
24118,7957
36923,37017
36923,36992
39763,39063
40518,40240
2699,32995
34470,14736
36828,39940
10935,23441
34103,34309
36203,2010
6298,27930
28996,37007
6298,27929
18944,4555
28996,37003
36828,39984
37981,37009
36829,39958
36924,37011
37981,37012
28996,37000
2774,14308
36923,37020
16516,14300
11179,7713
17604,13346
38697,39378
38717,38756
19588,17366
31516,16237
36839,39634
37981,37038
28996,37039
34204,31246
36829,39986
3567,38898
39501,39078
7714,33225
37077,40499
8237,25207
40506,40668
36879,38417
36895,37924
36843,39535
1509,4411
37981,37030
36923,37061
26881,4311
36832,39919
10935,23516
39766,39077
6298,19801
24385,24367
36843,39584
5923,6857
22779,16808
37981,37082
11129,33888
28996,37062
37981,37080
16505,31088
35411,18421
36843,39563
29993,14370
37981,37058
36341,14168
29808,3719
37981,37057
36852,39293
18090,39294
5942,14483
39836,36904
20468,22941
708,21091
25,1304
4105,30472
28732,28903
18090,39315
28561,1433
36840,39710
31088,21400
36828,40080
36828,40086
28545,34693
27096,30483
18770,18251
39763,39193
39766,39104
36829,40037
39762,39225
1070,1704
6298,28056
36871,38740
36843,39608
1380,33058
17831,30973
39215,39839
1938,23960
20376,34009
8920,28708
36829,40090
16959,17058
36843,39657
37077,40595
37078,40535
18090,39364
23471,3623
24809,11297
11407,8959
29084,26227
37077,40568
36843,39631
36860,39109
633,15281
9820,9017
39724,40442
36878,38553
33360,24769
40050,38562
36852,39401
10525,11740
36880,38534
36858,39213
21797,14570
26312,22055
36880,38541
18055,24075
39521,38588
24491,21189
12235,32478
31433,35365
16505,6603
36829,40097
16448,175
36828,40128
40634,36836
14066,16686
37074,40698
36675,28494
36843,39673
36852,39391
36921,20910
17648,12158
40922,27949
10630,16724
12994,25355
39215,39914
39740,39996
20822,36660
4694,28716
4910,38407
36880,38554
25,17811
28074,16662
36828,40206
36828,40207
39740,40053
1463,22403
36876,38727
36841,39813
36843,39724
1658,40937
2593,28339
18090,39459
7380,19208
33074,9129
36843,39730
36843,39731
32538,9356
36828,40202
39766,39233
39215,39969
39766,39275
26080,21160
2899,35259
7635,3133
32083,23477
27033,16184
39766,39281
18205,35924
36843,39755
15740,30413
7381,19209
3567,39142
36829,40197
38939,40328
11352,35378
10939,15413
36858,39302
25171,8414
36872,38905
39581,36846
8041,6954
36852,39523
36829,40237
38786,36920
35411,10472
25171,8413
39581,36848
36843,39812
39581,36855
9637,23025
12235,32596
23221,27899
7571,5152
38717,39067
7008,30797
40300,39143
36869,39009
40258,40419
35872,4356
15670,32616
39501,39315
7471,32830
4146,4837
39581,36832
20822,36754
36829,40230
36828,40261
39581,36843
22646,21162
39581,36877
36828,40300
2593,20229
39581,36883
40300,39170
12980,1334
39763,39432
3550,23330
16603,20105
36853,39529
35,33996
39501,39364
29447,6952
36878,38763
36883,38609
36883,38606
39002,38454
14484,20251
39581,36888
34204,6940
39581,36861
40258,40450
28669,31096
36829,40253
39581,36860
14245,11284
35741,33031
36881,38655
36866,39118
39581,36911
29686,15971
36843,39872
35705,34189
36828,40341
18524,17918
36828,40343
19744,21061
36850,39662
38717,39100
39581,36893
33712,30418
38786,36968
2048,12601
12235,32676
39581,36906
39766,39398
10513,20534
36889,38473
39846,36923
39766,39402
39581,36950
29712,31571
39766,39405
39581,36925
21469,33173
36934,37066
40255,40617
36867,39149
36889,38471
36866,39182
28783,19451
39581,36975
36876,38910
39581,36973
32570,16742
36878,38846
39501,39459
39581,36977
9479,19849
3348,13305
39581,36980
36883,38704
36874,38983
39581,36985
38739,38510
39581,36958
11278,13252
29658,25109
2264,14160
1533,28628
36858,39458
36852,39649
38786,37039
36874,38968
19161,31041
24656,40923
39581,37005
11150,9044
19000,11462
38786,37078
15000,20759
24134,16136
39740,40276
13067,31543
6613,2236
26791,32076
28565,26231
4255,1616
25684,17264
36853,39636
39581,36995
36852,39674
36850,39733
9803,26236
36880,38810
39581,36997
21768,23959
36828,40423
7618,28454
36879,38879
36852,39719
27096,30846
39846,37021
12335,29688
25,18085
11444,40923
36852,39701
11587,11926
36828,40446
87,24365
40314,38884
39581,37031
36829,40422
9793,26588
2195,40943
36828,40457
39205,40496
39581,37070
6298,12057
88,7963
36862,39442
2593,4041
36833,40345
39581,37076
2195,40959
36893,38491
24219,29951
40952,19130
17417,36033
36869,39210
39581,37059
36828,40479
38739,38582
36843,40014
28031,1912
20984,7368
13823,40953
36843,40022
27060,15622
36852,39779
36895,38447
36852,39780
1212,14112
36888,38667
11178,24652
36874,39101
36895,38450
36828,40528
39058,36940
40261,40606
1938,24385
38720,39200
9479,19990
36828,40513
39537,38454
36887,38685
38739,38614
36906,38093
40328,38552
826,26110
21099,12044
39002,38711
14439,13711
36893,38552
36869,39270
29207,22865
38786,28997
36829,40518
3448,34962
8791,403
40711,10292
1101,1226
39766,39586
36862,39498
36828,40590
38745,38507
36888,38734
36852,39850
38430,40088
11892,18972
40934,3428
3632,21085
36828,40599
23990,4377
22508,33956
18090,39843
557,26303
36878,39028
20822,28884
36843,40113
36866,39404
22949,36661
25,34614
36828,40583
18090,39839
31415,36358
34257,22016
38961,40034
3744,25823
7937,2343
26978,34666
5336,33821
10897,33468
36880,39015
39740,40473
10630,25359
39774,39392
4263,34328
25,1866
18488,35731
36895,38536
2090,3393
24303,11103
17798,7962
19256,28302
8242,17493
11735,7514
36852,39911
2593,28777
39762,39824
36828,40663
2020,13777
9965,5056
36812,8363
18090,39905
2336,20367
38958,40147
1381,17209
36852,39895
36828,40639
19536,11469
11224,23369
36852,39901
18090,39900
9129,6402
1658,8632
13459,19627
36850,39966
39808,38418
24578,19019
36828,40686
36828,40684
39002,38831
36852,39943
36828,40687
18090,39914
36879,39113
4002,17898
36843,40233
38979,39551
40916,12246
6298,28652
39762,39825
38418,40533
40916,12247
36879,39094
22335,6644
36869,39447
32085,15713
22447,11389
39766,39754
39762,39878
11735,23973
24277,3796
39762,39881
775,19667
1472,6253
18090,39969
9190,20955
31415,36496
36828,40703
18090,39962
33121,16375
853,17260
23824,1473
38739,38817
11272,21951
4724,20143
4142,13615
40573,39341
36950,36966
530,10903
40300,39615
