instance_hypernym_1,instance_hypernym_2
40020,12470
40347,2333
40529,4882
39811,2569
40426,8088
40017,20764
40702,15913
39236,20439
36828,21366
39399,31781
40303,11948
39526,3265
38931,13493
39871,8926
38540,9233
40654,9233
40683,8334
39209,4882
40345,18818
40036,36588
40266,4882
40063,2989
39239,20338
39646,15913
40181,23940
39119,15913
38422,29326
38498,26970
39951,6478
36935,1672
38629,31081
39716,5622
38438,12470
38933,5320
38971,12335
39120,15913
38683,4882
38445,28651
39912,15913
36917,2263
39461,5320
40363,26518
39771,3948
40239,30401
40570,11948
39385,15913
36958,17426
39232,12470
39599,1093
40178,15913
38935,13493
39462,5320
38632,6478
39212,4882
39220,12829
40706,15913
37047,31081
39651,15901
39250,11948
39555,10686
40343,10807
38857,15913
40256,5320
39650,15913
38984,11990
38658,30285
38458,11948
36871,11990
39074,9233
40444,7724
40447,15827
38672,5320
38859,15913
39916,15913
39077,25536
39514,11990
38705,12470
40708,15913
36895,19433
40080,10807
36961,9234
39124,15913
39558,18842
39839,26518
40710,15901
37084,13623
40669,792
38648,30653
38595,15913
40709,15913
40556,12470
38833,24927
40016,12829
39870,969
39955,6564
39744,21295
40603,35632
39571,26663
38979,20439
39125,15913
39467,5320
38557,8926
38283,9234
38999,11620
39721,5622
38718,3948
39779,28400
40098,26701
40311,11948
36825,5328
38990,11948
38862,15913
38637,6478
39041,2154
38725,11948
40575,11948
39780,28400
40184,15913
40540,4882
38656,5946
39920,15913
38974,12470
40619,18818
38087,31781
40048,11948
40563,4175
40458,15621
39655,15913
40428,8334
39391,15913
39941,23436
39128,15913
40185,15913
39896,16679
39581,26450
39843,26518
38580,8334
38599,15913
39130,24030
39392,15913
39998,5320
38425,13123
38874,7393
36859,28943
38947,13370
39311,26663
39945,7009
38641,6478
38600,15913
40086,10807
40272,21423
39243,4175
39315,26518
36842,4882
40297,12470
37054,31081
39659,15901
39516,3948
40359,26970
38663,30401
39252,3948
39207,5320
38957,4882
37055,31081
38965,12829
39592,9779
38603,15901
40098,35090
38572,476
39375,32930
39473,5320
40567,4175
38602,15913
39208,5320
39434,31081
40452,15913
38958,4882
37056,31081
39423,15049
39131,15913
40707,8053
38644,6478
38604,15913
39786,36588
39788,11948
39396,15913
37018,15901
39925,15901
38869,15913
38645,6478
38713,4374
38558,959
39475,13493
36970,17426
38682,5320
39906,8334
40283,4882
39326,26362
39565,2569
36920,10807
40049,36690
39858,1649
40461,15731
39398,15913
40191,15913
38873,7619
39594,1649
39352,959
38871,15913
39894,8773
36984,685
40456,15913
39301,2569
38647,31081
39374,24927
38983,12470
38964,4882
39400,15913
38454,12470
39064,1757
36973,17426
39752,5010
39247,12470
40193,15913
38912,6478
40106,2267
38797,10083
39001,11948
37241,975
38852,187
39666,15913
40344,3094
39098,8926
39206,30164
36954,1672
39261,20300
39541,11620
39289,19433
39704,14759
40273,5320
39029,2931
40571,12470
38597,32679
40369,35090
39638,411
36975,17426
38988,4175
40734,7393
39241,12721
28997,10807
40470,7393
38591,8334
38607,16030
38829,25536
39515,12470
38792,26663
38621,7393
40538,5320
39112,24948
39652,8245
36908,3201
38360,31916
38640,23236
40726,15913
38640,15049
38985,20743
40462,15913
36977,17426
40197,15913
39892,792
36839,5328
40042,20764
38724,12470
38969,4882
40158,792
40463,15913
39122,8334
39219,13493
39533,11948
38476,11948
39204,13961
38797,2002
39141,15913
40198,15913
40412,1093
39269,11948
39671,15913
40602,19818
38521,2419
36980,17426
38956,5320
36979,9234
38477,11948
37034,7538
39096,959
39221,5283
39672,15913
40445,8334
40729,15913
38615,7724
40014,5320
39944,7488
36981,17426
37516,812
39314,2419
39771,12829
39339,1649
40163,684
40512,6254
38942,13961
39784,12477
40076,11620
39409,15913
39711,6557
38474,20300
39750,5320
38707,4882
36915,3095
40397,1649
38734,20439
38880,15913
39624,17426
39937,15913
40328,11990
38656,6478
38429,5320
39245,12829
39674,15913
38617,15913
38527,35090
39897,812
40421,959
37071,31081
36845,5320
39531,3948
39145,15913
39273,11948
39611,1474
36832,30285
39451,6478
38893,7393
39072,1844
39313,2569
39147,15913
38461,20764
40638,18818
39486,21768
39083,1493
40405,1474
39238,4882
40469,15913
36971,1474
39148,15913
38593,24927
40205,15913
39267,20388
38863,8334
40332,11948
39656,8334
40442,24927
40215,7393
40008,5622
38619,15913
40581,12470
36986,9234
38712,4882
37074,31081
38500,3265
39489,5347
40137,1649
39413,15901
38620,15913
39226,5320
39767,13123
40471,15913
38468,12470
36940,10686
38575,9154
39007,20338
39610,1649
39326,2267
39150,15913
37036,15913
39756,5320
40053,12470
39155,15731
38456,12829
40388,26663
40180,24927
40583,12470
39151,15913
40336,11948
39258,20764
39526,12460
40586,4175
39265,4175
40208,15901
40168,792
40473,15913
39758,5320
39846,2568
39507,4882
38952,30285
40300,4882
40286,5320
38623,15913
40737,15913
40660,18305
38873,32779
40474,15913
40701,684
38488,11948
38482,3948
40037,4883
40585,12470
40061,4175
40429,959
40024,5320
40657,26663
39372,25536
38518,27434
40339,11948
40656,26695
39545,11990
39158,23959
38872,32826
39641,792
38743,20439
39017,11948
39883,9678
40068,3948
40426,9233
40455,8334
40475,15913
38823,9779
40117,10662
38968,5320
40212,15913
39195,6478
40340,11948
39383,33422
38745,20439
39951,24012
38439,5320
40075,11948
39663,8334
38998,20764
39557,19818
40625,3094
40740,15913
40049,29146
39399,8334
38735,4342
40149,1474
40558,13370
39078,26518
37081,31081
40605,11948
39658,24927
40213,15913
40569,4882
39834,27666
40167,959
38892,15913
38608,8334
38281,26663
39850,2569
36982,9560
40591,4175
38627,15913
39156,15901
38618,16196
40331,20439
40477,15913
40103,2931
39018,11990
39725,22840
40716,24927
40078,11948
38628,15913
40352,11620
39444,7009
40478,15913
36995,17426
39697,7393
36962,2070
39376,969
39164,15731
39410,32681
39022,11948
38610,8334
38738,4342
39686,15913
40028,5320
39159,15913
40216,15913
40009,5946
39270,12470
37045,15913
39335,2269
40268,6113
38895,15913
40454,24927
38444,5320
39727,6478
40342,11990
39618,1671
39815,11948
38630,15913
39021,11990
38506,11575
40029,5320
39992,31081
39271,12470
40071,20439
39188,15049
38489,3948
38896,15913
39579,2931
37764,1855
37009,684
38631,15913
40745,15913
38742,12470
40044,4882
39729,22840
38563,1649
38973,5320
39490,30254
36997,17426
38606,24927
38329,17130
38710,5320
40120,2569
40218,15913
39517,4882
40574,4882
38446,5320
38897,15913
38878,8287
40219,15867
39935,8287
39643,959
39817,11948
40031,5320
40691,1244
38496,11948
39809,20439
39875,18391
39074,2267
39241,5283
38696,13961
40357,11620
36985,1474
38565,1649
39782,4882
39166,15827
39956,15913
37012,684
39732,6478
39285,3948
39546,20439
40194,24927
40749,15913
39645,959
40406,26518
38702,5622
38900,15913
39804,12470
39963,15731
40755,15731
38609,24927
40221,15913
36998,1139
39119,25536
39006,4464
38450,5320
38901,15913
38487,4175
40337,4175
39381,9233
38764,11948
40035,5321
39135,33221
40396,35090
36988,1474
38736,12829
36875,21367
39848,2931
39938,8334
40285,13961
40554,5622
39019,20439
38690,30676
38451,5320
39695,15913
40752,15913
39923,33422
40085,11990
39054,2989
40073,4175
39179,23695
40077,20439
39676,8334
37362,6339
37035,8287
39293,28400
40302,5320
39431,15913
39677,8287
40183,792
38569,26249
40599,12470
39304,28043
39167,15913
39363,1649
39773,5320
40753,15901
38530,2931
38514,11620
38843,26001
39582,27666
38836,1649
39878,26663
40489,15913
39961,15901
37005,17426
40324,4647
40225,15913
38497,3948
38855,17426
40441,1029
40754,15901
39511,5320
39946,8225
39512,13493
38669,15049
39657,25355
38905,15901
39303,3566
39010,4464
39584,3094
40610,20439
39181,7393
38770,11948
38997,21295
39144,24927
40128,10807
39251,21588
40317,13123
38505,11948
38654,31916
38643,15913
38492,28784
40697,9587
39828,11948
40229,15901
39865,10807
40493,15913
36919,11990
40113,3094
40228,15913
39777,5320
39637,1474
39527,4882
40356,11990
38862,25536
40321,4882
39417,8334
39030,3948
39548,12470
39871,2432
39172,15913
36833,31081
39300,11948
39135,684
39813,12470
36836,22840
40231,15901
40495,15913
38773,11948
40606,12470
39566,11948
38883,24927
40066,12829
38722,5320
40132,2569
40230,15913
38949,6478
38684,31081
39845,3317
40232,15901
38646,15913
40059,4882
38558,2267
40082,4175
39530,4882
38910,15913
38986,13594
39440,15913
38731,5122
40497,15913
38769,3948
38911,15913
39705,7724
39979,15621
40588,13123
40504,15731
39176,15913
40233,15913
40712,33832
40584,13230
39532,4882
39352,2267
40721,792
39364,26518
39971,15901
38660,7393
40346,12470
38726,5320
40663,10807
40680,26663
39519,5320
38913,15913
37002,1474
40051,21643
38815,10807
37858,15901
39290,12470
38727,5320
39032,20439
38587,9665
40335,12829
40327,4882
38808,27434
38847,1649
38553,2569
38082,792
39180,15913
38662,7393
37065,15913
38368,8287
40358,3948
38955,6478
39196,31781
40188,25650
39836,11990
39787,5320
40366,11948
38779,11990
36952,3094
40238,15913
37066,15913
39536,4882
38495,4392
39044,11948
39927,959
39709,15913
38928,7393
39187,23940
36968,10807
39778,5622
40566,13961
40367,11948
38497,20764
38929,7373
39455,15621
37030,684
39723,23695
39426,8334
39710,15913
38851,9813
39447,15913
37069,15913
38613,25392
40521,31781
38729,21768
38576,26518
38918,15913
39915,17780
39685,33101
40670,2569
40054,5320
40305,30306
39834,3948
40200,792
39661,1123
40516,7393
38733,5320
38919,15913
39586,11620
39976,15913
38635,8334
38655,15913
39712,15913
40464,792
38430,31081
39614,2569
39020,12829
36898,4882
38503,12470
39563,12379
39449,15913
39577,11948
39900,26518
39428,188
40628,36715
38774,20439
38822,2569
39275,21295
39713,15913
39185,15901
40093,4175
40490,32827
40612,37241
39806,4882
38673,15434
39615,10807
39792,5320
38795,19818
38616,792
39117,1649
40135,35632
40320,5320
39013,4882
36972,10807
37024,9234
38592,17978
38903,8334
39793,5320
39980,15913
39543,4882
40195,1029
38899,33018
39049,11990
39699,8225
38612,959
39051,36538
39580,11948
38963,31081
40601,4882
39835,20439
39981,15913
39395,1282
40182,1474
38572,2267
38925,15901
36899,21366
38831,18818
38661,15901
39371,26663
39982,15913
40401,11116
38728,5622
39997,15434
38584,10083
39453,15913
40510,15913
36900,21367
39905,26518
39230,6482
38907,16499
39372,26663
40257,7393
40004,23436
40074,4882
39454,15913
40227,8334
38539,36123
38940,23695
39426,33212
39934,1079
39547,4882
39456,15901
39909,1856
36877,30285
39830,12470
38765,12721
39268,5320
39004,5320
38813,27666
40715,9665
38772,20743
39559,20929
39534,5320
39985,15913
38601,9665
40341,4882
39645,18266
39720,15913
37029,9234
40353,12721
40097,12470
40170,18398
39783,30401
38478,5320
39320,11990
37016,1474
39117,18266
38867,1474
39048,20439
39284,13123
39419,17130
39800,5320
38545,3265
39148,25536
39432,24927
38264,11990
39055,36593
38665,15913
38908,188
40158,26980
38512,12470
39056,11990
40095,20743
38757,4882
40251,15913
37031,17426
39446,8098
39840,28651
40608,4882
39042,12470
38667,15913
39113,26663
40635,20439
38794,11948
40621,4464
40292,6478
39030,12829
40730,33910
38843,2267
39460,15913
37019,1474
39892,35298
39582,3948
39696,411
39539,5320
38933,15913
39061,11948
40265,7393
40259,23940
39461,15913
39852,11990
38472,5622
39970,8334
39197,15913
39991,15913
40119,11948
38592,26518
39337,11620
40214,792
39104,18818
38675,15731
39011,5320
39462,15913
38934,15901
40684,10807
38700,15005
40634,28784
39163,33422
40687,2569
36857,31189
36912,4882
40256,15913
40531,7393
39805,5320
39914,26518
38686,15434
38748,5320
38936,15913
39993,15913
39618,11160
38861,1856
40375,28651
38672,15913
38783,12470
39355,2931
39424,792
39316,12335
39201,15901
39464,15913
38944,15648
40686,10807
38424,31781
38976,6478
39929,9701
39328,11948
38777,4488
40423,10807
38937,15913
40496,24927
39841,12470
38524,12335
40408,3094
38801,11948
40003,15621
39465,15913
39086,3094
39476,7393
40649,11990
39731,15913
40177,26663
38485,21768
39467,15913
39822,4882
39330,11948
39202,15913
39995,15913
40007,7393
39686,25536
38891,1029
39281,5320
39595,11948
40279,39897
37040,17426
39203,15913
40397,11665
38866,26362
38687,31916
38526,4175
39934,1492
38798,3948
40549,7009
38607,1649
38767,4882
39509,31081
40362,12829
40617,13123
38821,3265
39856,3948
38788,4265
40262,15913
39522,22480
36827,15913
39998,15913
40107,20764
39138,1649
38718,6478
39207,15901
40090,21295
39127,2002
36950,28532
38981,6501
38333,2013
36867,31081
38651,24927
39053,12470
39694,792
38739,30401
39736,15913
38790,12470
39472,15913
38954,7393
39583,12470
40414,3094
40171,18818
38443,15049
39983,53
39191,26
38585,18818
38943,15913
40000,15913
40111,12470
39913,2267
38791,12470
40354,21367
37032,1474
39473,15913
37046,17426
39503,31372
39208,15913
40652,20300
40041,6478
39737,15901
40393,11948
39903,2569
39340,36410
37057,684
39287,5320
40240,24927
39562,4991
39934,1649
40494,25250
38417,15913
39111,2569
39922,2002
40541,7393
40365,4660
28996,4882
38682,15913
39410,9736
40012,15648
37021,26450
39848,4354
38664,8287
39024,5320
39598,20300
40084,5233
40622,21295
39457,8262
39877,19818
38796,4175
39216,15731
40143,11575
36976,36065
39516,6478
39587,12470
36960,11990
40347,13493
39134,26518
40661,11948
40217,33910
40269,15913
39239,15049
40333,30285
40360,4882
39350,11620
38993,6339
38510,13123
40190,2003
39477,15913
39508,14955
38784,12829
39213,15913
36873,31081
38761,5320
40451,26663
36924,13123
40309,6493
38467,6254
39741,15913
39831,13123
37000,10807
40271,15913
38723,6557
39399,18372
38909,792
39214,15913
39660,26663
39820,5320
36874,31081
40488,969
39411,9779
40129,12101
39722,8334
39943,9678
39652,35090
40023,31781
39291,5320
40390,20439
38640,959
38951,15901
38703,31781
39028,5320
39463,8225
40502,33358
39215,7724
38950,15913
38776,13123
38463,6478
40537,15913
39098,3178
39101,3094
40273,15913
39448,33300
40517,8334
40655,20439
40538,15913
38854,2588
39863,28651
39278,30401
39071,20439
39326,4342
36878,31081
39127,35090
36838,15913
37003,10807
39331,4175
39715,501
39198,8334
40275,15913
38490,30285
37034,26272
39346,11948
39218,15913
39609,11990
39574,4882
40559,23473
39597,12335
38440,15434
38827,19818
38953,15913
39864,20439
40010,15913
39228,7393
38689,15913
40322,6254
40579,6478
38716,23310
38426,15913
39523,6482
38817,11990
39944,9826
39997,8183
40514,24927
38537,4266
39601,20439
39747,15913
38866,2267
39081,11990
39483,15913
39126,26980
38555,11948
38813,3948
40277,15913
39919,18818
39978,8797
39433,17506
38956,15913
39034,13493
40013,15913
38691,15913
40415,11620
40104,4882
38787,29326
38935,32930
38493,30285
39491,15731
39641,27464
38938,16499
40131,36864
40014,15913
39079,20300
37007,10807
40542,7724
38565,11665
37059,17426
38435,15731
39222,15913
38938,8334
39085,11948
39750,15913
38469,6478
38768,13594
40703,19143
38863,18842
39129,26980
38519,13123
38429,15913
37084,33069
38786,4882
38695,15901
40190,35090
36845,15913
39345,3948
40379,12829
39791,6478
40371,4882
38541,12470
39487,15913
39174,9233
40281,7724
39368,3265
40145,11948
39928,2267
39683,1671
38431,15913
40116,12829
40545,15913
36886,31081
39915,27300
39628,19818
40535,16277
38804,4374
39753,15913
39887,3566
39234,15621
40282,15901
40674,11948
37048,1474
40546,15913
40443,2729
38560,11948
39075,4175
39226,15913
36887,31081
40519,411
40639,4882
36976,11948
39199,24927
39754,15913
40263,8334
39076,4175
39613,3948
36849,15913
39492,15901
38679,8334
39756,15913
38810,12470
37013,10807
39242,15434
40714,2569
39089,11990
40548,15913
39531,6478
40374,13123
40562,31916
38681,16499
39570,5321
40112,4882
38624,1855
39031,5622
39305,5320
36941,4882
38006,12829
39620,11948
39675,26626
40226,9587
39758,15901
40022,15913
38558,20338
38812,12470
39933,2298
39307,5320
40717,2569
40286,15901
37052,1474
39493,15913
37362,32827
40002,8334
39481,24520
38453,15434
40552,15901
39648,2964
40482,18069
39352,20338
39322,4882
37685,6478
39308,5320
39043,5320
38613,2267
38680,187
38437,15913
37053,1474
40287,15913
39930,26980
38931,8800
39358,11948
38977,7373
38967,15913
40024,15913
39926,2569
40289,15901
36930,5328
38968,15913
39046,13493
39872,12470
40720,2569
40210,18377
40665,12470
39496,15913
38439,15913
39502,15731
39296,13929
38948,8334
38664,792
39602,12674
39097,11948
39311,5320
37070,17426
38508,5622
38532,4882
36894,31081
40144,36828
39829,30254
39010,6493
40667,12470
38509,5622
39680,26663
40027,15913
39188,959
40138,12470
39099,11948
40384,4882
40156,11948
38520,5320
38561,20439
38618,2267
38442,15913
38470,15049
39890,11990
40068,6478
36896,31081
40028,15913
38444,15901
39169,9813
40147,20439
40293,15913
38834,11990
38708,15901
39879,4175
38972,15913
39627,11990
40029,15913
38820,12470
38787,13493
40658,4647
38709,15913
36951,4882
38688,187
38719,7393
39501,7724
39237,15913
40148,20439
38583,11620
38973,15913
40030,15913
39849,13370
40607,6254
39963,1649
38710,15913
38446,15913
37076,17426
40031,15913
40533,24927
40484,26450
40561,15913
36953,4882
39510,15731
39860,4882
38960,32779
40627,30254
39329,13123
40407,12470
40419,20300
40060,23236
39569,5695
39318,5320
39769,15913
37027,10807
39987,969
38448,15913
39891,3948
39895,28400
39505,15913
40246,1139
39633,11948
39059,5167
38624,2268
38803,4882
39612,20764
39927,27389
39416,2267
40033,15913
39045,5622
39319,5320
39898,11948
39770,15913
40653,13123
38754,22840
38841,11948
39506,15913
38449,15913
37079,9234
40377,13493
39869,12829
37563,2396
40298,15913
39632,11990
39437,1649
39881,12470
40052,31781
39427,2002
39143,10807
39668,2729
40564,15913
38001,29829
39635,11948
38450,15913
38466,31781
40316,31781
38669,959
39321,5320
38451,15913
40565,15913
38664,17506
37067,1474
38837,3948
39859,13230
38814,12829
36942,5328
39107,11948
39007,15049
38715,15913
39772,15913
38826,12470
36829,684
40302,15901
38881,10807
37068,1474
39285,6478
40380,13493
40692,20205
39419,35090
38994,23695
40731,10807
36905,31081
40576,7393
40711,27783
38462,7393
38543,4882
39336,4882
38529,5320
40202,10807
39773,15913
38946,33358
39221,16679
40130,4882
38844,11990
39707,9813
36945,5320
36944,5328
39866,29444
39885,12470
39323,5320
39153,18818
39511,15913
39901,28400
39940,10807
40304,15913
39867,4882
39465,25536
39962,26518
39423,2267
40039,15913
39596,5068
38531,5320
39047,30285
38982,15913
39775,15913
39886,12470
39324,5320
38455,15913
38440,8183
38461,15731
38699,8334
39589,5320
39491,24742
40108,5622
38830,12470
39062,5320
39513,15913
39794,31781
40587,31781
40306,15913
38838,20439
38671,9233
38465,15621
39348,12829
40206,10807
39777,15913
40133,4882
39029,6339
39249,15901
39435,26518
38564,28982
37073,1474
39732,969
40307,15913
39140,11134
38502,6339
40671,12829
39414,10807
39613,12829
40689,20439
39934,27464
39231,8334
39430,18549
39362,12470
38987,15913
39607,4882
39759,8334
38702,8334
40025,8287
38850,11948
38722,15913
40288,8334
40662,13123
38511,6113
38579,12194
38657,17978
36913,31081
39761,8334
40045,15913
40673,12829
39665,3094
40386,5320
39634,20439
36909,31189
39363,4266
39427,35090
38642,26663
38802,5320
39253,15913
39781,15913
38920,1649
37039,10807
38500,6478
38382,26518
36966,4882
38563,12721
39415,2729
38674,17506
39969,26518
40047,15913
38423,8910
39519,15901
38765,6478
37427,6998
40124,5320
37077,1474
40291,8334
38087,2931
39109,20439
40312,15913
38915,26450
40440,11948
38673,25765
36916,31081
38991,15913
40676,12829
38554,4882
38436,24927
38766,31081
40176,11948
40438,11990
38726,15913
40498,26518
40249,1474
39450,1671
37026,35853
39421,2569
39256,15913
39152,27330
40313,15913
38842,4175
39568,6254
40404,21295
39394,11620
38727,15913
36840,684
39520,15913
40577,15913
39118,11990
39876,4882
38586,3948
37028,3094
40314,15913
40479,10807
39016,7008
39349,4882
39157,10807
39560,31081
40220,18818
40141,4882
36841,684
39716,1672
39911,28400
37080,1474
40578,15913
39242,8183
40704,20205
38640,2267
39240,8244
40164,4175
40064,23695
39787,15913
40698,20439
39512,24408
39561,31081
40392,5320
39502,8334
39795,32018
40433,20439
40142,4882
39108,4175
40672,4882
38704,24927
39649,28400
38995,15913
39975,18305
38542,21768
38544,5320
38977,8287
39896,4374
38730,15913
39259,15913
40629,6254
39484,792
39445,1975
39095,12829
39165,10662
39260,15913
39617,4882
36922,31081
39457,1649
40054,15913
38733,15913
36918,31189
40318,15901
39012,15434
39525,15913
40255,1474
40582,15913
40284,8773
40460,3317
39799,15621
40494,2267
36835,17426
39742,9233
39354,4882
38636,2569
39745,959
40434,4175
38961,684
39066,5622
38568,4647
39721,1672
36962,5283
40169,4175
39654,11948
38559,13123
39136,11620
38475,7538
39262,15913
39619,4882
39110,12470
38657,26518
40699,4175
39792,15913
38846,12470
39090,21295
40696,12470
39341,5320
38716,8287
39913,20338
40320,15913
38452,8284
39606,5283
40057,15913
40011,959
38590,20439
39342,5320
39793,15913
38907,2419
39821,23242
38471,15913
39000,15901
39693,10807
38562,21295
40449,11948
38611,11620
38550,5320
40058,15913
39343,5320
39510,8334
40274,17417
39718,10083
37038,19433
38668,1672
39014,23695
39368,12721
39508,187
39907,28784
38551,5320
38301,4882
40041,8287
39375,4354
39272,23936
39405,19818
38473,15913
40032,24927
39683,2989
39356,13123
38837,12829
40679,4882
38552,5320
36852,684
39102,12829
40040,8334
38962,792
39485,25536
36928,31081
39003,15913
38740,15913
39797,15913
38452,16653
38698,25412
40153,4882
38868,11948
37084,18077
39268,15913
40325,15913
39333,30285
40521,1649
36967,5328
39004,15913
38567,4882
39280,7393
39170,10807
39861,13961
38741,15913
39798,15913
40681,13123
38906,10807
39534,15913
39309,6478
40682,4882
39005,15913
39749,9233
40062,15913
40186,20300
39910,12470
38870,11948
38589,12470
39535,15913
39762,684
38478,15913
38605,11948
38832,21295
40161,4678
40450,20300
40309,8287
36969,5328
36843,17426
38565,5010
40592,15901
38860,20439
39550,15434
39575,31081
39800,15913
39282,7393
39133,28402
40616,15195
38479,15913
39670,3566
37924,24927
38674,1649
40439,12470
40154,13123
36983,13123
40593,15901
38744,15913
39459,26518
40411,21588
40310,8334
39009,15901
38755,15556
40329,15913
36831,1474
39008,15913
40065,15913
39142,3566
39939,19818
36858,684
40595,15913
40296,8797
39578,6478
40067,15901
38481,15913
38824,5283
38548,5622
40330,15913
36846,17426
39399,36593
40666,21891
39365,4882
40422,4883
39538,15901
38746,15913
39539,15913
40596,15913
38580,29266
36994,29280
39824,39825
39917,4175
39274,15913
39023,23695
40201,3566
38993,32826
40268,1493
39616,5320
39803,15913
37062,10807
39425,3094
38483,15913
40270,9665
40254,1975
39684,3265
38992,8334
39403,11948
39630,21295
36848,17426
39397,36715
39011,15913
38996,8183
39051,6478
38747,15913
39844,6482
39257,8334
40043,24927
39932,11990
37037,11620
39495,25536
40236,2569
39277,15913
40424,13123
38748,15901
39441,10807
38494,7393
39188,2267
39080,5622
38637,11160
38853,4464
39805,15913
38673,10083
36851,9218
39091,5320
39542,15913
40446,12470
38941,26362
38678,18129
36837,1474
40398,13961
40204,3566
40425,21295
39765,792
39404,11990
39884,13493
36862,684
40443,20743
39229,1071
38486,15913
39092,5320
36965,30306
39553,7393
40025,959
37882,1856
38348,11990
40718,20439
39847,6478
39918,12470
39393,4175
38750,15913
40448,12470
38441,959
39093,5320
36990,21367
40465,11944
40736,36311
36853,17426
40072,15913
39554,7393
40727,11990
38751,15913
39524,8334
39540,16030
39662,20439
40640,31081
38578,13123
40326,16277
39407,20196
38442,25536
36908,7551
36903,15901
36991,21366
40338,15913
39281,15913
39924,4175
40644,39174
38441,969
38099,19769
39949,11575
39084,5622
36865,684
38845,4882
38443,959
38333,4374
36943,31081
36855,17426
38673,2002
38753,15913
39816,15731
38717,684
38501,7393
38882,11948
39360,5320
39401,20439
40299,792
38756,15901
39380,29328
39812,15913
31904,39897
34337,38184
38491,15913
39264,8334
40203,11990
40739,3566
38980,792
40196,20439
38424,1649
36946,31081
39239,959
38875,20439
39794,8334
40524,26663
40008,1671
38884,11990
39286,15913
39217,1649
39295,15621
39814,15913
40646,31081
38537,6359
38669,2267
39266,8334
40323,8334
39748,9813
39287,15913
38448,25536
36860,17426
40747,11620
40436,4882
39856,6478
39297,7393
38798,6478
38421,26362
40179,12829
39114,4882
39223,9701
39378,13123
40284,9618
36861,17426
36987,5328
39024,15913
40081,15913
38573,5320
39667,4175
40724,4175
40648,31081
39379,4882
39552,15913
38513,31781
39025,15913
39115,13123
39952,3566
38945,2013
38760,15913
39366,5320
40319,24927
39116,4882
39647,12994
39673,12194
40457,12470
40700,4978
39819,15913
39382,4882
39838,7103
38962,1492
38761,15913
39818,15913
39255,8796
40611,15913
39772,25536
39990,26970
39073,6254
36850,1474
39254,684
40694,21588
38763,15913
39820,15913
38420,26518
