member_meronym_1,member_meronym_2
4225,88
34788,2893
27153,26598
32310,30568
6759,19845
629,29652
14172,19424
1082,15613
16583,10227
4612,20872
14844,31369
29931,22414
527,16440
7892,17500
24704,20636
3063,36140
5149,4240
23965,27154
21058,35350
33902,30429
12745,14543
30873,26017
21393,8595
24746,19337
16112,8474
31258,30459
36946,17969
27308,21866
3634,34849
21575,35748
23504,8716
36873,20238
3145,33635
6759,36288
36180,8958
24326,32379
15409,13900
20649,31676
1289,25638
9492,17113
6755,36419
15934,14016
12745,14571
27345,20725
9492,17120
20545,18528
15546,26052
17308,36959
1119,14539
34814,34969
36327,20806
12725,15208
33509,9863
16607,9561
33532,9151
13261,31359
35945,32655
29310,8980
6739,20561
17781,22332
34135,23271
14009,8199
21557,19962
26471,15079
11001,35919
15888,15502
5071,6761
13364,28210
25368,141
16553,11258
26323,3304
15760,3080
6759,36354
21799,28859
10358,23098
8528,30674
31258,14177
25512,12100
17540,29858
13197,17034
36895,19661
30443,23066
17346,3115
36468,16550
36782,6815
17084,27623
5036,7888
30629,17322
12745,31063
33516,26149
33897,14339
6759,20014
15293,1222
29174,29653
8067,12237
31335,28227
11390,7539
18609,29507
20863,25167
12224,30841
32089,21227
29065,16667
104,29733
32509,24589
31802,13768
13282,30824
1439,21127
26033,28756
26119,9732
33852,32126
6759,20054
26033,28776
27299,5917
7203,6294
13261,31496
7629,9477
36428,1431
13515,7249
33402,13357
15769,35696
4832,30673
4808,31418
20126,31701
34364,16287
5714,36104
26767,6046
27463,33625
36379,3022
21788,29351
34386,15662
14438,27822
36699,25881
3732,32032
31742,32092
7583,10963
10281,25636
28508,34032
3218,15215
24550,9296
23062,6271
17227,6933
1119,14753
14602,6389
16871,34346
10290,25372
16659,8171
29143,30770
30505,4933
34364,16350
13261,31580
3397,26090
11879,8902
962,36043
16659,24566
29475,20482
30017,36448
15774,35637
8067,28791
11539,3081
33789,34207
8574,29460
5190,36060
14480,26592
32304,31108
12224,31003
22744,16168
26431,16565
29679,30560
25786,20170
30017,36495
556,32269
29065,33237
26207,7142
36780,7072
30629,33902
3259,14019
6437,30188
19154,29194
24704,20987
19834,8116
10994,36400
36383,35755
30584,18919
33269,17602
15755,36275
30017,20138
36610,28758
24996,28331
28076,14771
23005,24521
4832,14436
17865,3624
104,29937
30602,1998
24321,16507
15233,19702
27320,5461
36975,1046
6755,20378
32050,6304
29565,17798
24704,21029
3509,22723
17808,5429
3380,10338
30259,29043
23494,25783
13458,25613
25554,27463
24996,28371
27426,2224
6759,36679
10580,16546
16659,8309
15491,28142
1595,16553
31898,27418
17503,31320
27299,22552
4544,7069
35353,18628
1035,1159
18779,24526
26468,15541
15719,4714
27532,31737
12745,31368
13261,15384
30017,36610
21058,35816
29143,14550
22869,28837
30505,21500
35525,29710
25935,32101
13261,15410
15755,20016
26966,16533
7645,25670
30928,24783
10418,5253
10418,5252
34795,35984
26309,36921
16735,22415
29331,25161
34118,24206
36989,17124
28508,34285
32251,16555
31258,30983
15546,10143
31124,35136
23623,21909
33050,8194
34548,27309
25368,33342
26033,29105
3249,30915
35440,16018
25506,29087
34364,221
29524,2832
30856,10689
10674,30114
15450,29514
15409,30798
15354,32502
13261,31848
18815,23509
10987,20420
29081,16583
3560,4905
17861,3952
22744,16419
14398,29388
27877,4747
22991,8751
22616,36764
32496,25391
18729,26209
25013,11632
23318,31407
13094,4282
11991,22088
7499,13889
3337,11836
8528,14752
29283,10330
26711,8144
4723,18023
20126,32047
20621,33087
675,28832
13745,16872
28077,14968
28012,16986
28099,30667
33765,18873
17878,19830
24944,13782
36446,1306
13316,30187
9785,24972
31475,24335
14691,36724
16001,28893
15876,16371
21952,24626
28812,8572
13669,35647
32087,21736
32661,20353
25083,9512
16001,28909
28508,34404
36113,28041
22880,28640
30570,3241
35782,21924
19641,30751
30362,9690
10772,27176
34280,35693
34256,36439
9695,27804
26033,12832
31179,17146
23229,34244
18475,1400
35831,4045
15755,36557
13114,36515
21456,7286
27237,24704
17540,30398
13261,31966
26309,37084
32138,3841
25064,26520
13517,24049
30815,12104
36793,7024
15396,14959
26606,11508
16659,8588
3130,1996
12711,32666
29653,31760
32064,6169
25913,33010
30259,29352
16659,24966
16436,31879
28211,10917
26697,8699
15546,26705
15241,36160
28110,30454
28211,27325
12451,7971
13461,25826
13011,23389
19855,7829
36439,18036
13734,33755
25712,22894
34364,16801
10026,17628
20508,36760
12685,33509
6206,21376
15546,10368
16927,330
2176,15235
13871,29519
35814,4668
14398,13196
14509,26136
28815,25008
11889,25435
20638,16374
12882,27426
24435,29741
19274,25895
13197,34054
27851,22138
25712,22912
33171,4676
8723,8919
16659,8667
18779,24866
13261,32081
28331,23672
25357,1172
5602,7366
31108,35883
4612,5294
36890,36884
6759,20655
24944,13973
36974,34282
14842,15855
18487,1169
19066,15987
15755,36710
7436,16070
30828,11807
17906,35555
36208,25241
18093,13378
18567,31453
29910,23878
33259,34778
15546,26816
14998,27419
6759,20686
37030,32579
104,30393
104,14009
36890,36889
21878,27155
33793,18214
3185,422
6648,24139
36446,34280
879,22761
13261,32141
30873,26847
32417,28131
34876,1051
31108,19586
34876,1052
6755,20851
23469,27018
5445,28698
13261,15786
10552,17845
34364,551
19039,16882
17902,19363
36890,36934
29331,9150
9786,25209
25712,6648
34814,19411
12904,26867
30626,18148
34246,20616
32064,6362
24226,36347
16511,29757
31666,2312
18088,13625
9785,25270
13026,6718
35875,35665
12259,14120
27237,24944
28441,36775
9181,11241
30443,23854
5620,23323
17032,29995
8168,9872
26033,13132
17254,23135
16993,14842
33071,7947
24350,16155
9152,28541
31124,35528
26321,36961
22208,33395
32089,21992
22029,22582
33509,10772
24804,2093
36403,19365
29241,28387
24642,23495
26321,36979
4802,32339
29143,15061
28646,30468
27936,19709
15934,31321
29148,14899
35831,20700
20259,28309
23220,2052
8962,18073
23688,36699
10441,21378
31123,2848
28438,20546
17861,20750
10147,30504
28815,8851
36448,34391
33811,1455
34364,17080
29148,14908
36842,22156
1429,5866
31258,31441
32792,270
7748,6590
16939,32956
31258,15053
13261,15910
37014,33219
28438,20550
1746,12429
20191,14089
29609,33426
25058,27046
13261,32312
24335,33073
32692,19794
33739,36460
27353,21463
25208,6032
16388,17312
34364,33473
26674,26124
12926,26318
32304,31812
34544,27897
35831,20768
31296,30317
2778,13244
17748,24319
4583,22828
25549,28244
28441,4125
25466,14432
3940,26386
33527,10295
14562,24791
9726,10868
29955,22744
19111,14839
3509,23373
13555,6858
15546,27069
16658,8990
20126,32542
2121,888
14818,16885
27415,19604
35334,19850
36780,24180
11586,2398
28507,18510
30406,8793
35837,20649
16659,8967
15774,20035
7651,26089
36915,20039
36915,20038
27153,27734
10328,8639
26072,12115
9750,10185
29143,15218
1461,21382
13663,3571
28582,16222
4332,30687
25703,23544
9821,24381
1081,413
33527,26799
17477,16421
104,30708
8494,2
11599,18437
6216,5086
23532,25340
36865,21611
25058,27191
23745,18736
4105,21383
29524,19814
31713,17489
25804,4062
37044,16101
21122,1776
21078,35905
23005,8937
17303,21846
3823,13753
32305,31924
13261,32471
19033,17393
3509,23494
17331,4612
16659,9060
28077,15555
26178,25266
25568,11435
8851,21752
3185,17176
35831,20974
10147,14353
24848,17360
30727,15337
15546,27201
15241,36671
24493,12005
24240,3463
8074,13081
28422,4893
8520,15641
33853,33126
29174,14343
32304,15617
28288,9039
36078,13308
23782,17680
26767,7066
17685,26461
11819,11696
29143,31713
5204,20151
34256,20679
8967,34580
26076,28477
9565,32422
32087,22358
31038,22132
20035,35544
11099,34049
15774,36575
19641,31389
13517,24642
15337,33754
23957,28689
35837,4450
7114,10147
32087,22411
32096,22130
12769,31450
24183,5313
24839,17748
10328,25208
36729,25999
24183,5314
35435,16960
35831,4688
12161,17559
104,30873
23442,11913
29148,31637
25437,15607
2854,11166
35746,23691
19125,31046
32652,4927
13261,32614
5739,3656
34364,17386
25753,22208
9157,12388
10674,30910
29143,15417
21645,18481
10200,12833
14201,36271
23582,7607
31713,34078
27237,25378
16052,28063
32304,15769
32186,35810
20162,31726
35010,13816
30856,11501
28240,27061
9646,13660
25512,29704
34246,21122
35630,27372
27592,14378
30406,25446
15977,14000
23927,29690
30619,18871
26208,8152
9722,11308
29148,15312
36977,34745
4105,21601
31063,21479
16001,29654
13721,18417
20873,9693
12475,24287
9702,28326
29685,15064
3665,2491
12745,32309
33828,34110
30570,36780
33527,10677
10200,29292
30334,27740
22552,6832
25197,6756
24381,15666
10332,25206
13197,18309
32792,710
1758,12478
35987,16354
19578,17123
104,30994
18092,14034
13458,10247
36909,36908
26572,29701
13228,33763
13517,24804
30737,15295
23518,9702
12217,32349
3063,21215
8566,30851
26033,30038
30072,19511
18616,30610
29183,14331
14818,33653
32138,4644
25521,13160
34394,222
36463,1623
13261,32778
36463,1622
20546,3568
3596,21103
27160,27905
29043,2300
11830,28001
34577,10987
16659,25750
29698,31168
29087,954
5680,5669
35387,35008
13133,20395
16112,26337
26033,30081
31123,3363
13261,32816
5600,8165
8434,34993
8449,34540
34993,14504
19432,5354
26033,13712
26492,15895
23582,24183
3915,27646
10749,28794
36912,36920
34500,29778
10388,7226
28667,30406
29366,8738
9252,26051
14185,4203
24944,14746
5233,19576
36912,36968
34078,10138
25078,26966
28445,20895
36912,36972
17707,26115
18596,14939
34388,33269
28646,14691
10552,18536
26323,4776
12725,337
12725,33102
24272,35584
8172,10405
3665,35436
20213,13980
36395,36640
15934,15561
16659,9461
36912,37000
30187,16076
35710,8729
36912,37003
16659,25867
28438,21169
13261,16511
1595,34098
13261,136
32816,16515
23373,14332
31332,13366
3259,15291
16423,16815
36274,24033
27320,23071
36912,37027
28388,22734
34814,36531
16927,1184
34739,6093
19641,31741
24335,33680
29174,14741
32661,21363
12745,32543
33025,26433
23504,26697
36912,37007
36912,37013
12224,32305
31188,34254
16659,9518
12724,33202
24636,7986
7895,35440
2084,2595
32840,32219
36912,37062
36991,34610
24183,22050
26504,32013
29123,16357
33258,2887
36912,37039
24218,4600
31882,29155
10736,29311
25395,17254
31258,32110
31656,36155
16465,15576
21382,10605
1692,14782
31258,15750
16659,9566
13261,16602
18126,29620
34035,27954
11842,11447
7645,10483
18423,20435
36912,37078
20027,36234
31258,32138
16350,19155
33535,27121
26119,27626
33765,36385
4052,7203
36918,36917
9492,35172
34364,17793
17913,36278
34256,4758
32496,26563
33023,26601
17943,35339
19962,21902
33237,19969
22997,26120
6517,12727
556,908
32121,5445
16510,14249
12711,33705
30727,15887
15864,17893
6648,25056
18061,31694
18201,10973
11236,30296
6648,25064
26033,30351
13228,34077
13742,34528
35751,23979
16801,5246
35528,30896
9261,9605
5638,23619
30978,8113
3915,27878
6759,21639
36918,36998
34364,34256
32907,30271
28630,31774
35831,5164
24846,18004
25223,6310
16001,30055
31666,35981
18176,11803
21642,2663
79,32132
15384,32822
15774,20731
13261,33096
18238,26256
5386,31457
10328,25712
18577,15751
15233,4742
3629,4019
31412,11099
25335,35642
30119,34792
29174,14934
8708,10425
6759,21693
15453,30701
35777,6854
25753,6316
16454,32437
17902,20320
20803,28694
33017,26887
13261,33125
2930,9327
15876,17610
23361,14955
18779,9541
4612,22724
3219,33139
29931,24275
26522,31651
32461,11379
6759,21713
36046,31340
33527,27483
19604,33138
30780,30737
12711,33824
23229,2674
9853,24129
20098,34217
22170,35521
23445,28764
13197,35150
13742,34640
30629,35438
31694,35189
27031,32278
4823,16227
3025,6443
26687,10191
9533,1303
15369,33376
9566,16670
13261,33211
22246,427
12745,51
17748,25195
4052,23782
8486,17404
30404,9694
28050,33516
23217,35874
2176,16410
17032,14617
20659,487
32400,13345
29685,15611
23446,12411
20180,31757
26024,14431
3292,14607
16659,26224
2733,31938
16287,4974
12745,103
19499,36478
36926,36908
16578,12344
30798,13913
28508,35752
12725,33494
16659,26239
34902,34156
15417,15589
3404,11159
12711,33948
12091,4015
32251,18038
29097,33890
29143,32465
32861,31877
6759,21859
20737,30900
33509,11830
11281,29143
23508,26944
37081,32172
27886,5905
13829,15695
27535,33195
23318,16461
17331,5453
13261,16939
20189,31558
15934,32393
32304,52
28332,24876
34388,17364
17808,7083
31195,34451
25140,25549
20126,33519
30856,12189
25057,28141
1514,20684
28631,15652
28514,19274
9533,34238
34365,34517
28508,3071
9181,28778
29669,16232
15876,1464
15398,32665
29143,32563
35219,8023
27427,36604
32622,6625
32816,16992
12224,32760
13523,8888
36862,6286
37041,17124
30406,9801
517,2479
34246,21860
33444,30308
35701,25878
15145,24167
18375,5942
20126,17202
5793,2786
5793,2785
35493,15990
12711,17707
1474,21990
23005,9897
26033,14324
12745,277
27421,36829
13067,23060
6530,29104
25051,28379
27421,36828
29143,16217
24535,27993
20762,13886
20152,16413
10358,25132
18022,16927
13694,3634
7629,11427
29547,20100
27421,36852
5783,35884
13261,17053
16350,19601
27421,36869
27421,36865
36734,10328
34972,32186
79,32508
27421,36889
2890,10907
27421,36884
13278,32941
5899,32318
27421,36881
1308,10804
27421,36880
4652,5446
29345,10005
35963,34252
34619,10384
27421,36899
21650,19186
32013,25615
33133,7277
27421,36895
20126,17302
33491,28950
15876,1588
8286,23897
16904,2488
16659,26468
1081,1490
12292,14399
34544,29083
31945,11354
20213,14602
27421,36934
26887,4337
36208,10312
8067,30702
31930,28221
8643,29226
27089,14476
27421,36955
18845,24278
17697,27100
19641,15977
22412,11998
13261,33544
18092,31234
19641,16001
14443,13297
11281,29396
28607,205
18417,21181
34394,1039
29910,8954
9486,3132
16001,30531
14181,21421
14181,21420
13261,17173
25777,6003
27421,36984
34990,15311
4105,22494
24478,13530
34364,34721
26178,26363
29616,34470
31258,32718
29241,29706
21251,15276
36936,36954
9726,28483
35686,26553
32651,22324
17667,11697
12685,18682
20100,1798
33512,28419
34724,23587
19145,31427
36936,36935
17072,30155
36898,5393
21860,29199
29143,32798
24944,31898
16402,18162
31229,17281
19073,33669
3063,5699
24704,6566
3185,1916
28788,11030
29143,24
29310,11260
4612,6835
26346,21223
27421,37038
35679,26831
13261,33650
29966,23705
10625,678
9672,30217
31207,34376
29910,9046
19604,876
21005,6598
26966,18420
17748,9262
12685,2366
29143,32840
15215,5864
16583,12623
15664,24722
25582,12180
33240,4154
28273,27085
13261,17314
29356,26282
33260,19916
36936,37034
2733,32384
2259,14312
33374,16
31179,18909
20267,29502
24228,21426
11842,28545
32735,3462
24309,18903
27334,7052
17808,7441
22238,33975
5620,24836
11715,16120
13745,35107
16659,10320
21881,28661
8092,13742
17540,15778
33342,1044
19032,18666
19032,18665
28760,28396
1920,8475
315,25464
23083,7774
904,7206
13011,8715
36741,26775
23012,26384
36818,24396
31124,20663
26232,8471
31189,2262
32304,16849
18022,17227
33801,19593
35502,16017
3981,26529
12711,1655
29148,32784
7521,31481
16879,36293
20126,33961
23751,3497
37010,34864
17310,22966
23495,11455
16659,10381
36362,22158
30978,8854
27346,6759
104,15686
36557,16159
28438,22083
33426,14917
11287,13091
24944,32084
11287,13092
32070,24169
19274,27627
34846,20057
10552,35872
36868,6500
9389,22786
23979,12873
20792,29750
16927,34876
14172,21975
26921,36345
31540,24228
9266,10231
29567,19883
8249,25368
12480,25293
16659,10418
35334,21342
26762,8525
20126,34040
33512,28648
34364,35004
24642,8730
29541,4318
19798,27826
4015,25572
13160,4218
10749,29807
37055,17124
9566,33729
3132,36574
21077,4572
34404,17430
34364,2291
30629,36135
36208,27032
16350,36430
167,30207
34146,9038
25712,8353
28508,3597
7197,8899
7895,36427
34364,18689
10966,23153
32377,31146
8074,14500
12711,18207
31038,23531
24636,25386
13261,33934
33778,36901
28806,10797
12488,25139
12882,12926
8793,24994
15546,12258
13261,1173
27947,4652
12259,15864
32542,26071
6588,11440
12711,34628
13261,33963
203,29156
6437,16124
17402,36652
28441,5739
19076,17548
6584,27960
13515,26094
13517,26033
33246,37043
30770,31864
36951,36881
20687,369
17861,22440
25437,573
2631,3065
22658,21213
28077,33446
31258,33136
28508,36463
29148,16621
27441,36768
30072,4359
31258,33157
10418,7442
27345,6996
12149,19329
2122,35255
32304,33517
11756,15138
26033,14927
26033,31311
11339,28059
27728,27912
14873,16809
35553,31085
16659,27002
27392,5582
35493,32982
20093,35243
23318,17186
30727,16879
12685,2733
30876,28642
18869,24020
18184,12490
15374,34072
33897,33288
32655,22668
33961,14926
10441,6778
22826,16060
35435,34771
36951,36927
30098,20006
13261,1289
7892,20267
13261,17671
13261,34055
13816,16850
13515,26178
17877,22044
20898,10317
15876,34930
9601,16460
13335,31780
29174,32280
10532,3981
31582,6812
19561,35392
19641,137
29143,33258
34364,35238
18022,1202
16993,333
35435,34846
21978,26011
20638,34781
13261,34104
30780,15294
8827,7717
11099,35599
36951,36984
30388,11089
30388,11090
35831,6168
28778,28230
32251,18869
31258,33266
11394,26451
29982,23670
15546,12437
7355,4221
12023,6973
28738,29477
30736,16692
9181,29547
27704,28759
17500,1025
11677,34085
14192,5285
16510,31734
36423,20614
15546,28847
7162,26608
24636,25583
27353,23273
27353,23274
19855,9975
6854,3399
18088,31983
25957,17421
10200,30746
15546,12483
33694,6971
19641,16607
1119,17356
17861,22635
19066,34431
16658,10793
33871,1457
1430,24112
9980,21209
19066,1677
16659,10761
12224,33569
26713,26785
37008,2566
34930,17833
6850,19952
7017,31160
36514,17862
36846,7569
6650,9775
27916,5894
13261,34218
16927,35248
12685,35688
1545,20578
14560,10329
2886,11777
13261,17828
20138,17649
37064,33624
34364,2639
14998,13144
9565,34108
26076,30181
13261,34234
37018,35059
28387,7686
15607,10658
35107,12383
13333,31999
8721,27520
19641,33076
13261,1471
9853,25196
24812,3836
25348,3631
27320,24407
23491,12040
31475,10290
17438,3093
36934,21285
14249,36412
19224,13268
27237,27004
29234,30634
30940,10513
32861,32868
27880,23451
17988,18804
36208,27417
10026,36258
6582,11960
26471,18002
34364,35475
13261,34299
31742,34815
36233,26664
30324,29644
32138,6174
20213,15398
34364,35462
6648,9941
37082,357
13261,1540
36966,36757
10285,11890
9672,30893
36590,32034
3596,22639
7203,25511
6835,20545
29910,9717
2424,26213
15620,26745
1595,35540
28245,28586
27002,34345
36957,37035
2590,21086
34533,30293
32124,23048
1382,9385
26564,31563
20540,21706
33527,12333
31742,18500
31247,1077
33863,1923
13814,17228
237,28511
13261,34378
14691,6431
10560,36189
13261,1604
36858,7408
15369,18192
12725,1853
1992,23288
23012,27031
36814,8798
24016,28702
27822,25400
19224,13413
1044,36316
14844,1737
36621,31172
12685,19522
1456,23551
36907,5900
26006,32557
15979,32104
29396,9381
25014,14180
12711,18731
83,603
9196,13016
278,27327
1119,34027
22109,5923
13197,36437
35306,6410
31742,18612
9218,12349
34355,3130
25156,9784
25708,25440
3509,25490
2854,13027
7065,13561
2149,18503
31258,870
36441,20431
13261,18093
17586,15090
22392,29950
8286,8486
26554,32022
34003,14070
31170,36379
29174,32716
28222,13076
25083,28465
15876,18974
10200,31087
23618,24745
14616,8889
2122,19376
12711,18791
10792,12745
36887,6639
29755,14715
17254,25437
7355,21005
36965,36964
30117,19905
34364,35683
23621,8279
12745,34151
16659,11107
4006,10144
27221,11370
28211,13443
35581,14344
25437,33928
13900,31119
34221,7395
1372,9891
13261,18166
27611,32060
20079,36198
16031,30619
10772,13424
33142,8073
17072,14724
19067,34798
33402,32774
19697,31655
8494,2119
9842,25868
17504,17717
36866,23732
36621,31327
32301,34169
37049,34446
27296,9094
17540,32997
25712,25425
23381,32175
33582,27214
36119,14107
21498,25013
31713,19641
16970,34312
14968,14439
24996,31257
36965,37037
25437,17580
13782,18459
5441,31266
27536,1691
11919,27056
12295,31784
19855,10415
16756,24570
10754,30411
14783,20212
29475,23518
29961,8451
32643,7225
37005,19444
28050,18533
34364,35782
31742,18769
10552,36688
10877,26613
20873,28030
20774,14716
19967,6984
7607,29693
36948,4876
34855,4225
15755,6486
19936,7937
34544,13866
12813,32151
15546,12970
37042,18333
15369,18473
23445,13879
30751,33154
29174,32888
25506,31907
32304,34160
26156,28168
15864,3145
28508,4406
12711,2597
19641,33512
25712,9157
35489,33739
25533,31090
20782,14529
20996,7917
27704,12963
17580,31894
29241,30848
31405,12914
15546,13030
30541,23313
19946,24078
26431,19649
29222,31456
24273,21027
25511,31802
32187,21456
24273,21026
2261,31666
28070,34418
26961,36031
9492,4121
29174,16578
30181,18126
15546,13062
12224,34120
32087,8212
13261,18368
20701,33499
32304,17865
34388,18779
16472,17129
13192,20515
35805,24011
32349,77
34835,21346
17331,6909
8963,36931
17401,4741
10376,25898
25437,17767
8092,31175
29727,32229
12745,34388
32816,18388
29513,22477
8962,4208
11099,3491
18753,28357
11099,3492
15178,24512
34547,30261
13778,18758
10677,197
18092,32490
21646,37001
17427,3953
21867,13767
11099,19891
19066,18671
31258,33957
15891,2418
32087,24637
13011,9786
20578,4583
28763,29400
8449,20144
16659,27791
3259,17201
31258,17585
3975,27776
27402,22432
16491,226
35870,22094
79,17487
24550,28941
32428,14099
30505,24561
31335,31593
25506,15683
1302,12357
12711,19126
34918,18828
32789,35679
13261,34857
14830,18984
19337,26717
26799,24766
15620,10877
30757,373
24326,35921
33527,29229
10736,31217
24839,36395
25712,25717
13261,34870
34911,35482
36205,11755
13261,34880
23452,13882
36003,34374
22966,12552
20995,24525
6046,12803
16244,24339
32087,24733
36976,37033
23452,13883
26673,28721
11915,11091
15977,32623
25484,73
34155,26162
30655,36373
36330,24273
29524,5893
28859,26506
33512,13333
17500,1810
15864,36164
14120,8295
15145,9303
1408,9164
32120,7381
15611,27630
13335,32651
23375,32717
12128,20911
17902,5757
26504,34012
7915,20457
36205,28182
28330,26554
12131,20838
28315,10659
22065,24179
27031,34071
30280,15298
17808,25100
13261,2205
20873,28382
26703,27872
141,15724
13517,10674
28815,11578
27237,27728
24677,8787
21195,18423
29609,36113
12264,374
25054,13476
1471,7274
17438,20196
26033,15891
19650,17179
23373,32842
25008,31306
31108,6041
24273,21314
36189,12358
34533,30928
15695,25095
1746,31540
29241,31170
21652,20674
28461,6199
19641,33863
34354,3754
6310,4749
