member_of_domain_usage_1,member_of_domain_usage_2
22684,30427
2359,40994
32891,38648
32891,11995
2359,40996
25187,27617
32891,27381
2359,41003
30035,14538
32891,14066
2359,14382
2359,25646
2359,41006
2359,41008
25187,17362
2283,35174
25187,19438
25187,17391
13274,2685
32891,7942
2359,11323
32891,14084
31873,28234
2359,23613
25187,17378
32891,30486
22684,5909
30035,18672
25187,4093
22684,19221
25187,35841
2359,19530
2359,13388
25187,19453
32891,16146
30035,35049
32891,36612
25187,23545
32891,19211
2359,23637
2359,31828
32891,5898
25187,34831
13274,18078
13274,15001
25187,31750
25187,19462
2359,18526
2359,13409
13274,26277
25187,28674
32891,11037
7739,3308
25187,24607
32891,24375
32891,21303
25187,10272
30035,16652
25187,34843
25187,17435
30035,14605
30035,7434
25187,19484
25187,40983
32891,32548
25187,23577
25187,20498
13274,32433
32891,5931
32891,29515
32891,30540
25187,11307
20161,28879
25187,40998
25187,41000
25187,2082
32891,17212
25187,40997
30035,10544
32891,9041
2283,25027
13274,19159
13274,36568
25187,5176
25187,33849
25187,35897
32891,4938
25187,1100
32891,3943
25187,20560
30035,24890
30035,20794
25187,17484
32891,4962
25187,28749
32891,4961
30035,21817
25187,18504
25187,1090
2359,19619
25187,30788
25187,28768
25187,3168
25187,34907
32891,20335
32891,13167
25187,23634
32891,36711
7299,17026
25187,20588
25187,19558
25187,29798
25187,22631
25187,10343
32891,10110
30035,21847
25187,10339
25187,6244
13274,27408
2283,35325
2359,32969
2283,23038
2359,21709
25187,29814
32891,23438
2359,17619
2283,13830
25187,29811
25187,24691
32891,34731
31302,29715
25187,24719
25187,20624
2359,23771
32891,9123
25187,13449
25187,27785
26912,4000
25187,35971
25187,18563
25187,32899
7739,1384
25187,25760
13274,21294
32891,33695
22684,11181
32891,33698
25187,22680
25187,22677
30035,38304
30035,21921
32891,25544
2359,2297
25187,2219
25187,2218
25187,28849
25187,36010
2283,36399
30263,30209
30035,19869
25187,4271
30035,38299
32891,27586
20161,38211
30035,16790
2359,32003
13274,33604
26912,17343
15471,24887
25187,26814
25187,10430
32891,29628
30035,35247
32891,33725
2359,25869
31302,17469
32891,17361
32891,25550
26912,976
25187,7349
25187,16593
25187,17611
25187,19659
13274,34650
25187,15554
25187,8388
30035,35251
32891,25562
40982,13336
7739,19885
2359,22823
2359,25894
26912,33787
25187,10464
2359,3368
32891,33761
25187,23768
25187,22741
25187,13551
25187,26864
25187,25841
25187,35052
2283,36469
2283,4728
25187,23807
25187,3324
2359,2377
25187,35068
32891,11283
2359,23886
32891,40964
25187,5368
31302,2169
25187,35065
25187,9458
30035,8705
32891,2088
32891,18471
32891,9254
32891,41007
22684,34856
25187,10502
32891,21536
15471,11676
25187,29960
25187,17673
25187,29954
15471,32150
2359,35174
2283,36509
2359,14696
25187,23835
30035,16909
13274,27561
2359,12654
30035,20998
32891,40999
25187,29999
2283,25258
25187,27951
30035,2593
32891,12359
13274,29645
25187,18747
32891,20561
25187,24885
2359,6548
25187,30030
25187,34126
32891,32876
25187,3403
30035,12860
25187,36170
25187,8522
2283,35534
22684,93
7739,11810
32891,28790
25187,10562
14246,36399
22684,10357
2283,13018
25187,5471
25187,3419
25187,14685
13274,30711
25187,12627
7739,29235
15471,16870
25187,25967
13274,23552
25187,18794
13274,12283
25187,17770
2359,17853
32891,31889
32891,4225
13274,13315
2359,25027
25187,15715
32891,153
25187,24958
25187,18817
30035,37482
31302,33022
31302,28925
25187,15734
25187,29047
22684,12430
13274,23576
32891,2191
32891,19596
13274,2065
25187,8565
25187,16782
32891,15526
22684,12457
26912,17574
10787,26954
13274,40993
32891,1178
25187,16798
32891,29850
30035,35470
20161,8764
12286,14286
25187,17814
25187,14744
2359,20977
2359,31216
25187,23961
32891,10411
25187,35221
25187,15790
25187,21935
13274,2112
32891,30924
30035,24222
32891,198
32891,11462
25187,17835
2359,35325
25187,30124
2359,20991
25187,34214
2359,23038
15471,21049
25187,35235
2359,13830
25187,32191
25187,3515
25187,15802
25187,4545
2359,19978
32891,210
32891,1231
2360,12785
28615,6812
13274,35923
25187,5555
25187,5556
32891,18635
25187,19893
25187,14798
32891,16617
2283,34639
2359,21019
32891,9444
15471,36432
25187,13773
13274,19559
31302,34123
25187,12744
30035,10933
31873,40992
25187,481
2359,28205
13274,29816
22684,18669
13274,16501
25187,11761
26912,22797
32891,28942
25187,15846
25187,12774
25187,5606
25187,6631
25187,18921
30035,28373
25187,26084
25187,27134
25187,6655
30035,34541
2359,36426
7739,35532
25187,5628
31302,36220
32891,8462
26912,32021
25187,13810
25187,21002
32891,12581
32891,12580
25187,25101
26912,25894
32891,20766
32891,4381
32891,3355
25187,5637
25187,8734
13274,25776
25187,1563
32891,36126
32891,1331
2283,4000
32891,32035
2359,18033
25187,33304
2359,36469
26912,36145
2359,30327
32891,23872
25187,17961
22684,37185
32891,21819
31302,38309
25187,550
25187,21054
7299,14421
22684,11603
2283,17343
32891,27988
28615,22305
25187,21053
30035,3880
25187,18999
25187,17971
25187,24116
