instance_hyponym_1,instance_hyponym_2
11948,39177
15913,39128
15913,39131
11948,39171
12460,39684
18818,39211
11116,40401
15913,39159
15913,39145
15901,39519
15913,39147
11948,39189
15913,39148
15913,39150
15913,39151
33832,40712
12470,39402
4882,37058
15913,39172
4882,37064
26980,40158
13493,40466
5622,38702
15901,39538
15913,39167
12470,39420
4883,37049
15913,39176
4882,37082
15913,39180
8225,39946
5622,38728
12470,39436
15913,39202
15913,39203
11948,39227
15913,39197
5320,39908
16196,38618
10083,39718
11948,39250
5320,39912
15913,39218
15913,39222
15913,39208
5320,39920
12470,39458
27088,36847
15913,39213
15913,39214
2419,39748
15913,39237
11948,39273
15913,39226
12470,39474
18549,39430
11948,39269
15901,39603
12470,39479
15913,39253
15913,39268
15913,39256
12994,39647
15913,39259
15913,39260
15913,39262
11948,39300
12470,39515
15913,39281
5068,39596
15913,39286
15901,39659
15913,39287
15901,39644
15913,39274
15913,39277
15901,39651
26450,40334
4882,28996
11948,39330
11948,39328
15913,39299
5320,39998
15913,39302
1671,38433
15913,39291
15913,39292
1649,39117
7724,39215
12470,39548
11948,39346
5320,40014
15913,39317
15913,39318
15913,39319
15913,39308
5622,38851
5320,40024
1649,39138
5320,40029
11948,39358
15913,39334
5320,40028
15913,39321
15913,39323
5320,40031
15913,39324
13230,40584
15913,39344
15913,39351
12470,39587
15913,39338
24927,38436
12470,39583
5320,40054
15913,39341
32018,39795
15913,39342
15913,39343
15913,39360
15913,39361
15901,39737
15913,39366
5321,40035
15913,39357
15913,39359
1672,38472
15913,39377
28943,36859
1672,38475
11948,39403
1671,38508
15913,39369
1671,38513
15913,39370
15913,39392
12501,38664
15913,39396
15913,39398
15913,39385
15901,39758
33910,38532
15913,39391
1649,39217
15913,39409
11665,40023
24927,38507
4882,37303
11948,39438
15913,39400
20929,39559
8800,38736
33358,39283
5320,40124
15913,39431
15913,39440
36538,39051
11948,39468
15913,39447
12470,39681
12470,39692
7538,36935
11948,39488
15913,39460
26518,38382
11990,38184
15913,39461
20439,38418
15913,39462
15913,39449
13493,40750
15913,39453
15913,39454
26450,40484
15913,39472
18818,39529
15913,39473
5320,40173
15913,39477
5320,40172
11948,39499
15913,39464
1649,39288
15913,39465
15913,39467
7538,36954
18818,39528
26518,38420
15913,39493
15913,39483
5320,40197
15913,39487
15913,39505
5622,39031
15913,39506
11948,39533
15901,39880
17506,39279
26518,38432
15913,39511
15913,39496
26249,38569
24927,38593
15913,39520
5320,40216
5622,39045
8245,39652
5320,40221
15913,39525
15913,39513
1649,39339
24927,38606
8284,38452
5320,40229
19433,36895
24927,38609
5320,40233
15913,39539
11948,39566
11990,38264
8287,38368
5622,39066
15913,39542
11948,39577
15913,39534
15913,39535
5622,39080
15913,39552
15901,39925
24927,38651
1649,39363
15913,39556
5622,39084
28943,37030
11948,39580
5320,40256
7538,37034
18842,38863
12470,39804
15913,39572
16988,39015
1672,38668
15913,39573
11948,39595
5320,40273
6113,40268
5622,39112
5320,40286
15901,39961
15913,39589
12470,39813
15913,39591
31781,39196
15621,40437
6998,37427
11948,39620
11948,39633
20439,38561
1672,38700
5320,40302
7724,39501
28389,37869
12470,39830
12470,39841
15621,40458
11948,39635
15901,39971
15913,39616
8800,38931
11990,38348
15913,39621
15913,39608
5320,40320
11160,39504
1649,39437
5347,39489
11948,39654
24927,38704
20439,38590
15913,39636
12721,40272
3265,38500
15913,39639
15913,39626
12470,39872
15913,39629
15913,39631
2964,39648
1649,39457
15913,39650
12470,39881
26518,38576
15913,39655
15913,39640
11948,39690
11948,39688
15913,39646
12470,39885
12470,39886
17506,39433
9826,39944
15913,39666
12477,39678
26518,38592
15913,39671
11948,39703
19433,37038
18818,39738
3265,38545
15913,39686
11948,39708
12470,39910
15913,39672
5320,40386
24927,38771
15913,39674
12470,39918
11990,38428
5320,40392
2263,36856
11948,39726
11990,38434
12470,39936
15901,40067
15913,39695
15913,39712
15913,39713
12721,40353
8800,39038
15913,39709
15913,39710
12470,39964
26518,38657
15913,39731
11948,39757
1649,39540
12470,39958
15913,39720
24927,38818
11160,39618
5320,40435
11948,39764
15913,39747
15913,39750
8773,39894
15913,39736
31781,39355
1093,40412
12470,39986
12470,39984
15913,39741
15901,40114
2263,36917
24927,38833
2432,39871
21768,38485
11948,39788
15901,40124
18818,39810
15913,39753
15913,39754
12477,39784
15913,39756
15913,39777
15901,40150
20439,38734
15913,39781
12470,40006
11948,39817
15913,39769
12470,40020
11948,39815
15913,39770
1649,39594
11665,40397
15913,39772
15913,39773
15913,39775
1474,36831
15913,39792
15913,39793
15913,39797
1474,36837
15913,39798
24927,38883
20439,38745
7724,39705
20439,38743
1649,39610
15913,39787
31781,39399
11948,39828
1474,36850
26518,38737
7488,38836
15913,39812
1474,36854
15913,39814
15913,39800
8796,39255
15913,39803
15913,39805
2989,39054
1474,36866
13623,37084
15913,39826
1474,36869
12470,40053
20439,38774
7551,36908
15913,39818
15913,39819
15913,39820
21768,38542
8287,38664
15913,39823
5320,40538
15913,39842
8262,39457
15913,39832
15913,39833
53,39983
15901,40208
15913,39837
15901,40229
15901,40231
15901,40232
21768,38582
15913,39862
1474,36904
18818,39919
11948,39898
12470,40097
15913,39851
1474,36910
15913,39853
15913,39855
1474,36914
684,36829
15913,39874
9813,40554
1671,39007
8287,38716
12470,40111
684,36840
684,36841
15913,39888
1474,36932
15913,39893
684,36852
20439,38838
684,36858
15913,39904
684,36862
12470,40138
15913,39908
15901,40282
684,36865
1093,40572
15913,39899
20439,38860
15913,39920
684,36876
684,36879
684,36880
684,36882
15913,39912
684,36884
1123,39661
15901,40286
1474,36971
7724,39827
4882,37823
15913,39916
15901,40289
684,36889
20439,38875
15913,39937
33910,39063
11948,39965
1474,36985
15901,40302
1474,36988
22264,39682
15913,39956
9618,38482
685,36881
3265,38821
1474,37002
15901,40318
11948,39988
4354,37847
1474,37016
31781,39579
15434,38440
31781,39578
684,36933
684,36934
1474,37019
12470,40207
11948,40005
1649,39791
15913,39985
15648,40012
15901,40361
1474,37032
15913,39991
15913,39976
15434,38453
15913,39980
11948,40021
12470,40223
15913,39981
15913,39982
31781,39588
15913,40000
684,36955
685,36927
1474,37048
15913,39993
31781,39610
30285,36832
1474,37052
15913,39995
1474,37053
15913,39998
11948,40048
12470,40248
2154,40560
15913,40022
20439,38979
21768,38729
33101,39685
1474,37068
15913,40010
1474,37067
15913,40013
15913,40014
1474,37073
15913,40033
1915,39789
1474,37077
1474,37080
15913,40039
15913,40024
15913,40027
15913,40028
15913,40029
15913,40030
15913,40031
11990,38779
1649,39858
8287,38878
11948,40078
24927,39144
11948,40075
15913,40054
684,37009
684,37012
27783,40711
685,36984
15913,40045
30285,36877
15913,40047
15913,40065
12470,40297
24948,38508
15434,38523
15913,40057
15913,40058
7173,40675
684,37030
15913,40062
20439,39019
15913,40081
15913,40072
20439,39032
5122,38731
11990,38817
11948,40119
15913,40099
15913,40100
15913,40101
684,37057
31081,36833
20439,39048
15913,40088
15913,40091
11990,38834
15913,40094
11948,40145
11990,38844
20439,39071
12470,40346
18818,40171
7721,40106
15434,38584
6478,37685
24927,39199
28651,38445
1649,39934
6398,40175
31081,36867
11948,40156
15913,40122
8773,40284
15913,40126
31081,36887
31081,36886
15913,40146
11948,40176
20439,39109
15913,40151
8287,38977
15913,40136
11990,38884
31081,36878
1649,39963
15913,40139
15913,40140
1474,37197
31081,36874
31081,36873
15913,40160
18818,40220
15913,40166
31081,36896
15913,40152
31081,36894
15913,40155
26518,39078
11990,38894
31781,39794
15913,40178
31081,36916
12470,40407
15901,40552
5622,39707
31081,36913
15913,40172
5622,39716
15913,40173
31081,36905
15913,40193
15913,40197
15913,40198
31081,36928
5622,39721
15913,40184
15913,40185
8244,40369
31081,36922
27273,40280
4882,38093
15913,40191
26518,39134
15913,40212
8287,39038
12470,40439
31081,36946
15913,40213
11948,40235
31081,36943
2989,39450
15913,40205
12470,40448
15434,38673
12470,40446
15913,40225
15434,38686
12470,40457
15913,40228
15913,40230
15913,40216
12470,40468
15913,40218
15901,40592
15901,40593
10662,39165
15913,40221
18842,39558
20439,39205
1649,40052
11948,40267
15913,40233
12470,40481
18818,40294
1649,40060
15913,40238
5622,39778
15913,40256
12470,40487
11990,38984
15913,40262
24927,39353
12470,40500
31081,36989
15901,40623
15913,40251
15913,40273
11948,40303
15913,40275
20439,39236
15913,40277
26001,38843
11948,40311
12470,40513
15913,40269
15913,40271
18818,40345
11990,39018
15913,40293
24927,39374
11990,39021
15913,40287
15913,40304
31081,37047
15913,40306
15913,40307
11948,40336
31081,37041
11948,40332
15913,40298
11944,40465
2729,39415
11948,40339
11948,40340
16499,38521
15913,40320
12470,40556
11990,39049
1671,39450
15913,40325
31081,37056
31081,37055
15913,40312
1649,40137
15913,40313
31081,37054
15913,40314
11990,39056
12470,40571
15913,40338
11948,40367
15901,40710
31081,37074
11948,40366
24927,39432
31081,37071
15913,40329
15913,40330
12470,40585
11990,39081
15913,40355
12470,40583
12470,40581
11948,40393
11990,39089
15913,40348
31081,37081
15913,40368
4342,38613
15913,40370
2729,39466
2267,37404
26518,39294
12470,40599
15913,40373
7724,40281
1671,39504
12470,40606
15913,40386
15913,40387
26518,39315
15913,40376
15901,40753
15901,40754
15913,40383
11990,39118
15913,40400
15913,40403
15913,40392
36538,40018
11948,40440
4882,38301
18305,39975
15913,40416
11948,40449
15913,40417
15913,40418
15913,40420
15913,40410
31781,40023
15913,40413
13594,38577
12470,40667
26518,39364
12470,40665
15913,40435
15913,40427
15913,40431
17780,39915
5622,39974
15913,40452
2989,39683
20439,39401
11990,39183
31781,40052
11990,39182
11990,39194
12470,40696
15913,40469
11990,39190
15913,40471
15913,40456
24927,39551
15913,40462
16499,38681
15913,40463
5622,40008
11948,40507
4342,38735
15913,40473
15913,40474
15913,40475
1671,39618
15913,40477
15913,40478
4342,38738
22840,38754
15913,40497
12470,40732
24927,39590
15913,40489
3265,39368
18818,40550
31781,40103
22290,39416
15913,40493
1649,40316
15913,40495
12470,40748
11948,40543
12470,40743
11948,40539
24927,39604
26518,39435
15913,40510
18818,40568
32827,40490
26518,39459
11948,40557
11948,40570
1649,40353
15913,40545
11948,40575
15913,40546
15913,40548
7724,40444
15913,40537
15913,40538
1671,39683
13123,36924
15434,39012
24927,39658
15913,40561
18818,40619
15913,40564
15913,40565
8797,39978
2729,39668
26518,39480
15913,40577
15913,40578
5622,40108
18818,40638
11948,40605
15913,40582
26518,39497
1649,40397
15913,40595
15913,40596
11990,39320
20439,39546
13594,38768
13123,36983
15913,40611
15913,40613
15913,40615
1672,39716
15913,40624
15913,40626
1672,39721
15913,40630
5622,40159
11948,40661
20439,39601
11948,40674
4882,38532
15913,40642
15913,40643
13123,37011
7724,40542
15913,16071
33358,40502
4882,38543
3265,39526
27300,39915
15913,40650
15913,40651
4882,38554
11990,39404
13123,37044
4882,38567
15913,40678
29146,40049
20439,39634
24948,39112
15913,40668
8796,40118
15913,40688
16499,38907
15913,40690
15913,40693
15913,40685
15913,40706
20439,39662
15913,40708
15913,40709
4882,38598
31781,40316
1649,40521
12829,38006
15913,40702
16499,38938
28400,38650
15913,40726
24408,39512
4882,38622
15913,40737
4882,38626
15913,40740
20439,39701
9587,40226
8287,39578
15913,40729
4882,38639
15913,40752
35853,37026
15913,40745
15913,40749
4882,38659
20439,39733
20439,39724
21768,39486
24927,39882
11990,39514
15434,39242
4882,38677
4882,38683
1649,40600
30306,36965
30254,38574
20439,39751
4882,38707
27330,39152
11990,39545
4882,38712
3265,39684
13606,38597
39174,40644
2989,40063
13594,38986
8287,39677
20439,39809
26518,39790
4882,38757
27330,39195
4882,38767
11990,39609
1671,40008
8797,40296
20439,39835
11990,39627
6478,38463
4882,38786
6478,38469
11990,39632
4882,38803
26518,39843
26518,39839
20439,39864
31781,40521
7488,39944
6478,38500
1671,40063
24927,40043
24927,40032
4882,38845
4882,38856
5946,38644
8287,39802
10377,40547
3095,36915
3094,36952
26518,39905
25765,38673
5946,38656
6478,38545
31781,40587
26518,39900
24927,40069
4882,38879
6478,38557
4882,38887
20439,39957
26518,39914
15731,38435
28400,38916
6478,38570
7538,38475
15731,38461
1139,40246
20439,39960
11990,39746
24927,40096
5622,40554
26518,39969
20439,40001
20743,38772
26518,39962
3094,37028
6478,38632
4882,38957
4882,38958
4882,38964
30254,38876
6478,38637
6478,38644
6478,38641
4882,38969
4374,38333
4342,39326
12829,38377
6478,38645
6478,38656
15434,39550
33910,40217
24927,40180
18305,40660
25765,38775
11990,39836
19136,39500
8287,39935
20196,39407
16499,39314
24927,40194
975,37241
11990,39852
12829,38419
4882,39013
20439,40071
15731,38566
12829,38422
20439,40077
8334,38513
8334,38522
8334,38517
36593,39055
6478,38718
12829,38456
16988,40589
11990,39890
24927,40240
3566,38898
10433,39010
20439,40148
10662,40117
20439,40147
5622,40719
2729,40290
8334,38566
8287,40025
11990,39932
9587,40697
8334,38580
6478,38765
8287,40041
11990,39947
3576,38638
8334,38591
4882,39116
4882,39114
8334,38610
6478,38798
4882,39121
20439,40196
8334,38608
15731,38675
4882,39132
24927,40319
4882,39137
21768,39973
8334,38635
28402,39133
11990,39994
4882,39160
20743,38985
6478,38847
30285,38114
4882,39178
4882,39184
33422,39163
11990,40026
4882,39192
20439,40253
8334,38679
5695,38571
6478,38878
20439,40276
24927,40402
4882,39212
8334,38699
4882,39209
15731,38781
8334,38702
36828,40144
25765,39012
6478,38912
24927,40442
2729,40443
4882,39238
28400,39293
10686,39555
24927,40454
11990,40085
8334,38749
26518,40301
8334,38752
2267,38421
6478,38949
6478,38955
12829,38676
20439,40331
20764,38461
8334,38780
15731,38839
6478,38976
2267,38443
3566,39142
24927,40496
2267,38459
26518,40350
24927,40514
4882,39322
20764,38497
2267,38470
12829,38736
1474,38484
4882,39336
26827,38978
33115,40641
20439,40390
24927,40533
26518,40363
2267,38495
4882,39349
4374,38713
4882,39354
11990,40203
22840,39729
20439,40433
30479,40491
8287,40309
5946,39152
4882,39365
6478,39051
22840,39725
4882,39379
12829,38784
27359,38924
4882,39384
36593,39399
8334,38863
4882,39382
4882,39388
7008,39016
4354,39375
26518,40406
28651,39840
33422,39383
9665,38587
28651,39863
12829,38814
20439,40485
2267,38558
4882,39418
9665,38601
25762,39298
8334,38903
2267,38572
24927,40637
15434,39997
4882,39429
29444,39866
20439,40492
4374,38804
1975,39445
12829,38837
4354,39428
8334,38938
19433,38922
26518,40498
12829,38864
12829,38865
8334,38948
3566,39303
2267,38613
20439,40518
21295,38562
20439,40523
6478,39152
4647,38568
2267,38618
15731,39040
12829,38889
15731,39052
11990,40328
33910,40730
2267,38640
2013,38333
4882,39507
2002,38673
24927,40716
15731,39068
28666,39494
2268,38624
8334,38992
11990,40342
11990,40356
6478,39195
4882,39517
26518,40536
2267,38669
4882,39527
4882,39532
4882,39530
4882,39536
26518,40551
30285,38490
4882,39543
20439,40610
4882,39547
6482,39118
12829,38965
30285,38493
8334,39055
4882,39574
26518,40597
20439,40635
20439,40655
2267,38735
31081,38430
2267,38738
8334,39082
30254,39490
8334,39084
26518,40614
15434,40162
15434,40174
15731,39164
4882,39607
11990,40438
15731,39155
6478,39285
36588,39786
4882,39619
20439,40689
2267,38762
4882,39617
12829,39020
12829,39030
28400,39649
2002,38797
28664,39685
11990,40476
8334,39122
6478,39309
6493,38853
9618,40284
20439,40698
20439,40718
684,38717
15731,39216
3566,39500
4882,39664
11990,40505
20439,40738
6478,39345
18069,40482
4882,39679
29280,36994
6482,39230
6493,38888
28400,39719
4882,39691
4882,39689
4392,38495
20439,40742
12829,39095
6478,39376
2267,38843
12829,39102
5167,39059
959,38441
959,38443
1474,38867
4882,39714
8334,39198
30285,38658
2267,38866
4882,39735
25536,38442
21295,38832
959,38470
18129,38678
31081,38596
8334,39231
28400,39779
28400,39780
12829,39161
25536,38448
8334,39257
6478,39451
8334,39266
31081,38629
4882,39782
8334,39264
25536,38483
31081,38647
2267,38941
24742,38548
959,38530
6493,39010
25536,38499
28651,40241
18372,39399
4882,39806
20764,38998
11990,40649
19433,39289
1474,38970
12829,39220
4882,39822
8334,39314
959,38558
20743,39668
3566,39670
6478,39516
7009,39444
12829,39245
31081,38684
6478,39531
28400,39901
6482,39412
4882,39860
8334,39347
2267,39007
4354,39848
28400,39895
36588,40036
4882,39867
1474,39026
4882,39876
28400,39911
959,38612
1474,39037
11990,40727
684,38961
2070,36962
21295,38997
6478,39578
32607,40604
959,38640
11990,40751
8334,39399
28651,40375
32930,38806
30254,39829
8334,39417
4882,39931
2267,39074
31081,38766
9154,38575
13370,38947
21366,36828
959,38669
8334,39426
13123,38425
15731,39502
33422,39923
15731,39491
1493,38511
12829,39348
4882,39950
31081,38807
4882,39953
4882,39959
4660,38649
10743,38489
2002,39127
6478,39638
15731,39510
4882,39967
6482,39523
4660,38666
4882,39977
21366,36899
684,39057
21295,39090
30285,38952
12829,39406
24742,38752
21367,36875
969,38441
6501,38981
21367,36900
8334,39502
6293,37241
13123,38510
8334,39510
13123,38519
8334,39524
6254,38467
4882,40044
2267,39188
3566,39887
6478,39727
6478,39732
32930,38935
959,38788
4882,40059
4883,40037
684,39135
20764,39258
13123,38559
15434,40645
4882,40074
8334,39558
21366,36991
1975,40092
2267,39239
8334,39576
4882,40104
30285,39047
13123,38578
33422,40087
10433,40056
4882,40112
3566,39952
6478,39791
23936,39272
25536,38829
21367,36990
2013,38945
31081,38963
32679,38597
4882,40130
2267,39279
21367,37010
4882,40133
16030,38607
12602,38387
4882,40141
4882,40142
25536,38862
23695,38587
4882,40153
1474,39310
21295,39275
6478,39847
23940,39187
8334,39656
23695,38594
698,38809
6478,39856
28982,38564
20743,40015
2267,39326
8334,39663
4882,40187
12335,38524
30285,39123
684,39254
8334,39676
5695,39569
32930,39045
9218,36851
36311,40736
2267,39352
12829,39613
21367,37083
4882,40222
5946,40009
8334,39722
4882,40237
4882,40247
1975,40254
4882,40252
2269,39335
4882,40250
6478,39935
20743,40095
2002,39427
4882,40266
15731,39816
2267,39416
8334,39761
959,39007
28136,40308
6478,39951
2267,39423
8334,39759
4882,40283
6482,39844
13123,38776
12829,39698
20764,39478
4354,40278
4882,40300
411,39638
12335,38633
8334,39794
15731,39868
8334,39801
4882,40321
4882,40327
12829,39739
36123,38539
16030,38824
4882,40341
24742,39082
7009,39945
21295,39439
8334,39838
4882,40360
411,39696
36864,40131
12829,39771
959,39096
3566,40204
3566,40201
1492,38962
25536,39058
6478,40041
4882,40371
1474,39521
8334,39854
3094,38460
10807,36920
3094,38464
21295,39470
25536,39077
4882,40384
13123,38858
6478,40068
1474,39544
30285,39333
12022,40242
15731,39963
6254,38835
27902,39489
8910,38423
19143,40703
8334,39906
15223,39339
10807,36972
20205,40553
10807,36968
25536,39119
4882,40436
25536,39148
3856,39477
20764,39612
10807,37003
8334,39938
4882,40453
4883,40422
959,39188
10807,37000
28400,40483
6254,38886
10807,37013
1474,39611
10807,37007
13123,38939
28400,40506
2569,38447
12829,39869
10807,37027
14955,39508
8334,39970
3317,39845
1474,39637
10807,37039
1757,39064
4882,40499
684,39567
23695,38940
959,39239
4882,40508
4882,40509
129,40399
8334,40002
10807,37062
1493,39083
32930,39375
4882,40525
4374,39896
4882,40529
10807,37078
4882,40540
21295,39630
959,39283
31081,39387
8334,40040
20205,40692
4882,40569
6482,40127
4882,40574
23695,38994
2569,38553
23695,39014
187,38680
20205,40704
27666,38813
34011,38732
187,38688
23695,39023
4882,40601
4882,40608
11533,39223
31081,39434
12829,40016
6478,40292
3094,38701
959,39352
20743,40443
21295,39734
20743,40467
8334,40121
10807,28997
12335,38971
4882,40639
13123,39115
6254,39073
21295,39744
12829,40066
25536,39372
31081,39509
2569,38636
23695,39087
4882,40672
17426,36843
4882,40679
17426,36846
17426,36848
17426,36835
4882,40682
35298,39892
17426,36860
13123,39175
17426,36861
684,39762
8053,40707
17426,36853
17426,36855
4882,40705
12829,40116
17426,36872
31081,39575
17426,36893
30254,40627
684,39796
17426,36883
23959,39158
31081,39561
9234,36891
9234,36892
17426,36888
31081,39560
17426,36906
9234,36902
26362,38421
17426,36907
24742,39491
8334,40227
9234,36897
4882,40744
23695,39179
17426,36911
6478,40432
2002,39922
18377,40210
17426,36925
25536,39465
187,38852
2267,39913
17426,36937
12829,40179
17426,36939
25536,39485
9234,36931
8334,40263
27667,38949
2267,39928
25536,39495
17426,36958
12829,40189
9687,39298
17426,36948
26362,38459
17426,36970
12829,40211
8334,40291
16030,39288
25536,39518
17426,36973
9234,36961
13123,39284
17426,36975
8334,40288
31916,38360
9234,36979
17426,36977
15195,40616
17426,36980
17426,36981
29266,38580
8334,40310
9234,36986
8098,39446
8334,40323
19769,38099
17426,37005
13370,39849
13123,39329
17426,36995
20764,40017
17426,36997
23436,39103
2569,38822
24742,39576
188,38908
959,39585
18391,39875
20764,40042
9234,37024
9234,37029
2267,40011
15731,40430
17426,37040
13123,39356
17426,37031
8334,40372
17426,37046
1474,40050
15731,40461
3566,40739
8334,40382
17426,37070
6478,40579
13123,39378
13123,39390
8334,40395
17426,37059
2267,40055
959,39643
959,39645
9234,37079
17426,37076
2267,40073
12829,40335
20764,40107
8334,40428
21588,39146
7009,40549
12829,40362
969,39376
15731,40504
2267,40106
8334,40445
13123,39442
12829,40379
30285,39902
8334,40455
16109,36994
12335,39316
21295,40090
25536,39686
8098,39606
1474,40149
3094,39086
3576,40532
959,39745
31916,38546
3094,39101
28532,36950
1474,40182
32681,39410
30285,39968
8334,40517
30285,39966
8926,38557
959,39785
21588,39251
