member_of_domain_topic_1,member_of_domain_topic_2
13056,4506
6066,19
6066,20
17308,3782
17308,3783
31508,14140
17798,13157
2476,29395
20426,38188
6817,34089
11982,37816
6066,32797
17308,11987
11077,16724
35106,25482
35270,28590
6066,24618
17308,36560
4228,16068
8501,31060
6066,16438
4694,18010
2833,34745
20426,38224
2349,25176
12095,1574
4013,30942
3294,20463
20426,38247
625,37669
17308,12024
17308,3819
7977,39140
17308,3820
17308,20207
11982,21480
25798,2775
11982,37875
1721,3706
17308,12037
1845,24438
11077,8581
20816,34363
6066,8277
17308,28412
2349,628
17308,36608
17308,28417
9656,28078
11406,39362
12818,36550
13056,29168
20816,26188
29068,24317
6066,16496
3909,17831
26547,28769
2689,6504
9634,20592
17220,22986
2349,33436
20140,30793
7222,29838
11982,5163
3638,1681
30988,13979
17308,20292
3212,14891
25473,37512
6817,34213
1845,40895
17308,20307
19536,391
13459,33122
17308,3916
17270,29670
9634,12448
14246,33311
17308,20323
17308,3939
4013,14670
1845,40917
17308,3940
11982,37969
9634,12449
29409,13852
17308,12152
25798,35680
17308,3948
7222,29902
11406,39463
14246,33343
17711,40612
35760,29987
27062,29279
20488,3701
17308,28543
24243,10166
9634,4300
11449,21772
40867,10914
35760,13585
20426,38408
6709,29449
5926,29145
28699,3119
38196,28190
17308,20370
3909,26145
1574,16611
8506,6528
19658,29461
625,37848
2795,19730
6066,8441
1845,8225
15388,30758
20816,18134
25798,11142
9634,20715
5926,29176
18066,21485
752,25734
13459,464
13459,465
6817,17948
25798,19352
3638,10010
35406,8260
9634,4367
6066,24857
38196,20080
6066,8488
6066,8487
6709,37706
11077,16980
11920,15431
20816,9987
16313,18530
4228,40906
23585,22467
1462,11965
11982,5337
6709,37738
25798,11230
3780,22049
625,37935
16538,27970
3780,22051
12818,36786
3638,34653
6066,8537
9634,37194
9634,37206
6709,4999
29944,13809
29246,2677
11127,23686
4013,31233
19691,12155
36341,3904
6066,24941
2028,10866
16313,18584
16313,18585
2349,923
6066,8573
3638,1928
3638,1927
25798,19486
35760,21942
36483,15917
17308,12334
21682,7816
15388,22721
11405,39704
4733,8971
6066,8612
11261,35985
16538,36242
9634,4511
11406,39699
30324,18498
6709,29652
9634,37283
4733,25377
9656,12032
3638,34759
438,19269
3638,10188
9634,20933
18872,21281
30378,33233
1845,33018
6066,33244
34523,3059
11982,30069
6066,8676
38196,36634
10960,37186
17308,28840
12095,18401
9634,12771
17308,12447
6066,16895
3970,40910
18762,24738
26476,31364
6066,520
19658,29722
3780,14045
6066,521
13654,35633
17308,20654
3780,14044
35186,39909
11127,23864
3780,30445
3780,30444
9634,4624
13459,33500
4733,17291
6066,33310
4775,40562
39072,34139
2689,23321
2349,9289
17308,4304
2349,9290
4013,15059
11261,36127
19658,29783
5654,5167
20816,2079
17285,21431
17308,28912
3638,10324
16538,11841
19658,21617
6066,25169
28522,8974
29246,27489
6066,8800
33074,7122
6066,8801
9656,20392
3638,18544
25798,27899
11406,39882
25798,19708
13061,13150
35406,16763
20426,30611
6066,33394
36341,4198
3780,30537
2349,9365
9794,32525
29688,38421
2349,1180
5654,37989
2689,31602
6709,38059
20816,2157
9656,36809
6066,33424
6709,38067
8372,35660
8506,6932
17308,4419
3638,18583
4228,33062
19658,21683
25911,16255
11406,39918
30988,6321
25798,36137
17308,4418
9634,37525
21295,3718
17308,29014
6066,8871
20816,2189
11406,39946
34370,24364
34523,36042
6066,33464
23562,23588
9794,16221
3035,20946
26773,30539
5743,27111
31177,8697
40892,2477
6066,721
11127,15869
15967,37864
2336,34434
6066,722
4694,10492
17308,20860
13654,19460
37070,14471
6066,25305
8506,23400
6066,735
3294,21130
25798,28005
36341,37075
17308,12674
6066,8925
2195,22437
17308,20888
16271,36638
25798,3474
28522,946
7977,7055
2689,31716
36341,20714
25798,19851
9634,4844
9634,29430
6709,38185
9634,37619
30378,17151
1721,28976
9794,40864
24243,18920
19691,28981
1117,23139
34370,40865
11414,23442
6066,33577
9794,40889
6066,17204
19920,30104
6066,25394
1721,29018
35144,543
25798,3529
5266,9241
17308,29154
29688,38613
14237,9683
25798,19932
18734,25922
25798,28119
6066,33614
6418,14516
9656,28824
2106,17117
2195,30748
5654,21828
17308,12800
6066,17247
3638,10596
17308,12822
7977,39928
16313,2697
1462,28910
9634,37725
2933,16078
28522,33819
20816,10566
4228,25091
20816,35166
20816,2395
12818,20959
25798,36363
17308,21021
17308,29214
6066,9088
4013,15386
13459,33864
6066,25475
19372,22601
20816,26981
9634,21370
13459,33869
14246,34045
17308,4678
17308,4679
16313,35524
11261,20092
32299,39687
17308,21080
17308,4698
6066,33707
33167,20954
7977,7236
13459,25719
625,5782
6709,30168
29721,4925
36341,12722
13061,13498
29688,38735
17285,38210
28699,12053
19658,5593
29409,14638
29875,16577
20816,35256
9794,24695
18490,17257
9634,37856
9634,29663
6066,33769
3638,10742
752,34677
35256,5454
13654,3359
6066,25600
18872,13644
18872,13643
708,27873
35406,835
2689,15623
17308,21183
20140,31698
16313,19263
11261,36623
2349,9796
6066,17449
21271,21226
39446,31233
28522,17653
1458,29236
2933,40862
35256,30095
11077,9587
6418,6554
11261,12068
17308,29410
11982,30691
17270,14222
1845,33638
17308,29431
19691,4712
19536,25888
36341,37404
25798,11996
2933,40883
4013,15593
2933,40887
6066,1108
20005,19566
39072,10136
20426,14704
17308,21250
7222,22632
11127,8075
17308,13078
35760,6292
6817,26998
35760,6291
16313,11146
16313,11145
24243,35655
17308,21260
11077,26019
6066,17522
17308,4901
20816,10843
24005,34852
17308,29471
17308,29472
9634,37996
39072,26527
3638,10890
2689,32117
3638,10889
16313,27574
11077,34249
17308,21317
4013,23858
13056,13857
4013,23857
29688,38941
21295,28783
6817,35240
6066,17568
9634,21641
33572,16866
13961,26783
21966,16203
1721,29391
9634,29853
7977,23879
25798,20301
6066,25792
5333,32135
36341,4757
6066,33986
2349,26334
13056,5711
17308,21359
18872,5667
13331,29983
4228,17265
6066,34014
6066,9443
6066,17645
9634,13541
6066,17650
16603,18683
13459,26044
28699,20541
34523,20248
17308,21428
40867,28355
6066,9483
16313,19520
14659,13448
4733,1660
4733,1661
17270,22625
2349,10035
16313,3129
14246,34437
2349,18226
33941,5551
11982,6331
20426,14916
34523,28447
12175,16734
22980,34038
6066,34090
13332,13643
13332,13644
17308,13286
20426,31318
6066,1339
6066,1340
13654,20061
10960,13466
7222,6465
21329,27914
438,36549
2795,20831
23834,23991
9634,21811
3850,37277
28522,17918
20816,11039
6817,27225
20816,11040
1721,13170
25473,14128
20816,35622
18734,34648
10076,40897
20816,35646
3845,37451
16538,20807
9634,13645
6066,9571
6066,25955
6066,9570
6066,25953
9634,38226
23562,24264
5926,22119
17308,13348
2596,27062
5654,5994
3638,2958
9634,13693
2349,26537
2596,18879
9634,38268
3212,32552
7090,27027
6066,1426
752,2324
6709,30649
17308,29779
11414,7689
3638,2988
17308,21579
11261,20631
29875,33441
6066,26047
29068,33867
6066,34243
6066,34247
17308,5241
4733,34615
16603,27083
36341,5023
20140,7571
11077,26372
5333,16027
17308,21627
6066,34272
20140,7570
17308,5267
29688,39279
17308,21648
16313,3346
11127,33051
2349,34828
17308,5284
13459,1716
28699,20805
13459,1715
17308,38045
3083,28469
13654,28450
9634,13801
6672,23708
438,28548
13459,18116
13332,5667
2349,26658
16603,35338
35186,40890
1574,9725
16538,20970
6066,34317
19117,22965
6066,26130
19658,22580
6672,15535
9656,21338
7222,6688
24243,27892
29688,39326
14246,1937
1845,1353
6418,15243
20816,3073
2349,18505
17308,29903
3638,27700
1721,21590
11127,8539
6066,34356
11127,8540
3909,19304
5266,10009
5266,10010
3638,19527
16313,3437
24243,19754
11406,40863
35256,14211
4733,34744
9794,8933
17270,22942
36341,29767
17308,13574
25911,25403
25798,12522
20816,11318
6066,34408
6817,35705
18490,34283
2349,2194
28522,18227
25178,23588
11406,40919
6066,9855
29688,39416
4228,1301
2349,10408
586,24107
3638,27803
1845,9664
17308,21826
4013,32575
2028,12187
20816,3212
5266,1927
2349,10433
20196,14239
20816,3213
6066,18089
17308,5458
2349,26829
4733,26654
2349,26828
16313,3550
16313,3556
40867,4254
6066,34499
11405,8256
24005,27261
17308,21879
13274,32235
12095,27837
17308,30065
11077,26635
11127,33284
6066,26329
6066,9952
16313,19984
27297,15356
17308,5517
30988,32025
11261,20958
2699,16051
11077,2099
20816,11472
6418,7264
2349,10520
11414,24413
11414,32605
6418,7263
23699,36810
6066,9992
39072,27171
9634,22271
9794,25510
4013,40879
20140,16086
3780,23524
24243,3573
17308,21950
16538,13052
18090,38671
17308,21954
33167,13675
6066,34607
16538,37647
20816,3334
20816,3333
36341,21798
1845,18011
16538,4889
17308,13790
25970,7410
25007,20879
23900,14240
17308,38390
20816,19746
20816,19747
7424,25307
6066,34641
20816,19765
35144,1576
16538,29517
7424,33539
16603,19330
18872,22721
9656,21700
6066,1919
18344,30912
24005,35646
15967,22675
2349,10654
4228,9752
32592,31613
36789,16207
18066,14963
17308,22101
26476,16420
25798,29247
6066,34732
20816,19842
8506,32817
9634,22426
28522,18524
17308,13917
13056,22860
11127,25313
6709,23009
24243,11949
20816,11687
6066,10177
20816,36267
13459,10380
24243,11944
20140,40853
17308,13957
17270,6943
6672,40559
17308,13958
16313,36614
17529,7110
17308,13961
35144,1728
6066,26586
22980,18340
6066,34789
17308,22155
7222,7167
12095,3565
752,11131
4694,20001
39072,19231
7977,16542
17308,14007
20140,24522
13654,28977
36341,30179
11127,9008
28522,2262
11982,15281
6709,6708
6066,34833
3780,7400
17308,14011
6066,18460
18490,34715
11414,24703
18490,18360
9794,33984
6066,10292
9794,25798
36341,38443
9794,17603
18490,18361
17308,14047
26476,32939
6066,34879
38196,30074
3638,20052
3212,25068
36341,5701
625,31537
23698,4411
36341,38470
2349,19059
17308,5898
752,3035
13459,35101
4733,27080
20816,36425
28134,14371
5266,10565
6066,34918
4733,18897
33780,19550
3780,15676
17308,30499
6066,34936
25798,37648
6066,18556
29688,39933
13459,18752
17308,30495
17308,22304
13056,23047
4013,33049
7222,31880
20140,24648
6709,23211
20140,24649
36341,38495
2210,23422
13654,29103
26547,22627
38196,5567
30988,24220
20140,16468
25798,4913
6066,26769
6066,34961
17308,30534
1462,5656
13332,22721
2933,25599
4013,33083
13459,18792
3638,28327
625,15235
619,31808
10960,30731
16313,28619
9634,30875
20816,36505
36341,22180
17798,23567
8420,35753
36341,38572
17308,22367
2689,25004
9634,6325
19536,2478
36328,30765
36341,38558
11127,33777
752,3153
17308,30592
23699,4525
6066,10467
2028,4576
35406,2036
6066,26857
6066,35056
9634,6383
7977,401
36341,38640
29688,40055
25798,21410
9656,22093
11261,13299
6066,18693
5266,35307
39072,35880
28522,2495
6709,23344
5926,6664
25178,24264
11077,10823
36341,38669
6672,40888
40498,40878
1845,26695
34523,21277
30378,26916
35144,10263
6817,11846
36341,5932
21835,13233
10165,30942
9656,13959
2795,21854
11261,37935
17308,6138
17308,22511
17308,22512
4733,10942
18490,10465
4733,10943
19170,22155
27026,7993
24343,17443
12095,12102
8420,35928
1845,10377
17045,30705
9656,30377
6066,35180
13459,35375
17308,14351
16313,28813
752,36076
31177,18585
31177,18584
9634,6502
4243,34360
2596,36263
25798,5125
6066,2429
307,25314
6066,27011
11237,14171
36341,14168
13654,12965
6066,18828
13459,10830
6709,7090
30378,27001
17308,30787
708,21091
6066,27027
5735,12710
17308,30794
8506,25125
6709,23484
6066,27039
2933,9472
16313,28883
24343,33898
17308,14415
3638,36788
6066,18862
31302,14803
17308,22629
17308,22630
6709,15316
13056,6976
11261,21673
35406,2277
39446,40879
28522,27269
6066,27075
18090,39361
625,31906
17308,14454
2689,693
33167,38898
29688,40274
2689,692
2106,26962
3638,20432
17308,30832
12470,8796
13459,27284
16313,12539
6066,10716
6066,10715
5213,37157
15399,40882
25798,29825
30378,10723
17308,6296
36341,38843
13459,35500
1845,10515
6066,27125
14246,27506
35760,15950
2689,8944
12095,4082
36988,27003
17308,30904
16313,28968
35144,10449
17308,30893
625,7407
6066,10765
6066,27157
11077,11078
11127,17732
16313,12608
4733,19343
26476,25253
33780,28188
17308,30929
33780,28194
6066,18995
17308,22756
29409,32650
10960,22930
10960,22929
9634,14893
19752,28904
6066,2617
6066,27200
6066,10813
18407,37856
9634,6708
6066,27215
3036,14654
18700,20587
39072,19866
12095,12361
11077,19342
13459,19240
20426,40835
20426,40836
7977,8953
30378,35430
36341,38971
17308,22795
1117,33205
17308,22796
3638,28787
35760,16027
6066,27245
9634,6757
6066,27252
14246,19436
9634,6758
36341,6250
16603,3717
1513,29143
4013,33566
25798,21795
17308,14645
18678,37711
17308,31032
36341,39007
16313,29100
17308,6468
2933,34296
33167,39142
4694,4292
26476,33571
6066,10924
25798,30009
16313,12753
20190,23655
7353,11992
33572,26616
2349,11472
6817,36815
17308,31071
6066,35519
20816,4246
6066,35518
25798,38241
21835,30019
17308,14699
2833,21066
2106,35420
13061,31686
9656,30743
35256,15405
11077,19473
17529,16056
17308,6526
24882,1109
6066,19170
6066,27361
36341,30912
6066,27373
35270,23192
12095,4325
3845,14314
21835,30073
11414,17250
11261,21995
17308,6557
2596,36658
28522,2987
9634,15094
11127,9770
17308,31160
6066,11020
625,32233
25970,24770
26773,24455
29246,29709
18407,29853
9634,31491
11414,33666
9634,31503
13459,35804
22233,25963
1721,14675
17308,31182
24724,6108
1845,19034
18490,35520
4733,3240
36341,39188
34523,13635
12335,29737
11261,30273
2106,27354
36341,39239
586,17133
4243,2084
9634,6994
3780,16442
24317,18766
16313,4755
6066,27503
28774,11671
2349,3477
25798,13831
17308,6689
4013,33817
29875,26736
9634,31606
9794,18456
31177,35524
39072,36517
13459,27714
6066,2949
16313,21175
6672,8749
13459,3147
20140,33621
17308,6729
17308,6730
2349,28087
6418,16634
2349,28086
17308,14932
17308,14933
9656,14569
36341,31103
1574,27555
31500,9170
20856,36025
25798,30279
3780,147
1117,25360
2349,3552
3638,37322
4013,25697
13061,40131
10375,8709
8506,33879
11077,36099
5266,36016
708,13477
17308,23174
17308,23175
6418,309
36039,40542
9634,15310
28522,11430
1721,14856
6066,19431
36341,39352
11261,22233
34523,21987
6418,8523
3638,12781
23562,25937
4013,25741
11127,26391
20426,16661
6066,19447
2349,19987
1845,19231
307,9564
11982,40858
29246,13595
9634,7158
9656,14668
21835,22147
17308,6841
20140,17353
17308,6842
17308,39602
15388,25404
16313,13127
12905,20468
17308,6845
17308,23232
23562,1412
23562,1411
23697,38191
23562,17797
36341,39423
9634,23583
13459,27892
1722,31293
25798,5840
6709,24158
15388,9059
18700,4710
15653,25431
20816,12843
20816,4642
8506,1239
20816,29216
20196,32052
20190,7668
4733,28089
9634,31803
2933,26548
17308,31498
17045,6869
36341,39500
14246,11732
29246,21855
17308,31490
17308,6936
17308,23322
4733,19926
29246,30067
12095,12890
13654,13716
20856,11624
9634,23643
6066,3182
17308,39715
6066,19569
6066,19574
6066,11392
17308,31539
6066,27783
6066,27782
4243,10576
6817,20892
12335,21873
17308,15176
6066,11415
17308,15163
19658,24233
9794,35120
6066,27806
17271,40893
26476,1320
29944,307
625,24451
28522,19810
28020,10796
25911,35211
13056,7737
17308,15183
19658,16061
3638,37556
4243,26996
17308,7014
17308,7015
29944,24897
17308,7017
1852,11010
6066,11446
17308,7018
6709,24305
36341,15049
6066,27864
4013,9590
6164,24829
6066,27870
6066,19677
6709,32517
25824,5214
28522,36262
4733,20050
4733,20049
17308,15246
298,10085
6418,25165
9656,31281
3909,37415
625,40914
12335,21969
9634,15586
4243,10685
35760,16711
6066,36096
24317,27362
17798,96
11414,9576
13459,19915
20816,29433
10945,24133
16538,14595
11127,18507
25798,30654
13459,11747
6418,8843
24243,21506
26261,40868
11687,1162
19658,24405
11982,16601
20816,37653
11127,26721
6066,19774
18066,24618
625,24610
13459,36357
23699,30224
625,24615
6066,27979
625,24619
36341,31522
8506,9684
16313,13438
4694,4981
18090,40275
22980,36146
17308,31754
9634,15689
9656,23202
20426,33413
4228,27640
17308,23563
20816,37698
4733,3803
6066,11629
4733,28377
25798,30738
11127,18588
33941,15884
6709,40860
9634,32106
11077,11948
11127,2206
17308,7202
20488,15137
11449,33198
9634,32114
25970,25418
20816,29535
6066,11657
438,5906
4694,5042
36341,7055
2349,28599
6066,28061
11261,30864
4013,26176
9656,15082
26476,26145
6066,36265
23562,18193
6066,11709
20816,13224
34370,27207
11077,20226
2349,4085
20140,17809
18490,19826
18490,19827
33780,12762
12818,23631
17308,23693
17308,23694
4013,18058
17308,23695
17308,23716
17308,23717
36341,39913
6066,11768
29721,23935
11261,6372
20426,25360
16603,20992
6418,862
6066,36353
9634,32253
5926,7939
22368,38899
2028,5903
13459,12000
20426,25388
17308,7358
17308,7359
752,37276
13459,3816
13459,3812
13459,3811
16313,30025
6709,76
17308,15587
625,16656
11127,2394
17308,23780
2106,3516
17308,23781
2106,3517
4694,13401
11127,2393
25798,14537
16313,30045
11077,20342
6709,8303
5654,24623
11414,34484
12095,37954
752,20946
6066,20055
36341,40011
34523,22642
2349,20599
14246,20443
2933,27078
2195,33575
11982,8703
2336,12824
9672,6595
14237,12537
24005,4628
6066,11888
20816,5188
12335,14163
6066,3703
17270,451
6066,28284
6709,24734
11982,25116
1845,36255
6066,11898
9656,7106
17308,32058
3638,5266
20816,21603
6066,11924
2349,28844
6066,11923
17308,32071
6672,17718
2933,18939
24005,37446
17308,23872
6066,11935
17308,7489
17308,15681
20816,38025
31177,3556
40892,21858
3638,5291
35256,32737
34370,27439
38196,7174
19117,25175
12175,10990
25798,14665
12818,23840
11077,36851
33167,40204
17308,23906
16313,38388
16313,38389
19536,4002
25798,31067
17798,25111
2106,3676
25798,14701
6418,33846
2833,13911
5213,13860
24005,37513
9656,7208
20426,33785
2210,477
9794,11141
21835,22901
20140,26294
20140,26295
17308,23976
18344,32808
6066,36607
25798,31140
39072,37413
40892,38335
11077,12350
17308,32195
35760,33632
2349,37169
2795,15151
2933,2680
24243,30208
21835,6539
3780,9202
6418,33921
11261,31244
5266,20493
34787,31058
17083,31011
34787,31059
3638,5433
13061,24612
13061,24613
6066,36668
11077,36976
21590,14183
2476,8712
17308,15856
3212,26855
17798,33457
2833,38615
9656,31908
25798,31208
16313,5772
17308,24086
9656,31912
17308,15898
6709,8584
11237,23862
24243,13894
11982,786
2689,34912
11982,785
3638,30070
6709,33177
38196,31947
3850,15314
9656,15558
6672,17952
2195,1094
2349,37283
15388,26296
4733,4346
4733,4347
30378,36732
6066,3984
6672,34347
6066,28564
3638,13724
17308,15932
11261,23176
38196,23788
29246,22687
11077,12505
11077,12504
25178,25937
3780,9341
18407,6460
25798,14904
38196,15621
18344,16626
6066,36785
13459,4211
9634,32685
13061,177
6066,4029
31177,36614
6066,36806
25178,1412
25178,17797
25178,1411
17308,32403
35760,1041
6709,16901
6066,4079
2349,4616
5266,20690
16313,30500
17046,40547
4243,3264
5926,24820
17045,7821
6066,12299
32299,18266
1845,28472
6418,9590
752,13205
9634,8205
3909,13645
11237,7666
14246,12687
28522,4299
23791,28102
6066,28705
625,17155
6817,30004
11077,29025
19658,16958
6672,9931
9656,32113
16313,14170
16313,14169
16603,21577
13654,6497
13654,6498
36341,40494
16313,30558
25798,23266
21835,31430
9656,32148
16603,21578
3212,27107
20140,18432
20140,18431
6709,629
2933,11190
20426,34168
10960,24508
9634,32845
9634,32847
9634,16470
6672,34561
11913,19545
29944,34029
6672,34573
6066,20590
27062,25063
16603,38018
35256,456
17308,16165
32592,9308
2933,3035
17308,32553
17308,16156
29944,9470
13911,31372
2933,35812
9656,24021
2933,27632
625,33656
20816,30321
24005,5188
17308,16190
31177,28619
38196,32214
298,11036
19372,25960
24005,21603
24005,21602
27062,33328
20816,13964
18066,33666
25798,23356
23562,2559
11261,15255
28774,29398
9634,8358
2833,30768
17308,16219
28522,4464
6066,20670
6709,25312
11406,35362
833,10866
13961,13501
24005,21633
24005,21632
16603,38105
24724,23907
3035,32727
20816,30374
2349,37614
20196,8658
2349,37619
34448,1032
36341,32460
17308,40851
17308,40852
17308,40855
17308,40856
6066,37094
9634,24806
17308,40869
9634,24807
17308,40871
9539,19556
19691,32536
20816,5840
3294,176
27819,34530
6709,17198
17308,40877
12818,16238
13459,12751
6164,34097
6066,37133
19569,36326
17308,40900
17308,40901
17308,40902
17308,40905
17308,40891
17308,24509
17308,40896
17308,40898
3638,14115
17308,40915
17308,40918
1462,16041
25798,23488
17045,40868
3036,16406
17308,24527
11261,31765
17308,40911
2349,21320
2476,33773
37937,24036
17046,40868
25798,31689
2795,32082
14237,13252
17308,24545
9634,16693
24243,22572
11077,12917
2336,38135
20426,18012
15399,26401
6672,2030
36341,32544
21835,7103
2825,14793
6672,2031
9634,24898
6066,4437
6066,20822
30401,3718
30378,12621
17308,16408
3850,23998
6066,37236
6709,25494
4228,12297
11406,27341
1845,20637
17308,8221
4228,20492
7752,1366
16313,22687
6709,25509
17308,16428
3780,1632
25798,23574
9634,392
4733,4866
14246,29454
33074,27439
5743,22725
20816,14219
9656,32499
36341,40870
9634,25000
6066,20919
36341,40875
22758,19569
36341,40876
6066,12736
17308,96
30988,34764
13459,21115
6066,4547
3638,6086
17285,828
2195,34434
20816,6058
9634,16819
8420,21696
2833,22859
6709,1009
3083,23307
25798,7281
12818,8243
6066,12759
25798,7280
307,2878
752,21854
36341,40885
25798,7298
36341,40886
6066,12776
6066,12777
2210,17630
2349,21513
4013,10888
36441,29607
4733,21337
26476,27256
4694,30748
11261,23775
25798,15503
25798,15504
13459,29363
17308,16539
34787,31771
25798,15500
586,10644
18872,25404
586,10645
5654,33761
20426,10018
20816,22497
9634,509
13911,39955
752,13707
5654,25592
9656,8028
2783,40862
9794,36519
18872,9059
3212,19377
3780,34550
18700,22598
6066,21034
25798,15548
29246,15149
1845,20826
1721,8287
16313,14680
13459,13054
11261,32042
6418,26527
6709,1121
29246,7003
29068,20708
29246,15188
3850,7844
13459,21262
13459,21263
17308,24815
17308,16625
2689,2879
6066,29268
24343,3359
17308,8454
17308,8455
438,15331
10960,25037
33167,8381
9656,32700
3780,34630
2349,38028
17308,24859
17308,284
26750,27073
11405,35835
3850,7894
17529,18014
14246,13294
9794,20245
12817,262
4694,30888
6066,29326
18066,9576
5654,1143
6066,29330
17308,33094
9634,25218
1574,37513
11414,19202
13459,13151
13911,23713
625,34174
625,34175
20,3780
6418,34817
26638,14214
23562,35840
20190,33898
17308,16738
3638,14534
7222,34505
6709,1263
2349,13546
14237,5473
25970,2202
4990,29991
17285,33861
20,36607
17308,16768
13061,986
6709,17670
5266,21444
13061,987
307,35911
11127,11795
6066,21226
11127,11796
15271,6209
15271,6208
25798,7561
14246,5236
20816,22736
2349,21785
17308,24993
2349,29981
9634,33522
3268,34264
5266,29675
14246,5251
1458,269
2833,31372
11127,11825
2349,38187
20816,6373
15752,7725
16313,14907
6066,21271
625,34294
13459,29662
13332,25404
24243,23053
36341,24824
9634,33556
9634,787
29246,7223
9794,28595
9634,17172
1574,37661
3638,14637
6817,14393
1574,21282
37937,40894
6066,21293
17308,8675
30401,28783
17308,25066
6066,13116
14348,34906
5266,29723
7977,19410
16603,14145
17308,501
17308,502
18734,5451
2028,15426
12175,28542
13332,9059
4733,5297
18734,5452
16313,14966
5333,19468
32592,18209
2084,30079
2689,35902
39072,38546
9656,16536
9634,17218
7752,26409
9634,17219
11982,26364
13459,13343
11414,11198
20140,11025
6066,13155
6066,29538
29875,4171
17308,25105
20,3985
14246,21739
20816,6493
29688,26362
17308,16929
17308,557
6066,21392
25798,7726
2596,6087
625,18040
20,4030
9656,32992
3638,22956
12818,16897
20426,2234
2210,9886
6066,21423
17308,33382
17308,33383
35760,18435
17308,33373
39072,38654
9656,24831
6066,21438
9656,16653
4733,21804
4733,21805
14237,22095
625,18086
2349,5605
9634,953
20,4080
17308,17010
9656,285
9656,286
1845,29435
6817,30957
16313,31505
30378,21478
16538,24533
9634,17363
15752,32526
17308,17059
17308,17060
6066,5109
17308,671
17308,672
7977,35986
29409,10561
22980,21468
22980,21467
36341,477
17285,1401
29246,7466
6066,5139
2833,39827
29944,2207
23585,19105
10960,33661
17308,704
4311,2213
752,22428
25798,16065
29246,23867
30378,5157
30378,5156
21835,16041
6817,6454
6066,13350
10960,25483
17308,8908
6066,29739
17308,8909
29068,37563
10960,25482
20190,9683
25798,24270
17308,25309
36341,16917
6066,5185
25798,24286
25798,24282
9656,400
11261,7996
13459,13586
3294,33794
25798,24304
17308,25354
4733,21959
9634,33865
11261,16198
11920,28548
17798,1986
2689,19799
17308,8986
6817,31099
