verb_group_1,verb_group_2
33453,3547
10688,29316
15352,3517
37273,5962
340,1946
30641,12887
16254,10379
30679,36283
14100,23904
4869,822
9503,12819
33935,21361
35948,22450
26283,18980
5542,20921
37880,36289
19496,14327
10700,20775
9187,6241
22251,35425
31346,23811
1248,27067
22594,14549
37894,21522
32928,19853
23963,25380
22444,6932
28429,13908
32088,6975
26609,2743
1508,2638
21654,37562
7259,4589
8970,10942
33363,16595
12282,14768
37273,8027
30490,1238
36044,21551
9127,36791
4007,33722
35404,37297
13281,32957
7126,18964
30537,28440
16254,14518
5591,23538
18980,26283
1016,1528
23011,28305
17654,7989
5342,33320
17743,7279
29277,12225
11643,18210
37562,21654
8940,11904
2411,34074
35785,15279
22276,12181
32867,15640
3878,33661
9825,15199
300,13510
6814,2042
19013,33466
34002,13216
4361,37125
11221,2649
1927,6086
17062,16142
28493,24283
3878,25483
10968,37126
8960,19502
14115,29675
32646,28645
23598,1959
35403,33293
9528,22377
27277,10790
29202,33029
831,21659
16186,8498
3233,10688
2763,2730
3949,19212
8542,24291
28092,30601
9503,17029
9277,19935
12279,12901
36745,1986
20273,35415
5402,11051
32593,16013
17801,15811
10435,14779
22222,7779
16665,24399
25483,33661
4423,27081
12610,12901
34622,20723
37096,38236
22568,9364
13695,28429
1959,23598
5552,12567
36283,30679
5776,3581
1247,6763
37500,13433
29382,35715
22203,4307
2307,18964
19610,31446
3588,34553
31691,33764
28843,15557
6313,31997
18964,2307
2282,32036
8232,13478
32160,13073
32860,5736
3250,22515
19502,12279
28935,14769
20073,17096
6110,13739
2379,4473
379,33706
33319,30407
17044,4525
36260,12966
3864,7601
13474,23035
9704,10891
33176,67
1957,3240
41075,23497
28181,23829
24185,26877
21124,9127
11963,33027
29452,2861
17010,3544
67,33176
36076,2324
28322,11285
14402,6589
22472,30840
33914,7907
33813,35615
6979,3233
5660,17495
33029,29202
36165,32373
38026,36124
5199,19502
30218,11925
18980,18287
26990,23923
2824,7126
6329,21349
33293,35403
34430,26749
32647,30852
19553,4635
436,23813
41073,9243
23686,15768
8273,22541
6813,14548
34567,4083
25917,16264
26478,922
31483,1415
29300,1500
2042,6814
9765,21348
13186,32036
13806,525
15768,23686
6380,36182
27187,38328
27584,3490
22541,8273
7126,2824
33466,32090
41076,21460
4779,36667
6975,32088
7907,33914
21349,6329
28675,37297
23035,13474
13526,23575
9928,1994
25153,5155
8027,15879
14549,22594
6383,9494
26280,19369
21659,831
11925,30218
6454,19590
19826,31052
1908,4870
12181,22276
8903,15352
25157,35774
33985,16042
5199,7302
11722,22183
30008,2124
37126,12879
6480,16754
31050,568
7229,1725
9465,24569
29371,7554
27277,790
17738,30264
32275,13784
32782,8304
19701,30840
22929,10644
17152,30008
15879,8027
23317,15027
12901,12279
19935,9277
5988,5400
37487,7860
790,27277
7860,37487
37890,30185
21522,37894
3158,35799
2649,37242
31875,15981
30390,23103
12497,2289
2026,1261
81,41078
7556,20295
8862,8490
22117,29703
8339,34938
12497,35067
31918,37193
10766,31395
241,1315
23923,26990
16711,21177
2448,10729
3490,27584
35774,1610
1275,12280
7965,32226
10628,27497
17776,12765
13418,14739
37999,6412
16013,32593
8360,19985
28194,19550
883,32642
4951,8940
21871,21003
28828,6037
10644,22929
40908,30906
5155,25153
1928,37126
5063,13666
11416,33810
28635,34538
37126,10968
37122,25428
27494,8499
27067,1248
12294,31186
18210,11643
21341,37464
34154,25264
13118,9755
30144,80
13666,5063
17047,12901
5962,16562
10700,31477
4643,41076
25346,25977
6731,31649
4622,8964
1283,5975
18773,26995
10942,28089
25188,12440
35498,22548
33734,7600
12225,29277
5041,20558
36667,4779
36791,9127
7190,7191
4949,19319
3233,6979
31649,6731
26134,30240
38202,16595
30931,10553
11433,12884
32957,13281
5342,5100
1526,10755
32036,13186
20396,5384
14113,11728
10222,19711
33810,11416
10710,35314
19711,10222
1503,36057
15352,6099
22855,33590
24813,5660
33970,318
7191,7190
35863,19496
8912,27574
15161,16121
22134,12961
10688,3233
1784,13024
24044,29516
19805,19614
7350,28898
29017,37145
22450,35948
30210,26810
11955,9028
22377,9528
2524,18774
7601,8846
36124,38026
9982,35394
8971,5297
9771,23499
20921,5542
30733,20853
23512,17369
24045,29516
14114,32237
2379,33524
12484,37722
29932,33416
14327,19496
7119,1283
33706,379
12279,19502
41077,1248
7129,7130
16835,9358
1189,21289
17369,23512
15030,3875
22515,3250
23939,67
15436,1527
36147,4622
34313,2056
29703,22117
27497,10628
28181,34483
17029,9503
30185,37890
1666,18806
318,33970
13784,32275
13908,28429
33722,4007
28440,30537
31997,6313
7130,7129
37622,28555
22036,34530
33661,3878
37780,15464
18686,29823
21097,10383
28908,18094
18774,2524
16042,33985
11728,14113
13511,12098
2531,6364
18224,19590
24835,11276
19590,18224
20745,25424
34530,22036
8384,11295
7254,1275
37607,12666
16121,15161
18586,18622
38328,27187
9465,12610
11859,16231
30840,19701
35799,3158
29422,18604
37145,29017
33416,29932
12901,12610
18244,4661
25017,3598
23565,1526
9902,15476
17453,12826
31808,28611
34938,9429
5001,32244
11529,14194
30590,31579
5962,37273
24399,16665
36336,21408
24284,30470
41072,7711
25812,30210
25000,16470
12125,22366
11804,5691
10701,33743
5384,20396
2779,19234
23829,28181
23575,13526
6037,28828
31552,30434
14060,9506
4661,18244
24212,8139
20631,16751
19987,16239
23460,4833
176,1638
24153,36587
13377,6110
35561,31089
9127,21124
10383,21097
10928,34921
15981,31875
26571,25145
31395,10766
9405,6365
18806,1666
20350,7049
15202,4833
16231,11859
22366,12125
23499,9771
14142,15173
9103,25977
25959,13410
35901,32860
10729,2213
24283,28493
30814,8304
6757,22945
14194,11529
6757,22944
35506,6241
15352,6364
15981,1198
2559,15879
16595,33363
6397,17738
14947,35307
19234,2779
9028,11955
9243,27830
30240,26134
32006,2107
30231,32552
1247,21755
12610,9465
9759,30264
32552,30231
12280,1275
24959,5543
4740,5643
15144,27187
6139,13481
37220,37122
22183,11722
1660,8970
3578,8906
13944,35724
2744,1994
1229,34622
7600,33734
37464,21341
32244,5001
2743,26609
22285,33149
16470,25000
15087,22824
688,217
15464,37780
24569,9465
28089,10942
29516,24045
8301,16117
2107,32006
29516,24044
1994,2744
23829,34483
36057,1503
17156,1729
36720,15768
22224,35071
32642,883
