derivationally_related_form_1,derivationally_related_form_2
12667,455
26315,36106
33334,15125
12364,9857
22024,38079
16831,2459
18714,9612
26460,31633
29438,4847
8450,134
1114,30939
5133,37420
20946,5983
20061,33418
31178,16466
18389,19714
7490,29901
37539,15904
37277,23998
22226,31852
29177,12983
5675,20634
31615,2935
18954,2206
11668,31477
5137,37334
13824,30176
28413,36676
3599,19480
3774,14056
15959,29528
1773,10551
2044,2152
26845,19743
35770,5240
12466,6760
15873,32220
30637,33285
31115,18466
16025,27499
6094,7692
15708,37329
16614,9244
19902,38408
37108,29315
31396,9776
32818,31243
6218,3861
27259,6966
12441,7564
9617,29568
33487,10489
31431,8697
24387,30450
23188,2107
3576,20254
29452,4531
20467,20917
1019,33988
34931,31310
26379,34275
18434,18418
18153,27130
35900,1253
14209,18343
37141,28356
37345,22033
5196,35601
29437,5031
33189,19802
5126,37769
30829,27412
3475,23419
1547,17659
16167,23202
12524,5063
14778,724
37100,29625
1355,23622
29386,6617
5326,31597
12677,325
37150,28114
26803,21177
10164,12700
3613,19178
20456,21323
5769,17880
37166,27598
31697,554
986,35085
13602,37215
18349,21141
37111,29357
27268,6794
5659,21315
16911,179
22216,32351
37955,3174
23035,6956
5395,29516
29528,2281
9339,38324
36835,37938
6176,5326
7287,36415
3476,23493
37623,13495
22217,32351
10062,15944
7760,21770
37398,20518
32937,27743
1895,6988
6183,5136
5137,37561
9647,28829
14427,11719
20633,15928
33015,25331
25050,10074
12587,3233
26251,38406
20500,20075
33170,20500
37849,6526
1973,4585
37669,12150
907,37645
8278,5756
37499,17424
30909,25090
7554,28201
29212,12156
24889,15124
16900,636
30951,23811
28726,27250
27361,4030
29602,91
31205,15935
3708,16370
27103,12021
18649,11947
29016,18252
9844,22766
37909,4705
24902,14738
27473,571
8257,6440
37356,21896
9927,20219
18566,14558
33496,10457
27168,10035
3019,37762
27424,2101
33289,16883
25321,1752
30975,23088
26716,24071
30988,22712
22348,28398
31280,13652
8312,4779
36850,37592
15821,34153
29004,18694
10275,9470
24971,12639
8147,9899
21113,1165
3034,37340
34720,38127
20775,11668
12658,1152
37570,15322
29530,2396
19928,37941
24901,14846
16776,4581
37691,11550
14333,14787
5752,18648
18035,31100
6056,9228
31629,2901
22551,22168
35878,2274
4230,305
22359,28143
36858,37401
16864,1883
13908,27973
23243,732
12405,9041
1114,31382
32838,30997
1826,9316
24415,29959
1822,9447
35142,25094
15834,33844
5823,16494
12622,2336
12280,12935
12280,12936
1480,20063
35732,6814
16750,5439
12186,15862
15981,29281
13624,36815
26284,37592
14209,18694
31051,20886
12665,1019
34984,30043
28668,29220
1779,10814
10365,6790
31014,22049
29058,17150
12021,20998
36864,37287
23243,794
22986,8765
22351,28473
14112,21731
23018,7793
6231,3894
9817,23801
16431,15375
16780,4558
33149,21432
37653,12883
10269,9799
37947,3766
3999,7563
28384,38075
7,248
26612,27474
5832,16280
8041,13336
35456,15428
27328,5271
18012,31929
37902,5138
35222,22730
12034,20643
21036,3738
9818,23801
3766,14809
20973,5689
28968,19984
24641,23044
1254,27151
9447,35321
7700,23942
1994,4227
37190,27252
29611,59
31594,4150
1773,11086
11487,37635
1641,15181
7938,16590
18781,8126
14335,14887
33478,11269
23047,6976
5615,23070
37755,9765
25030,11036
12427,8516
6043,9816
1729,12479
9763,25564
28579,32111
10273,9772
36859,37586
12446,7943
24603,24283
18994,1559
25289,3044
35437,16110
12176,16322
37658,12797
9427,36005
20922,7340
1789,10644
21120,1199
35141,25295
21120,1200
5138,37902
32690,35744
35517,13676
22688,18153
16048,27384
13820,30921
3736,15845
12447,7942
14516,9348
26510,30752
33770,2333
1941,5979
20388,23952
32621,37957
38025,1487
3517,22675
12667,1165
22161,34542
24157,38199
37365,21951
5426,29035
21093,2100
25151,7374
21113,1486
12640,2008
33526,9925
27193,9636
35949,351
3183,33038
31346,11962
20362,24790
1978,4865
19993,36219
31402,10222
15928,31164
16143,24500
3391,26603
26869,19670
12567,4301
11557,35608
2124,352
22280,30886
37393,21110
12547,4914
11499,37402
37393,21109
36841,38227
7952,16301
1997,4297
24315,33322
11835,26997
25295,2943
26712,24551
1602,16541
37424,20158
31298,13488
9992,18604
12461,7600
21028,4171
33682,5127
10523,2150
14510,9627
35146,25284
11791,28376
9656,29024
34832,34992
1088,32504
37784,9025
31391,10637
35669,9092
995,35394
3033,37752
6345,623
37919,4888
6177,5832
6345,624
9845,23199
22883,12252
13676,35517
28935,21246
5689,20973
4226,789
24330,32932
18058,30747
2061,2379
12050,20394
33454,12254
22291,30625
6219,4561
27226,8705
1759,11749
12596,3485
27019,15114
22454,25584
29386,7301
22992,8904
18349,21766
5829,16660
18852,6176
22767,15884
27459,1500
11975,22756
26607,27907
24510,27378
20726,13606
971,36199
1156,30463
10327,8304
12538,5311
21145,632
31224,15866
11491,37780
16500,13584
20942,6953
5469,27863
3207,32449
10122,14702
14057,23791
32739,34483
27475,1054
6364,123
36856,37928
12216,15319
8297,5748
23037,7549
35756,6503
26851,20415
36872,37418
26546,29871
8343,4327
26444,33030
37249,25732
23015,8248
1526,19059
29590,1060
7585,27847
12381,10241
35497,14554
24613,24265
2135,203
35564,12466
33700,4716
7809,20925
33700,4717
16122,25377
9706,27662
6119,7791
1395,23171
17819,38329
5784,18194
33630,6920
7275,37509
10163,13527
30685,32714
3612,19996
6233,4280
5538,25832
29498,3971
3044,37610
21,251
29162,14384
5286,33652
35605,11283
16637,9442
15935,31205
26669,26155
38028,1675
35656,9676
37117,29922
9904,21568
22247,32164
9825,24029
19015,1270
2011,4114
25006,12163
37867,6675
14535,9090
18699,11071
11878,25930
26825,21334
37510,17788
37137,29348
12712,72
11881,25846
8430,1756
27254,8021
37646,13577
12667,1486
1111,32040
10503,3033
16307,19716
32932,28622
19938,38231
12280,13489
3970,8960
38040,1347
7623,26796
20002,36266
15740,37318
31200,16810
9684,28436
33286,17690
11742,30174
35301,20764
20794,11706
945,37213
33677,5579
11544,36332
16438,15699
16861,2577
9494,34352
14068,23642
32993,26801
20846,10127
2032,3543
12262,14098
28986,19931
4258,80
37574,15873
16812,4114
18604,14121
16944,33
29024,18772
17847,37579
4171,2794
5590,24346
35317,20331
20664,15812
20355,25380
5364,31356
12541,5478
6153,6903
24353,32512
31020,22473
25071,10278
33799,1839
1988,4967
16140,25010
6074,9381
14648,5738
8342,4616
37690,12318
29354,8607
3737,16307
15816,35067
22718,17715
37304,24294
33148,22093
12544,5444
6064,9718
34889,33664
3273,30704
22784,15684
37772,9814
1085,33014
9932,20900
11815,28065
1787,11256
35198,24110
22261,31933
21150,830
9500,34313
20925,7809
37734,11015
5712,20671
11634,33700
21133,1387
38020,2152
20937,7461
20881,9187
5342,32150
5591,24436
1354,24711
33677,5758
1133,31569
37671,13021
1133,31570
17885,36554
20968,6506
9391,37719
30886,26726
37270,25457
10551,1773
5425,29601
12280,13708
1625,16332
22667,19389
22593,21680
20367,25157
31572,5477
26290,38173
13632,37355
7906,18252
4150,3621
1553,18604
37836,7963
30543,37435
1486,20689
23251,1344
35949,932
36876,37734
25098,9616
1765,12049
29036,18606
3895,11558
3895,11559
33647,6739
29573,1978
6125,7975
31089,20517
16048,28033
25339,2154
14474,11299
3066,37270
5384,30951
11651,33284
5186,37094
8052,13781
10461,4648
36886,37456
37648,13831
32645,37857
20484,21628
6372,344
20562,19214
1189,29946
25251,4918
29611,830
10241,11481
24553,26552
31361,12113
37891,6287
5605,24134
1752,12509
28436,37273
28854,24315
32894,30165
5510,27088
15816,35274
6284,3098
20967,6666
30996,23468
10267,10700
4114,4841
16769,5746
35608,11557
16812,4439
20223,29772
1705,13996
5824,17384
24553,26607
37782,9747
16614,10570
24660,23308
22268,31927
37364,22684
1955,6276
1518,19828
32887,30446
5584,24856
18307,23656
35307,20968
8202,9245
30937,25365
12296,13403
14207,19699
28736,28057
5727,20434
14559,8782
18587,14987
7526,30210
13944,27861
35213,23862
16077,27265
4133,4320
24551,26712
16802,4792
37872,7007
24537,27174
14131,22069
16196,23601
12501,7075
26702,25585
16226,22660
18462,18905
14677,5169
20501,21221
22489,25135
24330,33595
26543,30529
37613,15076
10442,5399
10031,18137
6019,11438
6344,1367
4013,8098
22913,12031
22558,23035
3546,22574
33725,4517
33103,23800
30837,28521
37231,26908
30533,37942
24919,15367
16226,22710
20295,27643
32958,28338
6059,10222
7976,16340
6210,5547
24740,20931
24753,20530
31629,4011
16298,20517
10468,4627
10262,11026
37476,19339
9789,25690
31330,13266
20296,27643
22256,32441
23117,5749
18663,12755
24499,28443
37774,10152
1815,10757
1600,17428
4222,1681
20462,22538
20573,19097
17932,35419
28435,37508
37406,21548
27122,12673
37465,19719
33520,10977
36892,37522
27407,3861
35041,29357
22987,9824
12243,15213
8497,266
22173,35082
14105,23032
12592,4413
12595,4321
6119,8469
31617,4451
29511,4199
8254,7825
3997,8717
31753,259
35251,22871
23290,472
31753,258
3852,13218
20745,13828
2056,3358
2056,3357
18938,4298
28660,30625
5796,18502
1946,6777
29499,4610
36887,37744
12596,4321
5456,29049
23290,473
16653,9616
37242,26743
9687,28961
4032,7666
33693,5663
9544,33401
36888,37692
1162,31106
24689,22663
5457,29032
22611,21545
12482,7868
16623,10565
16411,17137
5240,35770
2000,5136
5372,31678
20037,35823
1275,27613
3183,34002
1165,31031
37516,18280
24584,25930
2041,3881
22674,19628
24685,22824
10305,9847
37663,13701
18087,30743
1019,35575
37683,13124
21142,1600
12674,1955
37622,15019
37382,22460
22683,19356
1486,21113
14702,4643
18842,7377
1773,12223
31058,21900
20065,34992
32863,31464
3612,20756
5958,13572
6212,5696
23282,805
19992,37281
20306,27548
37597,15821
9463,35996
24634,24456
24584,25995
18792,8938
19983,37551
8137,11568
26419,34642
7578,28899
9447,36508
8423,2711
1079,33770
17866,37658
28833,25365
11612,34936
7852,20432
30818,29390
30818,29389
31349,12927
15766,37250
10104,16154
37835,8484
24991,13411
16504,14361
30640,34899
16385,18054
29016,19704
8435,2374
24740,21216
20065,35064
6291,3298
7853,20413
16912,1729
18938,4462
20099,34009
35517,14795
28926,22510
37790,9904
10010,19104
19991,37374
2058,3469
23070,7456
8489,725
29588,2007
14067,24414
33035,26247
18704,11733
10371,7926
16126,26134
8162,10866
27054,15045
37693,12896
37929,5581
36881,38073
20357,26043
31424,10640
37809,9344
21008,5880
14371,15010
964,37420
1411,23562
27381,4916
14454,12447
8184,10219
18393,21425
8174,10530
2021,4665
5828,17723
9604,31745
25010,12897
19068,495
1559,18994
8223,9016
35419,17932
33435,13903
7745,23843
24891,16606
4215,2212
37993,3686
31597,5326
8175,10530
33030,26444
11920,25515
11544,37172
7653,26718
963,37504
29498,4874
26315,38012
37462,20168
9866,23664
21088,3469
37945,5197
31253,16027
37308,24953
20809,12111
5456,29307
33707,5482
8081,13479
22550,23698
10450,5584
23181,4124
20339,26691
5463,29102
37801,9652
16482,15192
31657,3543
18001,33659
2057,3627
16243,22623
32881,31144
963,37549
30875,27800
11861,27403
8082,13479
33229,20336
20109,33865
31037,22770
6306,3001
21037,5090
22973,10611
34946,32656
10103,16369
8262,7904
30853,28468
4210,2452
31671,3138
29569,2761
5196,37430
22347,30029
23009,9511
18877,6531
10346,8852
11612,35140
18790,9250
34894,34290
10130,15553
11670,33361
37620,15324
3727,17447
25146,8812
20421,24236
33646,7493
10131,15553
20718,15022
22946,11516
35687,9737
1543,19640
1802,11625
35466,16640
38083,1047
10212,13074
4227,1994
13779,33573
37930,5776
36913,37300
13967,27742
37538,17929
37917,6180
9433,37238
24201,38170
32801,33711
981,37109
37567,17076
1773,12561
7912,18856
27205,10607
7662,26607
29295,11349
23160,4919
29126,16582
5605,24855
8018,15590
16512,14429
10040,18442
24359,33313
27265,8759
7312,37485
10261,11603
5205,37261
8458,1959
37651,14459
16121,26540
10012,19316
21040,5123
37736,11869
28930,22697
12265,15017
34837,36211
20205,31024
15765,37612
13857,31222
20960,7643
5754,20269
7965,17272
20501,21861
1180,30997
22567,23357
1019,35994
37251,26934
10602,1067
10359,8600
12296,14102
20584,19304
37688,13397
15829,35641
38051,2145
18018,33320
3240,32697
20961,7643
7374,35619
5518,27620
3276,31585
8515,243
14578,8898
13779,33678
9924,22113
33851,1254
37584,16603
27271,8633
33113,24170
23069,7845
8139,11916
35740,8273
5710,21681
19061,1013
31594,5712
37178,29236
33001,27651
25046,12085
5738,20823
8183,10570
26654,27801
9765,27064
37946,5407
28993,20827
10620,557
37612,15765
38003,3644
1238,29263
35298,21966
35461,16912
1954,7073
10326,9687
1415,23790
19080,455
1661,16166
31451,10174
7959,17536
4038,8018
13920,29363
20427,24259
31135,19992
29319,10753
1940,7527
24558,27271
1705,14814
35862,4507
22173,35672
31553,7029
3420,27187
16264,22235
20009,37212
13847,31630
18293,24892
27293,8039
3236,32903
14845,701
37903,6819
8318,6442
1180,31110
15935,32449
14779,2757
7960,17536
9433,37410
37859,8191
1722,14316
25219,6817
14648,6824
27091,14316
10241,12381
18916,5591
18914,5655
62,257
14846,702
20008,37289
12336,12989
9882,23528
14814,1705
33714,5647
31391,12123
33194,21740
37601,16198
18892,6378
37629,15332
18037,32873
1187,30943
16748,7297
14195,20906
3995,9435
27161,12194
11554,37263
35454,17270
18933,5113
35899,3479
37467,20409
12557,6165
22356,30094
28889,24182
1612,17788
8001,16342
3104,37072
3490,25106
15766,37778
37967,4886
9684,29707
29598,2220
37887,7406
34899,34501
5752,20535
7976,17134
21007,6396
33867,959
7940,18255
21015,6136
33777,3752
9464,36549
31015,23817
12346,12740
22357,30094
23231,3000
25396,1415
25282,4952
12540,6739
35090,28576
7705,25564
26995,17405
10122,16182
3870,13381
31115,20777
13703,36251
17984,34617
26797,23559
27442,3557
1882,9493
11668,33818
37873,7904
20927,8934
10103,16791
37804,10047
30859,28719
6184,7230
29107,17516
37976,4705
12275,15022
1544,20002
14857,516
2126,1959
37914,6629
12401,11113
30625,36012
16128,26669
31685,3147
19037,2012
33320,18018
37468,20505
11689,33203
16141,26258
18571,16464
7996,16614
16141,26259
28772,27908
31696,2830
28490,36680
2041,4619
24679,23748
6272,4527
18667,13511
15951,32160
7299,38235
5702,22210
4256,1500
3680,19359
22619,22082
24324,34755
25212,7254
32885,31515
31769,591
35450,17537
2160,970
31074,22133
3208,34016
12610,4697
22178,35765
31178,18934
37974,4870
5868,17103
9463,36739
20973,7598
9411,38351
1508,21202
37900,7175
3091,37668
12371,12137
27054,15721
27226,10389
4064,7503
35522,15331
11560,37276
24790,20362
27544,548
4027,8673
16852,4320
7369,36138
28980,21561
22945,12039
5197,37945
2069,3844
20958,8124
44,1091
27022,16737
8516,610
27526,1115
12371,12172
37752,11782
7793,23018
20690,16443
33630,8526
7889,20053
27009,17166
20900,9932
28693,30490
23093,7477
37453,21093
15967,31781
3233,33325
5974,13896
37211,28570
4051,7970
38110,701
19097,306
13725,35759
8148,12049
12372,12173
12361,12513
31416,11652
1705,15185
8463,2298
24794,20313
30909,27357
30884,28161
21036,5766
7329,37459
11550,37691
24465,30532
8149,12049
14596,8800
32693,37601
975,37837
24362,33746
4037,8459
26573,30743
28819,26651
37407,22584
20756,14458
19059,1526
37804,10280
31782,325
18149,29759
6131,9097
6131,9096
37795,10535
5854,17688
7597,29190
33907,39
38070,2058
28723,29657
10475,5529
8334,6364
30577,37713
23300,1160
14719,5030
980,37734
23198,4342
22413,28676
1362,25896
1725,14646
9927,22526
1966,7182
37473,20592
33908,39
6076,10850
3995,9822
5195,38159
37728,12692
7422,34656
9933,22360
25099,10959
13763,34713
16154,26131
8135,12569
16660,10435
14082,24831
33241,20706
33632,8587
18402,21994
14682,6237
10054,18632
3080,38220
18856,7912
2174,773
25334,3706
13725,35913
14628,7916
975,37949
22980,11143
28535,35572
24441,31404
2020,5565
22137,37293
1970,7119
3547,23772
29340,10633
12486,8812
20724,15582
12031,22913
30609,36821
14255,19514
32,1675
19052,1874
30867,28819
37331,25071
34816,37501
10237,13005
20255,30141
22143,37147
38078,1890
20891,10412
20314,28300
22690,20184
28908,24029
23282,1831
6139,8984
5372,32761
6012,12925
12497,8500
33771,4383
1067,35155
38107,1048
20095,35109
9571,33677
13826,32856
6416,418
37630,15805
3479,25932
2106,2960
28622,32932
12763,275
23317,803
37714,13253
3240,33355
32865,32503
1054,35592
10148,15825
32714,37192
37281,26658
37378,23652
16054,29358
24818,19823
35994,1019
20924,9466
29191,15329
35715,9674
5455,30251
22492,26383
3863,14067
35267,23568
2051,4707
1375,25662
37590,17128
35123,28066
14569,9870
37400,23015
10541,3662
22835,15765
12296,14803
6061,11477
20827,12480
14233,20291
29303,11865
16397,18737
7573,30143
18364,23320
16681,9956
33837,2387
5968,14376
26654,28461
37697,13807
21207,714
7905,19867
29236,13985
14755,4133
30793,31248
37870,8491
2154,1558
16612,12103
16264,22913
37507,19722
15885,34654
20063,36207
23074,8407
37468,20935
22601,23088
1559,20026
38118,832
22801,16887
2142,1961
12688,2711
37905,7409
25451,297
11562,37627
7938,18897
12338,13572
16102,27958
1019,36789
14659,7167
14787,3196
29193,15352
1560,20026
14556,10367
20034,37168
32801,34618
14561,10221
30650,35768
3935,11953
10644,586
26398,36507
37555,18295
1785,13077
32799,34667
37373,23944
5653,24246
21143,2820
16679,10131
12164,19011
29516,5395
33903,485
31464,10541
22610,22866
3569,23320
37866,8711
28638,32605
6181,7894
23320,881
3874,13873
3598,22433
33615,9396
14793,3079
35594,13591
13667,37989
16453,17168
35871,5045
37401,23149
5226,37524
24838,19366
36028,183
14632,8079
35551,14942
38147,5
10000,20608
24243,37837
22674,20932
33413,15692
16458,17018
12673,3293
12039,22945
8079,14632
7662,27559
14361,16504
15953,32690
5747,21402
8505,1452
6231,6413
6430,243
37749,12377
25381,2585
18217,28058
27406,5342
1458,23310
7334,37758
5308,35032
31569,7360
3789,16590
10252,12850
37824,10095
31598,6490
37494,20329
5334,34240
37409,22968
31767,1240
5334,34241
34923,34504
12262,16091
12409,11531
33561,11169
33461,14271
23129,6888
26616,29863
8119,13456
1060,35681
36933,37751
37780,11491
13857,32194
25121,10697
33918,147
25269,6111
22663,21357
28530,36111
5983,14161
26651,28819
11549,38222
33700,6888
3934,12145
24830,19735
1990,6876
1990,6877
25006,14275
37751,12389
12111,20809
16236,24002
15894,34623
22318,32085
1918,9119
14014,27361
2059,4751
32761,36045
3437,27574
18017,34341
8497,1787
10131,16679
3935,12145
20866,11580
5381,32852
12006,24088
18658,14495
12482,9343
38108,1347
1702,15839
24242,37985
1752,14291
21065,5425
18649,14778
31243,17579
5271,36296
37833,9896
20011,38119
9698,30141
27174,12667
18613,15913
24633,25896
14076,25493
12280,15632
14356,16825
27123,14268
2136,2429
37517,19754
31395,12899
29621,2356
11681,34230
36957,37087
19059,2124
1769,13820
28719,30342
37886,8293
35504,16606
2165,1554
3422,28128
35028,31401
6075,11428
5925,16078
1954,8108
16262,23304
8338,6809
16043,30096
33051,27133
9451,37851
1096,34715
22787,17664
6202,7502
27533,1607
37252,27976
15844,36276
20013,38109
11554,38203
23167,5876
15780,38265
37579,17847
35721,9947
8339,6809
37851,9451
5766,21036
20046,37114
8247,9666
22551,24985
16263,23304
22149,37445
35155,27501
23310,1458
37916,7419
16094,28568
12125,20538
20030,37615
37096,32848
25145,10121
28801,27859
20254,30676
16340,20957
18483,20065
37715,13708
33365,17488
37189,30017
6086,11159
2152,2044
16609,12639
3432,27900
37893,8169
29418,8768
10167,15733
20928,9808
26629,29684
25454,575
13686,37720
37402,23439
18101,31939
7722,25996
18579,17110
30635,36587
35156,27508
7910,20187
37592,17533
28899,24890
33893,1136
36948,37503
20362,27411
22306,32687
17929,37288
26607,30421
6284,5076
13940,29886
37627,16503
4116,6757
27377,6573
4321,402
12752,1189
25307,5207
6176,8438
14800,3234
67,1208
23087,8490
23107,7860
24892,18064
30927,27588
1330,27598
2194,816
1897,10024
22444,28436
28691,31391
38010,4656
12226,17519
15805,37630
37596,17495
25282,5988
37445,22149
2073,4589
37358,24849
37617,16824
11672,34703
14158,23173
31772,1450
31772,1449
17929,37367
24612,26798
37258,28004
8060,15624
37720,13686
27382,6453
30980,25988
1936,8864
11673,34703
23096,8273
37228,28914
27009,18037
90,561
20012,38334
16495,16288
31176,19931
35895,4743
8439,3899
1018,37340
22778,18150
12138,20306
18218,28431
37626,16603
990,38221
23097,8273
38032,4021
23243,3753
37610,17104
38032,4022
4300,1154
4140,6111
7427,35284
20024,37993
1411,25178
26798,24612
28959,23154
2194,909
4084,7855
8440,3899
5989,14340
22214,35668
16962,1870
33488,13861
35017,31998
6081,11499
29483,6922
1001,37910
15896,34927
26962,19566
30637,36714
31550,8409
21114,4248
31463,11102
20534,22215
2135,2766
21202,1508
37881,8736
10057,19328
1443,24225
31431,12113
5809,19958
1702,16201
5439,31440
14713,6094
20985,8273
17954,36689
28994,22133
28576,35090
20804,13880
29291,12949
12021,24023
7998,17663
14779,4059
13856,32685
10362,9927
27462,4101
15818,37390
27051,16842
37729,13533
27271,10050
18139,30997
18237,27958
25172,9579
20210,32333
5889,17528
7765,24908
12712,2623
27505,2813
35400,20215
29270,13633
1443,24292
20997,7952
18905,7257
37942,6959
37636,16443
25295,5781
20282,30110
14474,13553
17929,37538
11584,37620
23335,1027
35806,7620
24892,18293
3704,19756
37129,32146
8052,16048
15911,34575
31233,18348
2058,5261
33833,3295
12649,4630
37644,16230
15982,32389
25048,13493
27380,6737
24383,34102
6241,6678
20568,21289
10666,584
18952,5852
14252,20485
12798,22
2044,5725
10666,585
10539,4525
5542,28370
18782,11139
3357,30576
1136,33893
20787,14557
8543,900
18139,31110
31523,9419
12715,2635
16122,28089
16439,18263
5517,29173
33347,18428
59,1766
37914,7928
20811,13807
22866,15637
27495,3234
1960,8377
3448,27790
12610,5906
16861,5199
8350,6904
37225,29305
21088,5261
23285,2678
9777,28217
37903,8301
2135,2980
28719,30859
36951,37792
5882,17908
35822,7253
4131,6651
13701,37663
10617,2192
10369,9883
38008,5028
31594,7284
1959,8458
28636,33443
37999,5346
18866,8625
33455,15144
9686,31075
5482,30328
63,1706
18881,8186
37111,32865
23087,8862
37675,15383
14843,2290
38045,3948
13940,30292
33893,1600
1060,36367
20538,22366
38047,3899
18711,13490
30618,37586
29186,16439
6277,5725
27564,1185
27533,2141
22301,33267
12409,12243
35467,18326
12097,21913
37269,28038
16356,20971
11595,37488
37696,14799
35017,32321
22420,29589
5485,30299
1415,25396
12336,14533
10221,14561
18274,27067
12447,11100
37220,29549
14013,28089
35076,30477
13779,35340
6441,677
37661,15918
22808,17601
15828,37363
18905,7512
14157,23640
24659,25747
5852,18952
23299,2397
22404,30140
13855,33011
16906,3971
15821,37597
7509,33144
11643,36064
21236,830
3800,17047
26751,26476
37729,13844
14158,23640
14415,15673
30790,32326
7493,33646
20106,35854
5869,18461
16027,31253
35522,16709
12405,12466
6395,2164
18789,11159
1080,35864
4036,9764
4301,1554
28872,26288
22851,16334
37544,19618
23076,9349
12347,14275
30829,31178
3222,35013
31479,11025
37114,32927
14618,9429
16876,4983
23116,8153
16755,8724
37349,25696
3787,17527
